GEL-Bone_SoftTissue_common_SBS127	GEL-Bone_SoftTissue_common_SBS8	GEL-Bone_SoftTissue_common_SBS122	GEL-Bone_SoftTissue_common_SBS1	GEL-Bone_SoftTissue_common_SBS100	GEL-Bone_SoftTissue_common_SBS5	GEL-Bone_SoftTissue_common_SBS18	GEL-Bone_SoftTissue_common_SBS13	GEL-Bone_SoftTissue_common_SBS3	GEL-Bone_SoftTissue_common_SBS17	GEL-Bone_SoftTissue_rare_SBS7a	GEL-Bone_SoftTissue_rare_SBS124_a	GEL-Bone_SoftTissue_rare_SBS31	GEL-Bone_SoftTissue_rare_SBS30	GEL-Bone_SoftTissue_rare_SBS57	GEL-Bone_SoftTissue_rare_SBS44	GEL-Bone_SoftTissue_rare_SBS26	GEL-Bone_SoftTissue_rare_SBS108	GEL-Bone_SoftTissue_rare_SBS124_b	GEL-Bone_SoftTissue_rare_SBS135	GEL-Bone_SoftTissue_rare_SBS5+8	GEL-Bone_SoftTissue_rare_SBS96	GEL-Bone_SoftTissue_rare_SBS129	GEL-Bone_SoftTissue_rare_SBS117	unassigned
GEL-2854287-11	915.289749674654	840.306973895736	1310.69892061548	0	0	948.282171017377	0	0	974.776085125928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1540.64609967082
GEL-2733928-11	0	1645.87030716724	780.386803185438	433.993174061433	0	892.013651877133	1792.03640500569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1055.69965870307
GEL-2374046-11	0	375.068971859481	1065.19588008093	891.663969100607	484.089019679971	0	0	768.641346330697	0	555.602170314512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1297.7386426338
GEL-2230316-11	0	1352.79635505054	613.587987899358	654.627314985612	674.646498930126	457.938832730761	1046.00236110086	0	1001.96015642293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981.440492879813
GEL-2678631-11	0	338.146258503401	325.603741496599	288.477891156463	0	0	610.068027210884	664.753401360544	558.894557823129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459.05612244898
GEL-2787652-11	315.736906027023	742.258691361773	436.089570365872	470.332169424624	249.769546075603	535.795961742827	0	267.394413238196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299.622741764082
GEL-2993301-11	0	433.841779074007	277.898651111921	691.74772147284	0	271.900838497995	0	0	403.852716004375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662.758293838862
GEL-2267162-11	140.849223946785	0	124.636363636364	125.649667405765	0	242.686252771619	0	0	205.70066518847	326.283813747228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205.194013303769
GEL-2703951-11	0	0	343.856310679612	406.011095700416	482.200832177531	512.776976421637	611.021636615811	0	588.465464632455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	669.667683772538
GEL-2842581-11	373.452807283763	430.522003034901	0	650.789074355083	755.916540212443	458.555993930197	0	374.954628224583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.80895295903
GEL-2775351-11	0	363.201891194891	437.436571288223	439.92766793565	0	376.155593761513	1208.6800933317	538.076875844283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	693.52130664374
GEL-2672690-11	459.738465354721	1148.09823052753	1325.30469654374	818.643955680503	478.207871671903	0	0	441.269059037539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1365.73772118406
GEL-2699924-11	0	239.32738427217	0	336.868377021751	247.372002230898	420.834076965979	0	0	275.025376464027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283.572783045175
GEL-2402878-11	0	268.31341209173	0	214.850590687978	243.830437804031	774.461431549687	0	0	269.312717164698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386.231410701876
GEL-2881564-11	0	821.295037825362	315.650724451853	690.611616873958	427.736889344788	544.849339658931	0	359.882036158482	359.379407616361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400.594948070265
GEL-2530842-11	0	1115.28923406535	2005.71772897697	1207.43706480986	0	0	0	590.447241564006	1228.9716122121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1332.13711837171
GEL-2493779-11	0	310.24427480916	314.273421235253	358.594031922276	346.506592643997	517.745315752949	318.806210964608	0	336.433726578765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400.396426092992
GEL-2790217-11	730.522922636103	1023.23244985673	438.313753581662	336.240687679083	378.270773638968	794.06840974212	283.703080229226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206.647922636108
GEL-2265740-11	639.370742799394	3939.20363820111	874.823143001516	769.844365841334	0	1088.27998989389	1068.28403233957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1513.19408792319
GEL-2843094-11	0	763.722080756639	858.68752273554	0	0	463.331393233903	469.829028737723	299.391051291379	524.309203346672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	742.729719898144
GEL-2757309-11	1358.36160202666	0	885.365160745521	0	672.917606610773	0	0	970.544604620303	1475.60860124254	1723.63109958381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1220.57132517039
GEL-2579329-11	0	683.91904014353	673.905584211707	571.768333707109	348.46826642745	643.865216416237	321.932608208118	544.732002691186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	676.408948194663
GEL-2560144-11	242.330913642053	264.270337922403	185.487859824781	496.628785982478	154.573216520651	0	419.840801001252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228.868085106382
GEL-2437307-11	369.626118067978	468.327370304115	0	390.776386404293	322.289803220036	632.49373881932	0	252.292486583184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379.194096601074
GEL-2034869-11	465.987096774194	245.070967741935	217.896774193548	358.296774193548	0	361.81935483871	0	177.135483870968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357.793548387097
GEL-2554905-11	1434.63737092033	1435.64166729479	1075.60141704982	673.38071907741	506.66752091656	773.308208336474	469.508555061431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293.254541343184
GEL-2830952-11	553.882244710212	1081.02882551365	0	286.525605642441	0	788.44986200552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580.113462128177
