GEL-CNS_common_SBS5	GEL-CNS_common_SBS8	GEL-CNS_common_SBS120	GEL-CNS_common_SBS3	GEL-CNS_common_SBS1	GEL-CNS_rare_SBS11_a	GEL-CNS_rare_SBS113	GEL-CNS_rare_SBS11_b	GEL-CNS_rare_SBS14	GEL-CNS_rare_SBS121	GEL-CNS_rare_SBS4	GEL-CNS_rare_SBS17	GEL-CNS_rare_SBS7a	GEL-CNS_rare_SBS119	GEL-CNS_rare_SBS137	GEL-CNS_rare_SBS2+13	unassigned
GEL-2930818-11	2437.81229980782	3956.5068545804	0	864.610762331838	3724.97719410634	0	0	0	0	0	0	0	0	0	0	0	725.092889173602
GEL-2198193-11	430.755437866465	702.601097030452	780.556837526007	278.34197087195	449.744656705126	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2925051-11	264.36076119003	0	663.395872420263	507.772179040472	279.823371750201	0	0	0	0	0	0	0	0	0	0	0	145.647815599034
GEL-2411670-11	766.334892161653	2012.00474628324	2522.89467439101	1755.05716479375	0	0	0	0	0	0	0	0	0	0	0	0	119.708522370347
GEL-2990306-11	810.733421500094	472.553183449839	591.440770829397	506.521065558285	262.751558662384	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
GEL-2244525-11	349.137254901961	426.890522875817	292.954248366013	407.828431372549	0	0	0	0	0	0	0	0	0	0	0	0	58.18954248366
GEL-2588242-11	1086.93092621664	1309.81423338566	915.020931449503	1580.1726844584	3703.0612244898	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2038339-11	2292.59177496884	2118.1228413744	0	0	716.3724408047	0	0	0	0	0	0	0	0	0	0	0	488.91294285206
GEL-2681060-11	0	969.932567649874	2430.08918472113	1811.17506308188	0	0	0	0	0	0	0	0	0	0	0	0	543.803184547116
GEL-2915412-11	0	6130.51055366131	1792.77200032473	1835.75454619256	2272.07736645559	0	0	0	0	0	0	0	0	0	0	0	281.88553336581
GEL-2529731-11	1416.11013561475	7175.12481787275	1171.4183135951	925.72570702731	2705.62102589009	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2817659-11	527.036473112326	1542.10672018825	971.567236486954	0	3726.25787251713	0	0	0	0	0	0	0	0	0	0	0	458.03169769534
GEL-2074783-11	422.294587945879	0	1991.10393603936	1405.30811808118	697.638683886839	0	0	0	0	0	0	0	0	0	0	0	376.654674046742
GEL-2232020-11	592.118923262354	0	424.585275210928	428.08597830454	3229.148553636	0	0	0	0	0	0	0	0	0	0	0	305.061269586178
GEL-2558299-11	2100.99204328453	5554.69127943985	885.154042011458	4015.16263526416	0	0	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
GEL-2845200-11	527.600313479624	451.942528735632	369.771159874608	498.539707419018	0	0	0	0	0	0	0	0	0	0	0	0	70.1462904911182
GEL-2343897-11	1180.40101423835	0	402.831285352058	206.181392627267	659.178466939731	0	0	0	0	0	0	0	0	0	0	0	123.407840842594
GEL-2805738-11	1426.13482639411	607.548474372463	305.779347662709	664.192845332933	331.344506237787	0	0	0	0	0	0	0	0	0	0	0	0
