GEL-Oral_Oropharyngeal_common_SBS2	GEL-Oral_Oropharyngeal_common_SBS3+16	GEL-Oral_Oropharyngeal_common_SBS17	GEL-Oral_Oropharyngeal_common_SBS1	GEL-Oral_Oropharyngeal_common_SBS13	GEL-Oral_Oropharyngeal_common_SBS127	GEL-Oral_Oropharyngeal_common_SBS18	GEL-Oral_Oropharyngeal_rare_SBS4	GEL-Oral_Oropharyngeal_rare_SBS7a	GEL-Oral_Oropharyngeal_rare_SBS10a	GEL-Oral_Oropharyngeal_rare_SBS31	GEL-Oral_Oropharyngeal_rare_SBS33	GEL-Oral_Oropharyngeal_rare_SBS13	GEL-Oral_Oropharyngeal_rare_SBS93+121	unassigned
GEL-2068668-11	0	488.968830653167	0	1790.54774667461	1335.64641651777	432.857653365098	646.280524121501	0	0	0	0	0	0	0	352.698828667854
GEL-2416937-11	0	0	0	1677.92670272252	21920.7028325236	0	1858.68812906774	0	0	0	0	0	0	0	1854.68233568614
GEL-2427345-11	0	194.607995558023	0	707.392559689062	341.689616879511	195.108273181566	297.164908384231	0	0	0	0	0	0	0	66.036646307607
GEL-2897114-11	1054.12140279448	926.228000370131	0	2380.51586934394	2453.9546590173	1500.24956047007	2099.74988433423	0	0	0	0	0	0	0	383.180623669849
GEL-2141339-11	0	124.693173002327	0	730.631885182312	0	163.252909231963	195.803335919317	0	0	0	0	0	0	0	76.618696664081
GEL-2725292-11	0	865.907803555288	0	1323.30265140102	0	791.088580897861	0	0	0	0	0	0	0	0	330.700964145831
GEL-2867695-11	2669.36978709832	6231.52711107567	0	2364.11338808707	0	7421.07782473487	4652.28737740212	0	0	0	0	0	0	0	1723.62451160195
GEL-2272972-11	0	329.946045252369	0	992.842196867144	392.029974859795	234.316766582866	334.952813769097	0	0	0	0	0	0	0	304.912202668729
GEL-2528292-11	0	305.657375565611	0	1156.88054298643	0	576.683619909502	327.239095022624	0	0	0	0	0	0	0	406.539366515833
GEL-2553673-11	235.664891728789	475.324103656372	0	809.848420305289	304.56691515797	341.015086971956	542.728257011005	0	0	0	0	0	0	0	103.852325168619
GEL-2352574-11	0	5785.09635322265	0	1351.98992242442	9009.76488073661	1938.20234901762	2275.32451243384	0	0	0	0	0	0	0	336.621982164859
GEL-2804171-11	0	7378.43102783561	0	1937.85056673606	3171.75541676305	4676.13940936078	1217.40612229162	0	0	0	0	0	0	0	1070.41745701288
GEL-2178549-11	0	2335.13114263482	0	1891.93481774107	1089.29580415395	1484.13437481295	932.756269827019	0	0	0	0	0	0	0	595.747590830191
GEL-2002720-12	0	4439.37459166779	0	2574.95735445474	0	1390.05665189958	1226.43227278829	0	0	0	0	0	0	0	1551.1791291896
GEL-2051926-11	0	0	0	2177.21845893311	10631.2473690577	1415.69366154591	1755.82133784928	0	0	0	0	0	0	0	609.019172614
GEL-2623168-11	1462.26170540307	1704.97112604663	0	1718.98321631059	5694.91382870874	1419.22457102091	1160.50133293283	0	0	0	0	0	0	0	167.144219577231
GEL-2572282-11	0	288.894806924101	0	923.861517976032	0	0	546.693297825122	0	0	0	0	0	0	0	500.550377274745
