GEL-Breast_common_SBS13	GEL-Breast_common_SBS5	GEL-Breast_common_SBS8	GEL-Breast_common_SBS2	GEL-Breast_common_SBS3	GEL-Breast_common_SBS18	GEL-Breast_common_SBS1	GEL-Breast_common_SBS127	GEL-Breast_common_SBS17	GEL-Breast_rare_SBS44	GEL-Breast_rare_SBS6	GEL-Breast_rare_SBS26	GEL-Breast_rare_SBS57	GEL-Breast_rare_SBS116	GEL-Breast_rare_SBS7a	GEL-Breast_rare_SBS96	GEL-Breast_rare_SBS30	GEL-Breast_rare_SBS87	GEL-Breast_rare_SBS94	GEL-Breast_rare_SBS4	GEL-Breast_rare_SBS124	GEL-Breast_rare_SBS105	GEL-Breast_rare_SBS31	GEL-Breast_rare_SBS23+114	GEL-Breast_rare_SBS33+114	GEL-Breast_rare_SBS136	GEL-Breast_rare_SBS123	GEL-Breast_rare_SBS114	unassigned
GEL-2081072-11	0	533.214602066837	549.221044155147	0	0	725.29190712656	795.320091262918	462.18601529996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661.766340088578
GEL-2395420-11	0	302.849748181309	0	0	0	0	332.984051482932	0	0	0	0	0	747.832960268607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411.333240067152
GEL-2658969-11	0	542.6331738437	190.695374800638	0	215.655502392345	168.730462519936	793.732057416268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279.553429027113
GEL-2323568-11	0	504.606741573034	0	0	0	255.842696629213	812.52808988764	294.775280898876	0	0	0	0	959.157303370787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323.08988764045
GEL-2879742-11	0	0	0	0	0	1916.09763970143	1388.84594176585	0	0	0	0	0	2219.45477775536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1907.60164077736
GEL-2243554-11	1174.90242694403	796.968796433878	544.344725111441	573.416542842992	985.434373452204	0	1276.15255076771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720.780584447745
GEL-2449948-11	0	3407.41048320742	9368.25263669684	0	5608.14440122672	2650.4860872167	0	2051.6503291196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3667.05606253272
GEL-2806048-11	1291.63958178329	1626.41657203274	0	0	2215.0244742922	0	1665.89027685319	3886.41108979128	724.017699808122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1350.60030543918
GEL-2542639-11	0	2086.58385579937	4520.51520376176	0	4145.18	948.583510971787	1519.3329153605	1446.36495297806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1276.43956112852
GEL-2335548-11	2727.55151073899	0	1134.7294422198	0	4985.50806940905	0	993.700926262994	904.182825708854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1618.32722566031
GEL-2548035-11	0	661.522140221402	271.625	0	214.493542435424	151.348247232472	535.231549815498	219.505073800738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119.274446494466
GEL-2821443-11	0	805.877040427155	258.460564454615	557.914874141876	257.960640732265	335.948741418764	712.391304347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348.446834477499
GEL-2509117-11	0	603.939432989691	0	306.707474226804	240.378865979381	0	438.367268041237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345.606958762887
GEL-2834274-11	0	405.985312117503	535.960832313341	0	0	0	1012.70501835985	871.187270501836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454.16156670747
GEL-2708771-11	0	593.513243378311	0	213.465267366317	255.36031984008	0	577.553223388306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356.107946026986
GEL-2157921-11	0	1001.32533263762	451.322723715106	0	1320.90790503522	661.706235324811	1101.50795721367	640.66788416384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582.561961909733
GEL-2768148-11	0	1042.69683257919	302.361990950226	0	227.022624434389	0	378.203619909502	337.52036199095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265.194570135743
GEL-2588719-11	1534.52812779729	935.822075328789	1023.85237209943	891.306754802727	1044.35942986986	0	610.210011705571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1223.92122839633
GEL-2029971-11	0	838.897959183673	299.176870748299	226.011337868481	0	0	623.91156462585	293.664399092971	0	0	0	0	825.367346938776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428.97052154195
GEL-2263954-11	0	601.421163279608	0	669.468815697267	322.225648213034	348.744218640505	1044.23125437982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583.908899789766
GEL-2582484-11	10883.0430896116	0	1710.53524952466	4014.409289577	0	0	1276.15327061264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2358.8591006741
GEL-2621052-11	0	1306.23657503865	2537.48827206129	0	929.812487398347	1216.75462060622	715.355736272599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	732.352308622894
GEL-2681440-11	719.332096474954	743.376623376623	398.73840445269	766.419294990724	0	472.875695732839	1041.92949907236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	717.32838589981
GEL-2703779-11	0	756.550218340611	291.211790393013	0	311.22634643377	200.645924308588	621.451965065502	270.196506550218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298.717248908298
GEL-2186028-11	0	987.964764659479	0	0	199.405732316592	0	349.463581383119	209.980278727321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.185642913489
GEL-2169537-11	150.079491255962	440.733439321675	0	245.129835718071	235.124536301007	152.080551139375	441.233704292528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223.618441971382
GEL-2335130-11	10670.1237048598	0	0	8720.77899163307	0	0	1324.5739801448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2361.52332336233
GEL-2797017-11	0	374.644414944055	0	0	306.708894367533	680.354257538403	873.171249762943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399.121183387066
GEL-2826173-11	0	278.576631259484	152.767830045524	0	0	0	533.189681335357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351.465857359635
