GEL-Prostate_common_SBS2+13+92	GEL-Prostate_common_SBS17	GEL-Prostate_common_SBS1	GEL-Prostate_common_SBS5	GEL-Prostate_common_SBS18	GEL-Prostate_common_SBS3+8	GEL-Prostate_rare_SBS57	GEL-Prostate_rare_SBS93+121	GEL-Prostate_rare_SBS44	GEL-Prostate_rare_SBS6	GEL-Prostate_rare_SBS32	GEL-Prostate_rare_SBS33	unassigned
GEL-2519016-11	607.869761606023	266.600752823087	0	1824.1104140527	813.833877038896	344.275784190715	0	0	0	0	0	0	137.309410288579
GEL-2731697-11	195.377514291764	0	521.837391488461	744.129155197967	454.551767944103	325.463053144188	0	0	0	0	0	0	112.641117933517
GEL-2107273-11	262.031637125977	0	621.821231179722	988.665523156089	282.187916904898	396.070897655803	0	0	0	0	0	0	93.2227939775112
GEL-2005413-11	391	0	1370.5	415	926	629.5	0	0	0	0	0	0	129
GEL-2285902-11	131.921758104738	0	445.547069825436	270.812967581047	554.0713840399	0	0	0	0	0	0	0	194.646820448879
GEL-2363831-11	0	0	1098.2376480196	430.376888525929	362.739077174357	347.708452429563	0	0	0	0	0	0	214.937933850551
GEL-2121822-11	0	0	470.824706694272	611.421670117322	513.854382332643	327.225672877847	0	0	0	0	0	0	251.673567977916
GEL-2793212-11	0	0	2136.85586871209	1331.28719229397	1034.44612914734	643.155636817695	0	0	0	0	0	0	457.255173028905
GEL-2631837-11	1594.37656622456	792.435670191309	774.926043640364	1716.94395208117	0	3073.18959721288	0	0	0	0	0	0	233.128170649717
GEL-2645799-11	0	0	1982.41199067087	0	829.788859925916	426.121278639045	0	0	0	0	0	0	398.677870764169
GEL-2193862-11	0	0	1253.12371305214	663.507140484889	508.688807705081	387.548488874128	0	0	0	0	0	0	214.131849883762
GEL-2033682-11	0	0	864.030731407498	538.330669944683	460.783036263061	316.19422249539	0	0	0	0	0	0	262.661339889368
GEL-2439029-11	557.737216540685	0	1166.08670520231	867.424188528235	1093.92663405958	544.708314806581	0	0	0	0	0	0	278.116940862609
GEL-2451375-11	705.408137044968	0	1320.07080656674	358.9710206995	744.012562455389	272.236402569593	0	0	0	0	0	0	111.30107066381
GEL-2274104-11	409.844132788922	0	2378.69341381147	713.857624711521	1070.28723593112	868.110775785549	0	0	0	0	0	0	183.206816971418
GEL-2381256-11	408.789572972046	248.871891613788	286.852340936375	1397.78048362202	0	311.839478648602	0	0	0	0	0	0	259.866232207169
GEL-2636101-11	238.460348162476	0	391.756286266925	498.963249516441	464.89748549323	402.777562862669	0	0	0	0	0	0	75.145067698259
GEL-2046460-11	0	0	1391.68284688622	679.297643202747	335.888871546746	534.915561105041	0	0	0	0	0	0	270.215077259246
GEL-2145900-11	0	0	811.738110203226	624.53006494867	391.526503247433	231.493819400796	0	0	0	0	0	0	342.711502199875
GEL-2019182-11	2310.79711517447	0	1535.87120273913	519.779558534276	1214.31689371312	991.625555474612	0	0	0	0	0	0	281.609674364392
GEL-2952418-11	0	0	1064.73654842567	758.326823435632	764.782781984855	0	1921.39258668792	0	0	0	0	0	474.761259465923
GEL-2715335-11	691.083182640145	0	1281.22724532851	1439.13200723327	1589.04159132007	669.59614225437	0	0	0	0	0	0	132.919831223635
GEL-2968772-11	415	0	912	529	1206	1037	0	0	0	0	0	0	209
GEL-2021283-11	0	0	819.976558603491	853.790024937656	468.415960099751	529.081296758105	0	0	0	0	0	0	319.736159600997
GEL-2875845-11	358.374927452118	0	517.098084735926	842.530470110273	513.105049332559	0	0	0	0	0	0	0	348.891468369124
GEL-2064199-11	312.548340548341	0	703.982683982684	1154.33189033189	824.308802308802	651.059163059163	0	0	0	0	0	0	159.76911976912
