GEL-Lung_common_SBS4_a	GEL-Lung_common_SBS2	GEL-Lung_common_SBS3+8	GEL-Lung_common_SBS92	GEL-Lung_common_SBS17	GEL-Lung_common_SBS13	GEL-Lung_common_SBS1+5	GEL-Lung_common_SBS4_b	GEL-Lung_rare_SBS5	GEL-Lung_rare_SBS44	GEL-Lung_rare_SBS148	GEL-Lung_rare_SBS18	GEL-Lung_rare_SBS1+18	GEL-Lung_rare_SBS31	GEL-Lung_rare_SBS33	GEL-Lung_rare_SBS113	GEL-Lung_rare_SBS7a	GEL-Lung_rare_SBS3	GEL-Lung_rare_SBS7a+38	GEL-Lung_rare_SBS144	unassigned
GEL-2555863-11	12705.8481506182	0	0	0	0	0	2647.36418201406	19175.5162365978	0	0	0	0	0	0	0	0	0	0	0	0	4455.27143076994
GEL-2799045-11	3748.4974894745	0	2021.53254327148	2162.32586932793	0	1144.81949165757	0	5300.71894589116	0	0	0	0	0	0	0	0	0	0	0	0	1631.10566037736
GEL-2298634-11	23602.305415583	0	5861.91891525791	5498.11363513221	0	0	0	31891.2609314044	0	0	0	0	0	0	0	0	0	0	0	0	7032.40110262248
GEL-2920900-11	0	0	0	537.534402701562	0	0	554.097087378641	0	0	0	0	0	0	0	0	0	0	0	0	0	97.3685099197969
GEL-2698076-11	0	1166.78596319619	1326.25670966559	1534.21856086079	0	1835.16335513847	1795.67059974323	0	0	0	0	0	0	0	0	0	0	0	0	0	518.90481139573
GEL-2741976-11	60456.3448410827	0	12331.6598055057	0	0	0	0	57504.2293153224	0	0	0	0	0	0	0	0	0	0	0	0	19228.7660380892
GEL-2760059-11	17153.6842066655	0	0	2643.52327799105	0	0	3726.30401985476	13515.2812064455	0	0	0	0	0	0	0	0	0	0	0	0	3812.20728904319
GEL-2989750-11	14396.3082442699	0	4940.00778067152	14118.6673006473	0	3232.64104088095	3864.46178285443	2898.97165458141	0	0	0	0	0	0	0	0	0	0	0	0	2840.94219609449
GEL-2912072-11	34494.762112512	12173.621870977	0	0	0	0	0	37052.3927651879	0	0	0	0	0	0	0	0	0	0	0	0	14158.2232513231
GEL-2866253-11	0	2853.53090677363	1585.62851894891	892.63530381977	0	3737.15980057728	3080.19222551261	951.176968924542	0	0	0	0	0	0	0	0	0	0	0	0	247.676275443258
GEL-2979673-11	7061.80844436301	0	1804.12260817213	0	0	0	2089.95890375101	5635.12991126351	0	0	0	0	0	0	0	0	0	0	0	0	2532.98013245034
GEL-2452703-11	19108.1021104223	0	0	3768.22432837732	3526.74199447706	0	4275.68720396481	19371.0828715642	0	0	0	0	0	0	0	0	0	0	0	0	4627.16149119431
GEL-2020743-11	15553.6997858645	0	4557.08400156904	23585.6103505263	0	0	5680.35119510768	22617.3800358822	0	0	0	0	0	0	0	0	0	0	0	0	5778.87463105028
GEL-2998075-11	419.520257125941	0	0	609.709464602893	0	0	2229.0777298486	0	0	0	0	0	2200.47407595365	0	0	0	0	0	0	0	474.218472468916
GEL-2437946-11	6449.66197100198	0	0	10751.7710961565	0	0	4410.66234377759	2047.50379642528	0	0	0	0	0	0	0	0	0	0	0	0	1837.40079263865
GEL-2897491-11	0	0	0	1088.34046555373	0	0	2978.74817775688	0	0	0	0	0	909.545262167881	0	0	0	0	0	0	0	1431.36609452151
GEL-2854799-11	37826.1159599144	0	0	7980.98814975616	0	0	0	43265.5409182824	0	0	0	0	0	0	0	0	0	0	0	0	11754.354972047
GEL-2724890-11	11069.946629293	0	4283.33361646706	5191.61641043065	0	0	3144.97918967128	9371.91794784677	0	0	0	0	0	0	0	0	0	0	0	0	2268.20620629124
GEL-2373907-11	37295.4964390872	0	15211.3339167707	11387.3728903877	0	0	0	53019.3921516004	0	0	0	0	0	0	0	0	0	0	0	0	11650.404602154
GEL-2709145-11	9850.87404619687	0	5522.56568725615	3164.53207540655	0	0	1916.80799640921	6373.53649483824	0	0	0	0	0	0	0	0	0	0	0	0	2116.68369989298
GEL-2083136-11	10075.8087362865	3945.09973750757	0	13610.2940107497	0	8965.99936540292	0	9752.71867157678	0	0	0	0	0	0	0	0	0	0	0	0	5666.07947847653
GEL-2552061-11	18991.7480342427	10574.9733393408	12048.1089293587	10428.9599000044	0	28834.6539928007	0	17364.5982684864	0	0	0	0	0	0	0	0	0	0	0	0	4970.9575357663
