GEL-NET_common_SBS3+8	GEL-NET_common_SBS4_a	GEL-NET_common_SBS4_b	GEL-NET_common_SBS92	GEL-NET_common_SBS2+13	GEL-NET_common_SBS17	GEL-NET_common_SBS1	GEL-NET_common_SBS5	GEL-NET_rare_SBS44	GEL-NET_rare_SBS7a	GEL-NET_rare_SBS57	GEL-NET_rare_SBS100	GEL-NET_rare_SBS156	unassigned
GEL-2644903-11	4623.71485613447	6178.30442064964	6722.03526350422	0	10531.6558742597	2992.0216546031	0	0	0	0	0	0	0	2431.26793084887
GEL-2368667-11	0	4672.94160899654	2783.48691608997	8669.11580882353	0	7979.3624567474	0	0	0	0	0	0	0	3609.09320934256
GEL-2996577-12	0	9476.98146951088	4371.45098039216	0	2571.02966314731	1291.01917690153	0	0	0	0	0	0	0	3190.51871004812
GEL-2023070-11	0	14043.2270180421	15741.6335325782	7943.56276212807	0	0	0	3018.33386171747	0	0	0	0	0	4672.24282553416
GEL-2537046-11	0	2015.86713637716	0	1939.73997992267	19447.4834547888	0	0	1538.0690623141	0	0	0	0	0	1999.84036659727
GEL-2704793-11	0	8946.54330487004	7083.68084826874	6554.29366613493	0	0	0	2199.10837946889	0	0	0	0	0	1878.3738012574
GEL-2486799-11	0	80247.6009695633	26924.9747368619	14361.6859566766	23426.6473777007	0	0	0	0	0	0	0	0	14645.0909591975
GEL-2193607-11	398.339241887101	0	0	0	0	0	590.953913280611	413.466048541042	0	0	0	0	0	446.240796291246
GEL-2181420-11	0	0	0	0	0	0	20879.6148855838	0	51141.3851144162	0	0	0	0	0
GEL-2637932-11	2552.1121436114	0	4050.50374868004	1556.34873284055	0	1835.64213305174	7038.79324181626	0	0	0	0	0	0	1892.60000000001
GEL-2757487-11	223.909714889124	0	0	126.798310454065	0	0	178.121436114044	279.25818373812	0	0	0	0	0	144.912354804647
GEL-2959739-11	0	0	0	0	0	0	0	53.2401746724891	0	0	0	0	0	73.7598253275109
GEL-2459465-11	0	0	1511.43927765237	1979.1223476298	1457.24424379233	922.319187358916	891.207223476298	1705.6381489842	0	0	0	0	0	425.029571106086
GEL-2278530-11	0	0	0	0	0	0	224.512585812357	689.073226544622	0	0	0	0	0	400.414187643021
GEL-2804829-11	730.627970128989	0	0	207.890020366599	0	0	324.388775741118	609.60986648563	0	0	0	0	0	346.483367277664
GEL-2971578-11	158.216142270862	0	0	0	0	0	393.537619699042	490.169630642955	0	0	0	0	0	422.076607387141
GEL-2560149-11	0	0	0	0	0	0	0	0	0	290545.58448531	0	0	0	17288.41551469
GEL-2229173-11	684.436681222707	0	0	339.207622072251	0	260.928940055578	378.346963080588	692.967050416832	0	0	0	0	0	172.112743152044
GEL-2356419-11	0	0	128.359118236473	154.933466933868	0	0	305.354308617234	475.83126252505	0	0	0	0	0	186.521843687375
GEL-2167475-11	0	183.203246034674	0	279.865732202139	0	0	375.516045739579	403.35079306529	0	0	0	0	0	130.064182958318
GEL-2140428-11	0	228.395375457876	0	224.896978021978	0	0	316.854853479853	993.544871794872	0	0	0	0	0	419.307921245421
GEL-2738206-11	468.820846459389	0	0	399.273250239693	288.197233255718	0	712.987946856595	1259.36186823723	0	0	0	0	0	524.358854951375
GEL-2186326-11	0	188.65780141844	0	248.18085106383	0	0	493.335106382979	601.788120567376	0	0	0	0	0	175.038120567375
GEL-2470961-11	0	0	0	155.620729813665	0	0	225.174689440994	572.94448757764	0	0	0	0	0	335.260093167701
GEL-2344091-11	909.786196159834	0	0	0	0	205.177304964539	559.983912817852	789.181975436776	0	0	0	0	0	428.870610620999
GEL-2278863-11	532.258523245214	0	0	560.826071103008	203.982315405652	0	255.604375569736	697.649589790337	0	0	0	0	0	498.679124886053
GEL-2611228-11	653.704730576441	0	504.658051378446	0	0	0	449.140664160401	995.811873433584	0	0	0	0	0	589.684680451128
GEL-2392455-11	740.828789279113	525.878465804067	483.888170055453	0	545.873844731978	0	405.906192236599	1511.65064695009	0	0	0	0	0	112.9738909427
GEL-2327510-11	0	0	0	0	0	0	612.993402450518	623.536286522149	0	0	1453.41187558907	0	0	506.058435438263
GEL-2716781-11	349.715215622457	0	0	245.300244100895	0	0	781.363710333605	0	0	0	0	0	0	465.620829943043
GEL-2487108-11	762.631578947368	0	0	0	0	0	280.15037593985	625.568760611205	0	0	0	0	0	401.649284501577
