GEL-Bladder_common_SBS13	GEL-Bladder_common_SBS17	GEL-Bladder_common_SBS92+100	GEL-Bladder_common_SBS1	GEL-Bladder_common_SBS2	GEL-Bladder_common_SBS2+13+107	GEL-Bladder_common_SBS92	GEL-Bladder_rare_SBS57	GEL-Bladder_rare_SBS94	GEL-Bladder_rare_SBS23	GEL-Bladder_rare_SBS109	GEL-Bladder_rare_SBS31	GEL-Bladder_rare_SBS33	GEL-Bladder_rare_SBS6	GEL-Bladder_rare_SBS20	GEL-Bladder_rare_SBS4	GEL-Bladder_rare_SBS147	GEL-Bladder_rare_SBS105	unassigned
GEL-2982105-11	2147.40945768437	762.500469131169	1382.90767498593	2399.074638769	1467.46317320323	2227.96232876712	0	0	0	0	0	0	0	0	0	0	0	0	277.682257459181
GEL-2958830-11	0	0	522.223673005961	1554.63128015896	0	0	1536.57167187056	0	0	1195.94739332009	0	0	0	0	0	0	0	0	492.625981644429
GEL-2278550-11	0	0	5661.43892272554	2642.90513894176	12070.1337647507	2683.41901408451	2304.28917015607	0	0	0	0	0	0	0	0	0	0	0	916.813989341419
GEL-2865054-11	1500.70848400556	0	0	1620.42454798331	860.553129346314	0	2304.15855354659	0	0	0	0	0	0	0	0	0	0	0	917.155285118226
GEL-2468177-11	10493.1024732136	0	0	0	3672.66092000322	0	2234.11866591477	0	0	0	0	0	0	0	0	0	0	0	2233.11794086841
GEL-2107496-11	434.8343172729	0	640.25604646734	1090.58446010284	0	519.801942487145	1501.9277280518	0	0	667.745572271948	0	0	0	0	0	0	0	0	393.849933346027
GEL-2839877-11	3835.46276308127	0	9570.41184177689	0	22803.3332189502	3072.16918309625	6972.11450794443	0	0	0	0	0	0	0	0	0	0	0	1817.50848515096
GEL-2016121-11	2539.25744181851	504.058572373564	0	1527.64682181731	1073.9941066811	0	2015.73522160082	0	0	0	0	0	0	0	0	0	0	0	638.307835708696
GEL-2932064-11	0	0	714.487482614743	1232.06502086231	0	0	3373.02225312935	0	0	0	0	0	0	0	0	0	0	0	444.425243393597
GEL-2955250-11	8521.22206657877	0	0	1706.84341353549	2872.39505053834	1714.34052955394	2309.61154141947	0	0	0	0	0	0	0	0	0	0	0	1072.58739837399
GEL-2373213-11	0	0	13835.8778411466	0	139709.205703195	0	0	0	0	0	0	0	0	0	0	0	0	0	13957.9164556584
GEL-2056533-11	4412.42449042028	0	0	990.748097441585	1695.85712646755	0	4839.88435504226	0	0	0	0	0	0	0	0	0	0	0	1119.08593062833
GEL-2980002-11	733.843683200877	1713.97051246917	856.484680734448	1823.09597149904	822.946122225267	1132.30178130995	2050.35724856125	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2821349-11	975.29322847513	0	572.759472985395	940.246757226024	463.614748238178	398.02778061485	1481.96506996221	0	0	0	0	0	0	0	0	0	0	0	70.0929424982132
GEL-2819049-11	8192.98418759748	0	0	2127.94384983596	3926.58688753832	0	2765.02581616738	0	0	0	0	0	0	0	0	0	0	0	1597.45925886086
GEL-2796660-11	4162.19555555556	0	0	651.874009661836	1470.71574879227	0	896.826666666667	0	0	0	0	0	0	0	0	0	0	0	579.388019323667
GEL-2270161-11	9808.12853846587	0	0	1630.01564522483	2333.38541842535	1542.90792954021	1331.14606899657	0	0	0	0	0	0	0	0	0	0	0	1145.41639934717
GEL-2068258-11	9124.97708305736	0	0	0	3411.86971784342	0	0	0	0	0	0	0	0	0	0	0	0	0	2556.15319909922
GEL-2701153-11	0	0	6301.25141604239	1652.50831353919	0	0	7248.61611547597	0	0	0	0	0	0	0	0	0	0	0	1231.62415494245
GEL-2163164-11	32438.5946060042	0	0	0	11776.9483914916	0	0	0	0	0	0	0	0	0	0	0	0	0	7884.4570025042
GEL-2854472-11	21531.9141670091	0	0	2990.68255490116	27552.788293841	0	0	0	0	0	0	0	0	0	0	0	0	0	2694.61498424874
GEL-2150133-11	14378.5201693137	0	0	0	5798.20976086249	2191.0792663073	4652.16830071271	0	0	0	0	0	0	0	0	0	0	0	622.0225028038
GEL-2766446-11	4030.32431247946	0	0	1528.50224608305	1480.48646871918	0	1099.86140024104	0	0	0	0	0	0	0	0	0	0	0	990.82557247727
GEL-2041142-11	0	1369.99625803303	1220.10607662898	11105.3635402261	0	4294.35369722606	0	0	0	0	0	0	0	0	0	0	0	0	436.180427885829
GEL-2977311-11	4598.56413746172	0	0	923.314052398775	1596.04287172508	0	1439.98979244641	0	0	0	0	0	0	0	0	0	0	0	262.089145968015
GEL-2650428-11	1992.26213334121	2367.28207248988	4581.85242076035	3262.52326234012	0	1434.98951348477	0	0	0	0	3311.09059758367	0	0	0	0	0	0	0	0
GEL-2194797-11	5632.46577006508	0	1441.87522776573	1301.83878524946	1955.00876355748	3924.02117136659	2852.74238611714	0	0	0	0	0	0	0	0	0	0	0	184.047895878521
GEL-2875130-11	779.039168552036	0	1174.32013574661	1461.3873020362	0	1956.86623303167	1094.16176470588	0	0	0	0	0	0	0	0	0	0	0	620.225395927604
GEL-2408618-11	3201.93076786349	0	1159.29390330608	3070.95405261287	1140.29728048347	1181.78990401706	1360.75808745112	0	0	0	0	0	0	0	0	0	0	0	134.976004265911
GEL-2023937-11	2536.07687538748	0	534.094992078253	1616.77398911621	921.30137080664	611.536267823931	755.427154370738	0	0	0	0	0	0	0	0	0	0	0	277.789350416748
GEL-2888062-11	3316.39915189468	0	0	2048.55541036957	5902.10019476837	4527.22743522103	3789.02729222652	0	0	0	0	0	0	0	0	0	0	0	702.690515519829
GEL-2925060-11	2409	0	0	2517	1306.5	3633	1020.5	0	0	0	0	0	0	0	0	0	0	0	1053
GEL-2581933-11	1492.01730317161	10636.1877143628	1807.12655593664	7851.22212802035	0	3810.82126478862	0	0	0	0	0	0	0	0	0	0	0	0	360.625033719978
GEL-2718688-11	4098.85992371432	1143.75132623087	0	3201.20057871893	1483.56876671489	1051.02827831119	0	0	0	0	0	0	0	0	0	0	0	0	453.591126309801
GEL-2930456-11	0	2539.37890913766	1471.85652299682	8851.70700350336	0	2353.76646417896	0	0	0	0	0	0	0	0	0	0	0	0	391.2911001832
GEL-2159995-11	35512	0	0	0	12751.5	0	0	0	0	0	0	0	0	0	0	0	0	0	4415.5
GEL-2369518-11	3516.37097750151	0	0	1788.91688211673	1286.22124429287	0	1676.98465262116	0	0	0	0	0	0	0	0	0	0	0	815.506243467729
GEL-2749230-11	3034.67203493927	0	0	1871.95668986852	1477.04390155134	1190.24411992175	2608.72680951731	0	0	0	0	0	0	0	0	0	0	0	819.356444201811
