GEL-Uterus_common_SBS17	GEL-Uterus_common_SBS3+8	GEL-Uterus_common_SBS1	GEL-Uterus_common_SBS18	GEL-Uterus_common_SBS13	GEL-Uterus_common_SBS2	GEL-Uterus_rare_SBS44	GEL-Uterus_rare_SBS10a	GEL-Uterus_rare_SBS20	GEL-Uterus_rare_SBS26_a	GEL-Uterus_rare_SBS10d	GEL-Uterus_rare_SBS14_a	GEL-Uterus_rare_SBS31	GEL-Uterus_rare_SBS5	GEL-Uterus_rare_SBS9	GEL-Uterus_rare_SBS26_b	GEL-Uterus_rare_SBS18+44	GEL-Uterus_rare_SBS14_b	unassigned
GEL-2523888-11	68777.5	0	0	0	0	0	0	0	0	0	0	432847.5	0	0	0	0	0	0	0
GEL-2199617-11	0	0	8177.35907344385	0	0	0	34354.5085300252	0	0	0	0	0	0	0	0	0	0	0	3015.13239653095
GEL-2002997-11	0	0	4656.74662918424	2933.80543842296	1562.26015582973	0	16985.1366893991	0	0	0	0	0	0	0	0	0	0	0	2708.05108716397
GEL-2202807-11	0	457.564762876084	2249.40234574197	815.333503314635	0	264.958439571647	0	0	0	0	0	0	0	0	0	0	0	0	126.740948495664
GEL-2830534-11	383.201548807826	1505.75667413899	1847.88302425107	547.502343590789	294.038312614632	337.618096596699	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2348410-11	0	625.502546234253	2081.6724738676	640.014205306888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386.810774591259
GEL-2240094-11	0	0	2611.66093547791	0	0	0	11132.1859863191	0	0	0	0	0	0	0	0	0	0	0	2484.15307820299
GEL-2944348-11	604.461320240044	4742.11914893617	1840.90496453901	784.098417894162	820.626295690126	0	0	0	0	0	0	0	0	0	0	0	0	0	379.789852700487
GEL-2218911-11	0	0	10734.1983723296	0	0	0	31973.0587995931	0	0	0	0	0	0	0	0	0	0	0	1534.7428280773
GEL-2546166-11	0	1426.33336447725	2646.76296365505	531.251705129403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	744.651966738297
GEL-2676381-11	0	610.179887938661	3304.47419640224	1775.52344441168	0	805.737540548511	0	0	0	0	0	0	0	0	0	0	0	0	288.084930698908
GEL-2787494-11	0	565.241732477789	1756.58970878578	1358.47593780849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362.692620927941
GEL-2303002-11	0	1536.47766990291	1999.37475728155	536.539805825243	0	666.792233009709	0	0	0	0	0	0	0	0	0	0	0	0	420.815533980588
GEL-2399753-11	0	651.920062695925	1192.36677115987	441.414576802508	0	190.101880877743	0	0	0	0	0	0	0	0	0	0	0	0	64.1967084639541
GEL-2774789-11	0	733.53488372093	1227.54817275748	652.197342192691	0	264.471760797342	0	0	0	0	0	0	0	0	0	0	0	0	126.247840531557
GEL-2047225-11	0	3853.88001162115	1247.13756536897	0	752.781231841952	0	0	0	0	0	0	0	0	0	0	0	0	0	1028.20119116793
GEL-2469581-11	0	745.301924888949	1871.76968636425	606.559563871315	0	333.081841432225	0	0	0	0	0	0	0	0	0	0	0	0	164.286983443261
GEL-2901825-11	0	7084.56963809332	0	1851.27950873308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999.1508531736
GEL-2778164-11	0	2458.25709969788	2209.83217522659	632.808761329305	508.846223564955	501.348489425982	0	0	0	0	0	0	0	0	0	0	0	0	306.907250755287
GEL-2483144-11	0	1056.1584928842	2272.03849697963	935.868229753251	0	402.298556363264	0	0	0	0	0	0	0	0	0	0	0	0	208.636224019655
GEL-2036722-11	0	2585.4307504967	16301.7159776966	0	0	0	0	0	0	0	0	18802.6326475678	0	0	0	0	0	0	1324.2206242389
GEL-2229846-11	0	539.686624203822	1420.8076433121	709.402547770701	0	335.927388535032	0	0	0	0	0	0	0	0	0	0	0	0	138.175796178345
GEL-2136257-11	0	3726.82247708623	3811.34112961275	0	0	0	40057.3403042373	0	0	0	0	0	0	0	0	0	0	0	4513.49608906372
GEL-2662056-11	396.806850248127	2590.73893159482	1306.36411404106	0	416.797119782038	0	0	0	0	0	0	0	0	0	0	0	0	0	425.292984333955
GEL-2697901-11	6918.40403751573	6954.44521331351	0	1757.50789202791	0	1354.54752373327	0	0	0	0	0	0	0	0	0	0	0	0	521.095333409579
GEL-2085233-11	0	44402.5201118061	0	0	0	0	407413.210892199	0	0	0	0	0	0	0	0	0	0	0	26008.2689959949
GEL-2339680-11	0	841.279618854878	2170.51142592124	0	1767.63808078253	612.067206341176	0	0	0	0	0	0	0	0	0	0	0	0	543.503668100176
