GEL-Skin_common_SBS13	GEL-Skin_common_SBS1+5+18	GEL-Skin_common_SBS17	GEL-Skin_common_SBS7a	GEL-Skin_common_SBS38	GEL-Skin_rare_SBS38	GEL-Skin_rare_SBS129	GEL-Skin_rare_SBS5	GEL-Skin_rare_SBS7a+7c	GEL-Skin_rare_SBS2+13	GEL-Skin_rare_SBS8+23	GEL-Skin_rare_SBS131	GEL-Skin_rare_SBS17	GEL-Skin_rare_SBS99	GEL-Skin_rare_SBS96	GEL-Skin_rare_SBS7a+7c+115	unassigned
GEL-2514294-11	0	0	5580.13364980646	93902.4210694989	0	0	0	0	0	0	0	0	0	0	0	0	352.445280694636
GEL-2829584-11	0	1988.29088738559	0	0	194.077198567449	0	0	0	0	0	0	0	0	0	0	0	331.631914046961
GEL-2827091-11	0	0	24703.4499115675	289270.558616763	0	0	0	0	0	0	0	0	0	0	0	0	382.99147166952
GEL-2637781-11	639.2824933687	2718.70137046861	699.809239610964	0	0	0	0	0	0	0	0	0	0	0	0	0	468.206896551726
GEL-2160623-11	0	0	2235.37673687693	33124.1734671372	0	0	0	0	0	0	0	0	0	0	0	0	910.449795985864
GEL-2551553-11	1282.33742287272	4416.32802410676	639.916917778734	0	616.883914478404	0	0	0	0	0	0	0	0	0	0	0	23.533720763382
GEL-2982409-11	0	0	5604.16080204324	76844.3489118067	0	0	0	0	0	0	0	0	0	0	0	0	160.49028615006
GEL-2609567-11	0	0	0	24412.5306153905	0	0	0	0	0	0	0	0	0	0	0	0	1529.4693846095
GEL-2023599-11	0	0	37662.8207749366	320394.721884585	0	0	0	0	0	0	0	0	0	0	0	0	2365.45734047843
GEL-2950553-11	0	0	0	86428.7219151639	0	0	0	0	0	0	0	0	0	0	0	0	4483.2780848361
GEL-2981613-11	9992.01709323977	0	0	87365.5341553661	0	0	0	0	0	0	0	0	0	0	0	0	7083.44875139413
GEL-2857500-11	0	0	4431.09388308579	41318.3754264042	0	0	0	0	0	0	0	0	0	0	0	0	1448.53069051001
GEL-2011065-11	0	0	0	132036.391201197	0	0	0	0	0	0	0	0	0	0	0	0	6007.608798803
GEL-2993030-11	0	0	4075.92158555891	19841.4862558852	0	0	0	0	0	0	0	0	0	0	0	0	407.59215855589
GEL-2600556-11	0	0	4782.0793015482	51719.9499912034	0	0	0	0	0	0	0	0	0	0	0	0	332.970707248402
GEL-2156992-11	0	0	5562.85391614176	72312.100591716	0	0	0	0	0	0	0	0	0	0	0	0	715.04549214225
GEL-2539137-11	1031.21192338486	3951.05918581019	1608.16973578863	1026.20360904108	515.355545975242	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2557133-11	0	0	5203.76302205537	32570.0346472705	0	0	0	0	0	0	0	0	0	0	0	0	597.202330674132
GEL-2667564-11	0	2620.87478546911	1483.71217105263	16077.7991275744	0	0	0	0	0	0	0	0	0	0	0	0	796.613915903858
GEL-2974965-11	0	0	3987.18506092322	56733.2476616777	0	0	0	0	0	0	0	0	0	0	0	0	391.567277399081
GEL-2904922-11	1117.81601742829	2677.4664142331	0	1325.50313812957	0	0	0	0	0	0	3742.86140359977	0	0	0	0	0	761.353026609271
GEL-2219832-11	0	0	5481.03579848875	53741.2411170261	0	0	0	0	0	0	0	0	0	0	0	0	772.723084485151
GEL-2206223-12	1746.50251542477	7253.93374466066	0	0	761.283151400095	0	0	0	0	0	0	0	0	0	0	0	770.280588514475
GEL-2647923-11	0	0	0	41801.1921846851	6933.78069145598	0	0	0	0	0	0	0	0	0	0	0	670.027123858927
GEL-2752773-11	0	4610.07934492987	0	33404.69794128	0	0	0	0	0	0	0	0	0	0	0	0	1772.22271379013
GEL-2127839-11	0	0	5979.79522199045	74362.1712541812	0	0	0	0	0	0	0	0	0	0	0	0	679.033523828344
GEL-2714216-11	0	0	4898.03912359317	57080.9559400286	0	0	0	0	0	0	0	0	0	0	0	0	618.004936378231
GEL-2397046-11	0	0	11686.180904276	151130.805752086	0	0	0	0	0	0	0	0	0	0	0	0	229.013343638013
GEL-2004951-11	0	2617.95295672797	1078.9502740951	8934.30768632635	0	0	0	0	0	0	0	0	0	0	0	0	216.789082850579
GEL-2051315-11	0	0	0	50568.5447287921	0	0	0	0	0	0	0	0	0	0	0	0	3051.4552712079
GEL-2026068-11	0	0	2000.45955882353	28248.4894301471	0	0	0	0	0	0	0	0	0	0	0	0	222.051011029369
GEL-2148231-11	0	0	15095.4431169878	249717.059010167	0	0	0	0	0	0	0	0	0	0	0	0	564.497872845212
GEL-2079652-11	0	0	0	74355.7360497149	0	0	0	0	0	0	0	0	0	0	0	0	3684.26395028509
GEL-2582043-11	0	0	2024.0395680256	31666.4416330884	0	0	0	0	0	0	0	0	0	0	0	0	70.518798885998
GEL-2384649-11	0	0	5228.79513446269	59529.7826173765	0	0	0	0	0	0	0	0	0	0	0	0	337.422248160809
GEL-2960236-11	0	0	3439.64213397248	56395.3303855531	0	0	0	0	0	0	0	0	0	0	0	0	665.027480474426
GEL-2055225-11	1113.05076396807	4002.68255416192	0	661.030148232611	621.028323831243	0	0	0	0	0	0	4221.19251995439	0	0	0	0	344.015689851765
GEL-2846500-11	0	0	3676.07415386754	38674.5198415456	0	0	0	0	0	0	0	0	0	0	0	0	811.406004586854
GEL-2980434-11	0	831.186705767351	0	105.396871945259	0	0	0	0	0	0	0	0	0	0	0	0	85.41642228739
GEL-2901651-11	0	0	41381.25492903	226813.359413203	0	0	0	0	0	0	0	0	0	0	0	0	7077.38565776701
GEL-2588278-11	0	0	3967.02819774674	66183.4704339482	0	0	0	0	0	0	0	0	0	0	0	0	192.501368305064
GEL-2615382-12	305.151255707763	2035.67351598174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284.175228310497
GEL-2910878-11	0	0	0	217241.264883267	0	0	0	0	0	0	0	0	0	0	0	0	12921.735116733
GEL-2603441-11	0	0	9281.96556221262	77615.8930360875	0	0	0	0	0	0	0	0	0	0	0	0	2819.14140169989
GEL-2877249-11	0	0	1675.42245927434	19408.1017678638	0	0	0	0	0	0	0	0	0	0	0	0	523.475772861857
GEL-2700685-11	0	939.176882661997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201.823117338003
GEL-2485605-11	0	0	0	605561.751611397	0	0	0	0	0	0	0	0	0	0	0	0	19664.248388603
GEL-2399935-11	0	2633.75156181342	1523.64553044342	21677.0704774277	0	0	0	0	0	0	0	0	0	0	0	0	339.532430315459
GEL-2050937-11	0	0	0	1090862.62019607	0	0	0	0	0	0	0	0	0	0	0	0	38794.3798039299
GEL-2563504-12	0	0	0	183950.912342565	0	0	0	0	0	0	0	0	0	0	0	0	7770.08765743501
GEL-2489012-11	0	0	0	572422.791977634	0	0	0	0	0	0	0	0	0	0	0	0	21683.208022366
GEL-2043407-12	0	3924.70588729055	4573.23990892589	39158.0542037836	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2945876-11	0	1475.04526748971	0	0	782.205761316872	0	0	0	0	0	0	0	6728.07407407407	0	0	0	530.674897119348
GEL-2004951-12	0	2630.74360240778	2197.7035036271	10541.4761228585	0	0	0	0	0	0	0	0	0	0	0	0	829.07677110662
GEL-2205260-11	0	0	2481.03353265078	20099.3222489891	0	0	0	0	0	0	0	0	0	0	0	0	670.644218360118
GEL-2384824-11	0	475.167785234899	0	343.288590604027	0	0	0	0	0	0	0	0	0	1113.42281879195	0	0	243.120805369124
GEL-2532772-11	0	0	4215.45770160845	45459.0438586809	0	0	0	0	0	0	0	0	0	0	0	0	155.498439710645
GEL-2797660-11	0	1402.55112348379	741.998011533108	10078.6814078346	0	0	0	0	0	0	0	0	0	0	0	0	340.769457148503
GEL-2955388-11	0	0	0	1079426.17752185	0	0	0	0	0	0	0	0	0	0	0	0	28086.82247815
GEL-2396832-11	0	0	0	28455.6517760691	0	0	0	0	0	0	0	0	0	0	0	0	3032.3482239309
GEL-2680628-11	0	0	0	42601.4269798021	0	0	0	0	0	0	0	0	0	0	0	0	2734.5730201979
GEL-2336481-11	0	0	0	151439.046733905	0	0	0	0	0	0	0	0	0	0	0	0	4869.95326609499
GEL-2196583-11	0	1764.6654028436	0	8026.97800947867	0	0	0	0	0	0	0	0	0	0	0	0	756.35658767773
GEL-2577274-11	0	0	10366.0719061697	127983.734188952	0	0	0	0	0	0	0	0	0	0	0	0	1875.19390487831
GEL-2312895-11	0	3346.48284915728	0	7133.72685694927	0	0	0	0	0	0	0	0	0	0	0	0	1333.79029389345
GEL-2123569-11	0	0	2304.91267726578	36492.1174784377	0	0	0	0	0	0	0	0	0	0	0	0	795.969844296516
GEL-2955837-11	0	1036.86031236316	0	2315.03722084367	0	0	0	0	0	0	0	0	0	0	0	0	78.1024667931697
GEL-2330943-11	0	0	7047.43986085078	87043.459367157	0	0	0	0	0	0	0	0	0	0	0	0	366.10077199222
GEL-2324756-11	1032.03233091644	2204.61381195768	0	778.039938190895	0	0	0	0	0	0	0	0	0	0	0	0	208.313918934985
GEL-2859623-11	0	0	0	247074.980156778	0	0	0	0	0	0	0	0	0	0	0	0	5002.01984322199
GEL-2823007-11	0	0	0	13263.3220100295	0	0	0	0	0	0	0	0	0	0	0	0	1295.6779899705
GEL-2356873-11	0	0	0	0	0	0	0	1046.22454308094	0	0	0	0	0	0	0	0	297.77545691906
GEL-2627755-11	0	0	0	48821.0784408879	0	0	0	0	0	0	0	0	0	0	0	0	2693.9215591121
GEL-2610378-11	0	243.728424015009	0	79.5745778611632	0	0	0	634.094277673546	0	0	0	0	0	0	0	0	109.602720450282
GEL-2034809-11	0	1227.72801771872	1316.70830564784	17768.5636766334	0	0	0	0	0	0	0	0	0	0	0	0	4.00177668780088e-11
GEL-2710933-11	0	0	3452.0797689197	16488.8810167533	1314.53037550549	0	0	0	0	0	0	0	0	0	0	0	382.508838821508
GEL-2673855-11	626.890173410405	1518.73392888422	0	434.92380451918	190.466631634262	0	0	0	0	0	0	0	0	0	0	0	82.985461551933
GEL-2279780-11	0	0	6195.076166472	74945.9214360362	0	0	0	0	0	0	0	0	0	0	0	0	195.0023974918
GEL-2350327-11	0	0	0	111878.785999	0	0	0	0	0	0	0	0	0	0	0	0	5149.214001
GEL-2217778-11	0	0	3123.63716370269	39446.6748290014	0	0	0	0	0	0	0	0	0	0	0	0	1312.68800729591
GEL-2617859-11	0	0	5247.27330633157	52356.7491259044	0	0	0	0	0	0	0	0	0	0	0	0	161.977567764028
GEL-2532370-11	708.393646915089	2216.60268784362	353.197678680513	0	774.337202199145	0	0	0	0	0	0	0	0	0	0	0	36.468784361633
GEL-2312039-11	0	0	11763.8234439671	100518.536095239	0	0	0	0	0	0	0	0	0	0	0	0	2006.64046079389
GEL-2460404-11	0	0	1307.03547320379	16042.2984886994	0	0	0	0	0	0	0	0	0	0	0	0	939.66603809681
GEL-2222146-11	0	0	0	29553.3407894317	0	0	0	0	0	0	0	0	0	0	0	0	1779.6592105683
GEL-2542322-11	0	714.16446991404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162.83553008596
GEL-2059085-11	0	0	2864.07859162757	27245.4912140183	0	0	0	0	0	0	0	0	0	0	0	0	474.430194354129
GEL-2826111-11	0	0	6433.09275975136	32706.9295218322	0	0	0	0	0	0	0	0	0	0	0	0	351.977718416441
GEL-2057860-11	0	259.256566604128	0	0	0	0	0	683.857879924953	0	0	0	0	0	0	0	0	121.885553470919
GEL-2217308-11	153.325994318182	1004.63600852273	0	136.289772727273	0	0	0	0	0	0	0	0	0	0	0	0	116.748224431815
GEL-2356968-11	0	1945.09883591607	1310.92548379921	3247.50856380218	0	0	0	0	0	0	0	0	0	0	0	0	252.467116482539
GEL-2384155-11	1096.81028920709	5643.09644009282	0	567.160450506537	1001.2832644745	0	0	0	0	0	0	0	0	0	0	0	528.649555719054
GEL-2001239-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6645.6220657277	0	184.3779342723
GEL-2550539-11	0	0	3982.80172914076	37948.6389767277	0	0	0	0	0	0	0	0	0	0	0	0	294.559294131541
GEL-2715740-11	0	0	1468.21603325853	25671.7773444686	0	0	0	0	0	0	0	0	0	0	0	0	45.006622272871
GEL-2711516-11	0	0	4357.36345693286	55812.5598397886	0	0	0	0	0	0	0	0	0	0	0	0	387.076703278544
GEL-2045505-11	0	1194.98711361227	0	4696.91460729141	0	0	0	0	0	0	0	0	0	0	0	0	241.09827909632
GEL-2465268-11	653.373646558391	3828.25966744006	0	0	412.920146945089	0	0	0	0	0	0	0	0	0	0	0	276.44653905646
GEL-2776409-11	0	0	1127.38489174018	13570.595797915	0	0	0	0	0	0	0	0	0	0	0	0	881.01931034482
GEL-2879645-11	0	0	0	79988.4229604164	0	0	0	0	0	0	0	0	0	0	0	0	3204.5770395836
GEL-2414019-11	0	0	0	42436.0709410479	0	0	0	0	0	0	0	0	0	0	0	0	2404.9290589521
