GEL-Kidney_common_SBS13	GEL-Kidney_common_SBS5	GEL-Kidney_common_SBS1	GEL-Kidney_common_SBS125	GEL-Kidney_common_SBS107	GEL-Kidney_rare_SBS150	GEL-Kidney_rare_SBS57	GEL-Kidney_rare_SBS22	GEL-Kidney_rare_SBS17	GEL-Kidney_rare_SBS44	GEL-Kidney_rare_SBS26	GEL-Kidney_rare_SBS6	GEL-Kidney_rare_SBS18	GEL-Kidney_rare_SBS31_a	GEL-Kidney_rare_SBS168	GEL-Kidney_rare_SBS117	GEL-Kidney_rare_SBS13	GEL-Kidney_rare_SBS2+13	GEL-Kidney_rare_SBS141	GEL-Kidney_rare_SBS121	GEL-Kidney_rare_SBS108	GEL-Kidney_rare_SBS152	GEL-Kidney_rare_SBS138	GEL-Kidney_rare_SBS153	GEL-Kidney_rare_SBS127	GEL-Kidney_rare_SBS31_b	unassigned
GEL-2659589-11	0	1910.29623529412	608.071764705882	3253.05882352941	2294.65764705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441.915529411768
GEL-2599100-11	0	1274.13337808035	655.811295426215	1163.6651644453	1826.47444625563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292.915715792505
GEL-2092565-11	0	3087.3497857569	591.120030373705	2157.58811086402	3012.20740901448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387.734663990894
GEL-2345095-11	389.709653403921	1707.22805856564	700.478120605509	1855.61750351559	1386.96666390934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2435674-11	0	1595.07525811668	508.320686652569	608.482398308247	1146.85159845752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.270058464984
GEL-2426572-11	0	1754.3986636971	702.759122837074	1571.46136714065	1494.48775055679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311.893095768386
GEL-2378708-11	0	1757.98374886444	646.015140809529	1321.1210255375	1021.18542444736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222.694660341171
GEL-2398350-11	0	1136.89407191448	0	2005.54907677357	565.449951409135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404.106899902815
GEL-2227042-11	572.832296591192	1601.83652649913	502.536949489923	1124.7255536203	2209.06867379945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.54747350886464e-12
GEL-2453881-11	0	2173.41531493575	1490.12755424479	3365.91752685907	1955.82367811249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512.715925847901
GEL-2864003-11	561.781164821717	2986.3367080158	615.760137954052	2220.63497802748	2600.48701118095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
GEL-2375117-11	0	658.051873198847	340.544348382965	220.352225424272	298.477105347422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.574447646494
GEL-2654723-11	0	1724.7254567356	527.651174462959	1267.96024894599	1218.0405541056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234.622565749851
GEL-2616043-11	0	2523.34352223289	879.339397706085	2392.64444318888	2674.57387423018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393.098762641965
GEL-2453972-11	0	1228.45231729055	571.245320855615	280.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162.927361853835
GEL-2289049-11	0	3253.3004599816	735.954860472248	2433.35075130328	1394.4144740877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334.979454155172
GEL-2843597-11	0	2615.23401933271	0	769.03960087309	2447.9429373246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573.7834424696
GEL-2547088-11	0	1030.05711937539	471.483870967742	463.976166016026	388.398602835422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.08424080542
GEL-2769494-11	691.339652885253	1730.10126022551	1630.98087552509	1049.27437541455	3955.30383594959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.27595761418343e-12
GEL-2966305-11	337.690042333886	1889.96686913308	707.802319160685	1149.24351187189	1335.29725750046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2251443-11	359.058765755443	1847.30234080864	1183.69373056147	696.113930266819	2023.83123260763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2370900-11	361.544881470301	1534.31235017313	582.878451567078	1443.67575246382	1717.58856432567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
GEL-2944183-11	0	1100.25929263348	0	526.905834647443	376.575354809642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213.259517909435
GEL-2947309-11	0	771.479820627803	365.701473414478	0	288.553491351698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138.265214606021
GEL-2007388-11	0	1869.03521053181	692.939922683105	888.204785288894	1093.48323059241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248.336850903781
GEL-2363501-11	0	1170.32329372755	301.083172147002	965.766786405084	1039.78723404255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.039513677814
GEL-2404354-11	762.902379733879	1990.24533009212	956.377622824974	2126.22792988741	1979.24673746162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2752715-11	397.812259595712	1571.70914150094	799.632703167199	1672.4147638923	1680.43113184385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2017816-11	0	623.971040040292	582.940065474691	200.651473180559	524.39587005792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.0415512465381
GEL-2131301-11	0	1880.07623914154	407.624936126725	1876.07501277466	471.144404701073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259.079407256002
GEL-2298342-11	0	844.116401088224	0	1181.66265060241	332.530703458997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222.690244850369
GEL-2826509-11	0	2128.77777777778	924.858502654219	1414.84312648728	3425.88431264873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316.636280431991
GEL-2075400-11	0	1321.39306426796	421.349863889218	1230.64078589182	1018.22061782459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221.395668126412
GEL-2851233-11	0	2525.67403050407	839.062854797893	2063.96484508584	1570.31037548731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298.987894124887
GEL-2218267-11	0	2070.26069398744	529.682919533353	1683.99192342208	2113.23496859109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284.829494466037
GEL-2509451-11	0	1492.52064441443	397.571001350569	1564.71512637469	1442.88693806676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299.306289793551
GEL-2057598-11	869.180103626943	2290.47461139896	1186.74590673575	1590.8296373057	3714.76974093264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.27595761418343e-12
GEL-2816642-11	312.370502793296	695.598212290503	565.360670391061	964.057206703911	1928.61340782123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2958913-11	394.096371578854	1987.00686458055	533.807791744673	1227.85807256842	1474.2308995275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72848410531878e-12
GEL-2806538-11	0	771.238340302348	447.718880669025	0	224.861048568672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.181730459955
GEL-2135914-11	2539.90986314299	1376.01434638981	1239.61642284096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.459367626239
GEL-2842978-11	0	1389.06944444444	753.224279835391	1419.53806584362	1943.49845679012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320.669753086429
GEL-2576837-11	0	854.200840238067	305.8928696464	851.701715486054	803.718520247403	0	1272.55432372506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194.931730657016
GEL-2137870-11	0	2344.13230394149	1047.29297033726	1669.1544900447	881.930922389273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223.489313287277
GEL-2130439-11	8931.85161947444	0	1715.03141169281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1615.11696883275
GEL-2392219-11	0	749.672195121951	356.269918699187	141.504390243902	252.901463414634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.652032520326
GEL-2298608-11	0	1590.37320077163	494.338922688826	715.543107285947	0	0	0	321.569965870307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.17480338329
GEL-2941521-11	0	0	0	7204.68362568387	15094.1450739159	0	0	0	29201.669469292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4403.50183110823
GEL-2573843-11	0	1959.84045733074	474.066133612315	2107.01621581228	1867.73045882529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290.346734419375
GEL-2215395-11	0	2683.81203733505	1092.75571290634	642.532346314773	1609.58609591246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195.313807531377
GEL-2965662-11	0	2325.91994109897	782.65077888863	1238.32077811362	1747.06882120437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367.03968069441
GEL-2575212-11	0	1946.08219178082	560.371872146119	1374.23342465753	1338.30575342466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245.006757990871
GEL-2524293-11	0	3027.66707811673	1091.96191147946	1578.89084817492	2471.17686475049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344.3032974784
GEL-2563503-11	435.735427921524	1510.78348023884	786.229172590276	1345.31433039522	2975.93758885414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2285471-11	0	2477.81374747701	395.432944606414	1078.09082753981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495.662480376766
GEL-2437944-11	749.545454545455	2419.14670386318	959.558190308691	1612.59779246771	2504.15185881497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2480558-11	322	1526	391	1974.5	1170.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2292679-11	253.603363875988	1231.93096523158	256.610518388352	923.697627714322	1327.15752478976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2010518-11	733.211002213089	1744.12317420171	1348.54884603225	1263.64021498577	2809.47676256718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
GEL-2821906-11	0	3643.68015203247	0	2868.63080590092	616.346389228886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618.342652837724
GEL-2627025-11	0	1299.7018335944	643.833778678706	1427.06459043582	1797.62001289966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273.779784391414
GEL-2217526-11	0	2422.5636969838	670.486314646817	691.016515468714	2400.53128634566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273.402186555008
GEL-2914195-11	0	2536.85095416334	742.724427808799	1604.32472234154	2886.48585629257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369.614039393751
GEL-2924794-11	354.324472960587	1677.53620531622	611.560036663611	1023.93767186068	1792.6416131989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
GEL-2302491-11	412.857856746252	1908.96654636313	567.679553026097	3515.80531649084	813.690727373681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEL-2641718-11	0	2145.23119329275	741.425519696796	529.804065694269	740.424945446193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199.114275869992
GEL-2291275-11	0	2372.2331067573	621.740503798481	1901.79448220712	1051.09716113555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318.134746101549
GEL-2023809-11	0	1169.34329358167	725.402787082942	581.922015275358	1078.35548706954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.97641699049
GEL-2143742-11	0	1973.6363905034	787.852822382031	1426.04364102059	689.246084129642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204.221061964337
GEL-2988586-11	0	911.070811744387	1141.9689119171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266.960276338513
