ICGC-Bone_SoftTissue_common_SBS5	ICGC-Bone_SoftTissue_common_SBS122	ICGC-Bone_SoftTissue_common_SBS18	ICGC-Bone_SoftTissue_common_SBS3	ICGC-Bone_SoftTissue_common_SBS1+5	ICGC-Bone_SoftTissue_common_SBS2+13	ICGC-Bone_SoftTissue_common_SBS8	ICGC-Bone_SoftTissue_common_SBS17	ICGC-Bone_SoftTissue_rare_SBS31	ICGC-Bone_SoftTissue_rare_SBS30	unassigned
f843ed5c-0336-3d33-e040-11ac0d48478c	590.586092715232	237.235430463576	485.48178807947	0	0	0	456.953476821192	0	850.844370860927	0	401.898841059603
f8593ac0-9480-22a0-e040-11ac0d48697a	0	667.808223604491	0	826.500282736893	459.556183859762	0	788.454237014298	2986.61458922369	0	0	468.066483560866
f86b6ba2-8f4b-ee53-e040-11ac0d485904	399.538825118163	468.131330182309	760.52565833896	314.424037812289	0	227.807224848076	461.622552329507	0	0	0	333.950371370696
f87d7c27-eeef-920e-e040-11ac0d48388d	564.80670873464	625.125871803388	0	759.72235137828	0	1582.75489870475	0	0	0	0	970.590169378942
f82d2146-70f5-8114-e040-11ac0d483e50	0	643.657901726428	841.052988047809	467.751394422311	0	1593.15325365206	0	0	0	0	217.384462151392
f841c488-6b8d-6645-e040-11ac0c481418	296.461877479066	0	0	144.197443807845	313.60423093874	0	286.378140149846	0	0	0	103.358307624503
f854ae3f-356d-f0ad-e040-11ac0c485dae	0	235.589958158996	440.102092050209	243.610041841004	181.955648535565	296.241841004184	0	0	0	0	399.500418410042
f86975a2-78a4-ef8c-e040-11ac0c4809da	0	550.277172312224	1394.00206185567	752.430044182621	0	405.308983799705	1368.41944035346	0	0	0	638.56229749632
f82d213f-bc99-5b1d-e040-11ac0c486880	0	0	0	2490.98664241164	1027.58840956341	696.0920997921	803.916164241164	3976.4511954262	0	0	653.965488565485
f221c897-6ad0-0df9-e040-11ac0c4813ef	1404.62110960758	0	0	0	0	0	812.329161028417	469.211772665765	0	4693.12246278755	45.7154939106877
f82d213f-9ba5-7b6b-e040-11ac0c486882	0	1877.92045551118	481.659726353361	1056.23608396363	0	0	1560.49715305515	0	0	0	933.686581116679
f85add3d-e2e6-31f8-e040-11ac0d48479c	0	1630.02848123465	1285.310978604	1859.67337776219	0	2348.98211153981	4130.10592774465	2607.64531743248	0	0	402.25380568222
f86b7e84-7040-c751-e040-11ac0c485675	494.111146573047	1387.02266017713	0	831.711960424479	0	1567.10986994335	1263.62028245432	404.318359530839	0	0	339.105720896835
f87eb1b5-1712-ca1f-e040-11ac0c483848	0	652.129265936896	576.055859626529	351.339021249195	997.462491951062	0	0	206.699452672247	0	0	325.313908564071
f82d213f-caa7-fd59-e040-11ac0d483e46	1259.13869221158	0	658.641815910038	0	674.180549770929	1196.98375676801	657.63931695127	0	0	0	367.415868388173
f83f1eb8-b2c8-c3d6-e040-11ac0c48261e	697.725574995085	1365.96274818164	604.262335364655	590.267839591115	1119.05985846275	467.816001572636	0	0	0	0	239.905641832119
f8515e5a-7de3-6be3-e040-11ac0c480d6d	365.957065443935	125.156315131305	135.669445602334	0	286.85827428095	0	179.223843268028	0	0	0	108.135056273448
f860bc4c-f31b-6538-e040-11ac0c48268f	0	0	240.849469081824	187.38288569644	187.88257339163	203.372891942536	488.694565896315	129.918800749532	0	0	161.898813241723
fc950c33-faa4-0241-e040-11ac0c486786	0	0	162.055528255528	152.02113022113	256.88058968059	229.787714987715	118.907616707617	0	0	0	101.34742014742
f845ebba-8c56-b559-e040-11ac0c4863d5	888.571062375392	738.22823507073	522.953289661065	944.013101680433	0	0	1092.85749549036	579.893762460837	0	0	494.483053261183
f87348df-7186-4c6b-e040-11ac0c482ba9	1410.79821832579	1466.63192873303	918.265130090498	0	0	1532.43594457014	0	797.62443438914	0	0	925.244343891402
f82d2146-726a-d0e0-e040-11ac0c486888	0	1117.52684381779	0	509.062093275488	360.460140997831	0	966.414723427332	0	0	0	749.536198481559
f83fc777-5416-c3e9-e040-11ac0d482c8e	1131.87597065281	3276.93118406255	846.90365768757	618.525143254967	0	0	2937.86922294222	0	0	0	539.894821399883
f85397dc-e6e9-4f54-e040-11ac0d48706c	497.289940828402	520.419705518095	283.591027934498	0	0	1103.69203247557	479.691206825375	532.990229805972	0	0	236.325856612088
f866123a-9eb0-e856-e040-11ac0c48717e	0	758.397059893749	855.56356888145	1307.014118332	651.264755112437	0	1730.56043956044	918.846372170875	0	0	625.353686049049
f87cdca1-2c85-49d2-e040-11ac0d485c9d	329.86612965094	350.326812428078	485.067894131185	0	560.423091676256	421.190640583046	329.367088607595	0	0	0	125.7583429229
c556f81b-8a6c-4bbb-876f-2e2ce570c185	714.676615993079	1170.78933382771	594.146829810901	994.745828698554	1141.78216536893	0	2766.6837226548	483.119391916945	0	0	227.056111729081
63db50d6-5ef2-44d0-9906-26eae74ecf44	1013.73744714588	0	355.387817124736	0	435.035015856237	1344.42455073996	309.515063424947	0	0	0	356.90010570824
1c188bf5-2c99-4eb4-a774-59c75d53e643	0	1776.93873498163	858.937146261543	3250.54651971006	1283.90080428954	1139.74352100089	946.532717704299	0	0	0	825.400556052038
4c59fb2d-21b6-4b09-8174-6102de736e4d	1425.97859660903	3051.52417324156	1391.46701359745	2386.80107436629	1525.01183481618	862.289407419842	0	0	0	0	1274.92789994965
18ec066e-8510-4921-9e35-45d85fb01e38	1251.37213683689	454.635200793257	0	0	0	1066.31710461081	961.285870104115	596.677441745166	0	0	713.712245909762
