ICGC-CNS_common_SBS5	ICGC-CNS_common_SBS1	ICGC-CNS_common_SBS126	ICGC-CNS_common_SBS8	ICGC-CNS_common_SBS18	ICGC-CNS_common_SBS120	ICGC-CNS_rare_SBS11	ICGC-CNS_rare_SBS23	unassigned
59bfcb53-91c1-4dce-856a-f4afc8fa6224	0	146.940940136601	0	703.217356368019	0	0	0	0	393.84170349538
f663ff15-c8d3-4bff-8bf9-bf8e983579e0	0	0	248.37223219629	0	236.207061639737	205.794135248354	0	0	156.626570915619
589daa3f-0b76-4c9c-b494-048955e36052	195.631544925663	252.460245636716	0	213.736263736264	608.519715578539	177.023917259211	0	0	108.628312863607
2009e5e7-1796-445b-8677-46b3804fe0bf	152.009646302251	111.639871382637	235.24115755627	0	130.578778135048	0	0	0	145.530546623794
55c75a2a-f3d2-4469-9d23-604cf539d548	556.213447171825	247.205976520811	799.432230522946	219.794023479189	329.940234791889	0	0	0	182.41408751334
aa018d90-5250-4313-9f7c-a3f196765e07	153.176268271711	0	345.654342218401	0	352.708512467756	174.338779019776	0	0	146.122098022356
6551ec26-4166-4d4f-bee2-444ea2466978	314.717741935484	152.862903225806	139.375	0	203.817204301075	255.27105734767	0	0	48.956093189965
518d6c1b-8234-40be-9560-6d383d5866fa	348.784036047634	150.83907306083	414.932732539427	0	477.573543611201	0	0	0	164.870614740908
27847313-3b1e-47f2-84f1-acadaf265cf3	209.790050590219	0	300.981450252951	439.014333895447	303.971332209106	409.613827993255	0	0	109.629005059022
45614404-2149-4468-848c-0796e3757d62	0	70.1033973412112	56.082717872969	59.0871491875923	117.17282127031	0	0	0	36.5539143279175
031962d6-fc7d-4c6c-9d47-ffa45997b249	0	73.893649579189	196.547054322877	167.89441469013	138.236419280796	0	0	0	80.4284621270081
c59188a8-c6bb-433c-97fe-69f79a126d03	149.88843537415	77.7578231292517	0	0	106.917006802721	0	0	0	41.4367346938773
5beafbbb-4613-4bab-977a-11c865e13a84	101.787012987013	0	149.153246753247	125.974025974026	307.880519480519	0	0	0	91.205194805195
12ae2ba1-9484-47fe-8a3f-bba94a6abe0c	0	0	73.8364055299539	176.698156682028	83.5115207373272	79.4377880184332	0	0	28.5161290322577
d8995dfa-a780-4fe6-b3f8-fb464f51a1cf	225.384679782336	139.003767266639	294.886563415655	136.025115110925	216.945165341147	173.754709083298	0	0	0
12d7121a-0345-4808-a819-09d6e3227bd5	0	0	479.57671957672	884.219576719577	406.641093474427	288.745149911817	0	0	206.817460317459
5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c	399.488584474886	213.726392694064	472.395251141552	437.939360730593	830.936255707762	379.514155251142	0	0	9.09494701772928e-13
75e1bdbc-474e-4367-9b4a-963b31f3b297	72.3453237410072	143.685851318945	0	0	92.4412470023981	0	0	0	110.52757793765
18f9240e-7acd-41eb-a154-c2a67a1cbe9b	0	68.9969758064516	0	161.504032258065	133.905241935484	108.86189516129	0	0	33.7318548387094
aca4d810-9540-4ce3-8ceb-72d396c9b704	166	0	316	371	164.5	0	0	0	139.5
aed4363b-19b8-4cb5-aa34-a442410d0796	0	325.353538976566	719.387254901961	853.739717838355	1902.99234815878	349.917981826877	0	0	41.6091582974614
13c7065e-6780-4571-978e-a7c13078ff50	0	153.186657203691	128.999290276792	111.866572036906	141.092973740241	98.7650816181689	0	0	76.0894251242011
fccb865d-83ed-4bfe-ad84-0689813ae977	107.11693989071	95.103825136612	68.0743169398907	0	100.609836065574	59.0644808743169	0	0	28.0306010928964
d4ea36e2-1323-4441-8c63-40ce269608f4	90.6552315608919	89.1526586620926	171.293310463122	0	110.188679245283	105.680960548885	0	0	17.0291595197255
492694a7-bb41-4128-a909-c424e7fc0c9e	0	170.2761596548	0	0	450.375404530744	125.943905070119	0	0	187.404530744337
30376989-7edb-4863-9496-1789eccef8c4	204.026128266033	127.889548693587	218.95486935867	0	151.775534441805	90.5676959619953	0	0	44.7862232779097
e9d607e8-41c3-4210-870b-a9ab9b1d1c8c	0	0	759.597047062442	171.974776991695	377.54229467856	159.440172254691	0	0	161.445709012612
5c775f90-83d4-4c1e-88c2-4e1ed1daa96f	119.590874524715	92.5703422053232	279.21216730038	0	90.0684410646388	76.558174904943	0	0	0
436af904-65b2-4196-ad8c-a4e98081ee41	0	117.218203033839	0	0	197.047841306884	0	0	0	118.733955659277
8404ef5b-7a64-47fe-98f9-3f63619d2d99	149.340037712131	133.410433689503	193.146448774356	0	205.093651791326	0	0	0	111.009428032684
8bda75a6-86b9-458e-948b-05049b4c52ce	357.950227327112	0	1158.69442450347	1855.5175879397	401.627183536731	422.210576692989	0	0	0
cc39b534-5ba1-4ea0-956b-676f6732beec	68.7250996015936	185.258964143426	0	0	117.529880478088	0	0	0	128.486055776892
68956108-2606-4696-b038-462b6c432398	0	77.5570977917981	215.767823343849	125.284542586751	213.779179810726	87.5003154574133	0	0	68.1110410094626
d17c2123-d262-43f4-9d06-3547f991cde7	103.535528596187	163.344887348354	96.4991334488735	98.5095320623917	277.435008665511	130.675909878683	0	0	0
0624eb1d-3aff-4037-a3c5-fc363a9edd02	183.971774193548	107.862903225806	236.895161290323	221.270161290323	254.032258064516	120.967741935484	0	0	0
51dd1a39-7349-442c-b7e1-7850fb800569	78.5379310344828	0	64.4413793103448	53.3655172413793	0	0	0	0	95.6551724137931
