ICGC-Lymphoid_common_SBS9	ICGC-Lymphoid_common_SBS169	ICGC-Lymphoid_common_SBS100	ICGC-Lymphoid_common_SBS1	ICGC-Lymphoid_common_SBS17	ICGC-Lymphoid_common_SBS127_a	ICGC-Lymphoid_common_SBS18	ICGC-Lymphoid_common_SBS3	ICGC-Lymphoid_common_SBS101	ICGC-Lymphoid_common_SBS127_b	ICGC-Lymphoid_common_SBS5+8	unassigned
d5423a93-0a72-43cf-a7ae-9011f47553c7	0	0	0	416.557827690245	0	0	222.29768689239	292.892222594703	0	249.834562520952	1139.02531009051	666.3923902112
c642b9cc-bdb1-4796-9692-8be92398be17	0	0	0	612.360335195531	0	0	0	0	181.55154900965	0	660.506602336211	520.581513458608
05da3161-1444-4188-914d-19762de3a443	492.388084402151	225.719486967315	0	298.129499379396	0	301.625155151014	0	0	0	0	521.851468762929	574.286305337195
c9f87f0d-4967-4be2-8b92-a20f1980ea22	0	0	0	306.56245210728	0	0	190.088888888889	0	0	188.576245210728	860.190038314176	428.582375478927
a83e247a-8f65-4be4-9c6e-a72c4abffae8	168.676347462062	0	0	302.316064887493	0	0	0	0	227.237571951858	181.189429618001	410.429094714809	623.151491365777
c00d925a-ca4d-4561-a8f2-d4542f218086	0	0	0	689.417980022198	0	0	0	0	0	0	785.4512763596	802.130743618202
ca49fdb1-d55a-427c-9819-90980dcd956f	0	0	0	611.968253968254	0	0	0	0	212.008658008658	0	822.473304473304	437.549783549784
7f7e007e-4b06-4328-b116-6dcdb2ad8181	0	0	0	561.631907472003	0	0	337.179548375252	214.432164494217	0	0	1001.0174407931	614.738938865428
1bdfaa8a-1b7e-4251-b135-ce5e4568371b	0	0	0	416.3281930942	0	0	119.890378813275	0	158.336238685887	0	623.227623198123	191.217566208515
873ed251-fa44-465f-99e0-c90a42ea13d9	321.645990922844	0	0	320.64084720121	125.642965204236	173.889863842663	0	0	162.330711043873	177.910438729198	212.587897125567	166.351285930409
a9a240f3-d237-4bb8-b968-e4a3cc7c2633	0	0	0	798.427699351393	0	0	0	0	254.666539488745	0	1063.22014498283	537.685616177032
4808f9e1-452d-45eb-9b87-2f87c67d3452	0	0	0	948.618757612667	0	472.303842320895	0	397.096224116931	0	742.549883733806	1351.23020706456	616.201085151141
fa9996c3-b874-4424-a5a6-f1c7c0f42b9b	0	0	0	204.689558514366	0	0	0	0	175.81009110021	0	751.3728100911	314.127540294324
a7e1deb7-2e3d-4e36-90c7-9cae34cdcfb3	357.739130434783	0	0	344.712215320911	0	0	0	0	0	0	604.248447204969	871.300207039337
39a5d94d-e8c8-4057-be96-362ffbafb94d	230.197894736842	0	0	323.480701754386	0	361.094736842105	0	0	0	0	538.63298245614	690.593684210527
616ff577-c5c3-432e-a857-f29901de119c	0	0	0	324.550552067547	0	220.212816626976	0	0	214.694955618099	0	1119.62416107383	437.917514613548
767517f2-f94c-44bb-9af6-36b662b166ef	273.088552915767	0	0	359.775377969762	0	306.66090712743	224.984881209503	0	0	0	669.943844492441	717.546436285097
