ICGC-NET_common_SBS5	ICGC-NET_common_SBS8+23	ICGC-NET_common_SBS18	ICGC-NET_common_SBS1	ICGC-NET_common_SBS2+13	ICGC-NET_rare_SBS140	ICGC-NET_rare_SBS160	ICGC-NET_rare_SBS123	ICGC-NET_rare_SBS6	ICGC-NET_rare_SBS3	unassigned
bf91afc4-aa2b-4365-80c5-b98c9d118e10	965.718940936864	405.881873727088	0	166.951411114344	0	0	0	0	0	0	179.447774221704
d404ac28-da11-4746-9c3b-cf0b1888f67b	454.5	0	1810	672	2138.5	0	0	0	0	0	186
5702affd-eafe-42a4-8f56-c1f22f8f184d	978.254356306892	531.638231469441	0	246.063979193758	140.036410923277	0	0	0	0	0	27.0070221066319
44406493-37f4-48c7-961b-8714be50773a	468.165117941387	499.64260185847	0	307.280200142959	0	0	0	0	0	0	122.912080057184
96e99cf0-707e-49f3-9ec6-cb4f90ecf7e4	760.7519160952	222.30415490117	0	147.533682936668	0	0	0	0	0	0	113.410246066962
5935dd9d-d411-48f8-8512-aa73a63878b0	0	0	0	70.445810914681	0	0	475.134511913912	0	0	0	104.419677171407
6dc43234-4f07-4c53-8b07-8d78d9dbad3b	939	201	0	421	262	0	0	0	0	0	121
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	941.697964847364	330.323311748381	0	541.488899167438	270.995837187789	0	0	0	0	0	89.493987049028
3bb25b72-ceb1-4169-891e-339f22cb0f03	1266.24949650515	1723.47849780832	273.337993128776	588.651107688662	366.282904869091	0	0	0	0	0	9.09494701772928e-13
b4860b5f-0a80-4fb2-81e1-4bafeb525b1c	413.244984802432	137.748328267477	0	193.147112462006	0	0	0	0	0	0	76.859574468085
8c4ebff2-8318-4046-98f5-da8f6b1a9e3b	803.578578838174	585.514522821577	0	243.630186721992	229.59387966805	0	0	0	0	0	70.6828319502069
1b7838c9-c685-41c3-b184-a2e40c7c4dc7	860.792529182879	1315.65447470817	244.656809338521	508.287003891051	278.609182879377	0	0	0	0	0	1.81898940354586e-12
29127cde-548f-4c42-96cf-6f0020c3db9a	1053.90372208437	434.136476426799	0	357.788337468983	0	0	0	0	0	0	165.171464019848
56425c2e-6bbf-4b20-ba07-79a526dd4603	264.082687338501	163.982773471146	0	111.669250645995	0	0	0	0	0	0	44.265288544358
b5cc4a6d-93a9-497c-a7bb-a5db82edc176	444.5	247	0	209	0	0	0	0	0	0	101.5
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	1711.8695335277	509.556486880466	0	278.804482507289	0	0	0	0	0	0	246.769497084545
2660825c-68f0-4631-948e-6da158edbe9e	751.5	760	0	486	567.5	0	0	0	0	0	134
3ae3ce4a-54ec-4c3b-83f2-845696ea0fa1	312.231744943435	0	0	0	0	0	0	1035.40075419952	0	0	121.367500857045
48b15122-b1e9-4c30-8fc5-70a07686779a	573.693946567467	273.592492390937	113.038214406493	378.628001352722	140.047345282381	0	0	0	0	0	0
b8068cbb-4523-4ac9-ab17-edd4eb0e2975	789.629186602871	238.69019138756	0	122.097288676236	0	0	0	0	0	0	104.583333333333
e541b5b9-546d-47bc-acd6-4006ce0eec1d	0	526.893578584332	450.980949252751	4249.60896698965	660.240105107571	0	0	0	0	0	194.276400065696
051cb117-16fd-459e-81e5-002eca2b7eea	139.5	91	0	114	0	0	0	0	0	0	37.5
606d7f5e-ff98-4245-a9ac-281f5074f97a	456.938427062213	0	0	299.287162522676	3453.31341372319	0	0	0	0	0	480.460996691921
acb5e263-111b-43d8-9bd1-adb9a54e0fc0	814.365730741541	527.885289176866	317.532517398608	253.42500599952	173.791456683465	0	0	0	0	0	0
274723ac-2bc1-4e2c-b31a-1907217b9f84	95.1053719008265	60.7479338842975	0	65.2293388429752	0	0	0	0	0	0	19.9173553719008
dc7faf84-4438-447b-abcf-a3af87043654	1047.99655708574	2462.7669924478	326.907152376721	339.863838294092	309.465459795646	0	0	0	0	0	9.09494701772928e-13
6c8f3dc9-21bf-4859-9599-231ac040eb7d	549.344389738274	786.139414356051	132.444674786214	376.764965016844	0	0	0	0	0	0	91.3065561026169
de4d6f9f-d64a-41b9-a928-64e79b9f7d5f	534.602935641701	336.379375235228	0	311.851712457659	0	0	0	0	0	0	147.165976665412
df2d41c4-7e79-4a46-aa4a-2a11c051ac40	0	0	21995.8016075768	0	0	0	0	0	0	0	2074.1983924232
b27b569a-2c79-4453-8a2d-41fd0b4dd28d	1764.44321940463	748.824696802646	0	307.338478500551	201.221609702315	0	0	0	0	0	156.171995589858
c9e7cff0-aec2-4ff2-8091-7cbea2bf5991	936.934046992652	7145.62360518915	938.435543862832	690.688560283044	1322.31824367232	0	0	0	0	0	1.81898940354586e-12
c766274a-3c1e-443f-9ed4-c0e2b9c904d1	547.461795252226	417.445845697329	0	188.797106824926	141.473293768546	0	0	0	0	0	47.8219584569729
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	468.016579973992	159.516905071521	0	704.783810143043	127.412873862159	0	0	0	0	0	83.2698309492851
8cbd1752-7eea-46d3-8623-09e96dfb1fdf	0	0	7675.64608498375	0	0	0	0	0	0	0	476.35391501625
5174f450-0bf7-4237-a53e-844064f0e701	734.761884990658	1030.06809217355	0	376.390284409383	205.713307037575	0	0	0	0	0	64.0664313888342
074fd614-5d9c-4bcc-96ad-351aa14387e3	1696.78174773999	884.864686468647	270.805567513273	395.715884631941	233.832113646147	0	0	0	0	0	2.27373675443232e-12
3189bc97-afd8-4daf-80c9-2d78a08228d3	908.464566929134	305.982845894263	0	373.86811023622	136.768841394826	0	0	0	0	0	49.9156355455571
d6faafa5-7279-4dc3-be71-45af5c855b34	952.325247693885	1006.3436966177	336.114793303724	399.136317048172	234.079945336522	0	0	0	0	0	0
b499032c-6cb8-4646-a95b-10af2a21a289	1354.76900945335	505.168105219893	0	343.434443074394	0	0	0	0	0	0	225.628442252363
8c443bd0-7987-44de-b312-5b859e6d13a9	1758.12428333642	489.452191603477	0	276.255224708711	0	0	0	0	0	0	182.168300351392
79353875-9d86-4063-a8ea-1d998acb1e81	1430.23728315201	1056.06762716848	0	438.113201999412	295.738900323434	0	0	0	0	0	177.842987356664
857a8354-9589-424e-98f4-98b9bfd6dcb0	640.451145958987	360.627864897467	112.72738238842	381.078407720145	159.115199034982	0	0	0	0	0	0
e3eb5217-50e4-49e2-a6fa-f847d091f3c9	984.782193958664	703.558823529412	211.167726550079	461.366454689984	0	0	0	0	0	0	157.124801271861
f89ef95e-6e39-420b-a3c2-ccebcc69ce3b	623.545838359469	1166.90726779252	0	464.671139927624	847.663751507841	0	0	0	0	0	200.212002412546
589e0aea-9057-4b8c-8af1-74c74fe46a38	1679.84233640755	1618.77536231884	0	593.150527009223	465.009991216513	0	0	0	0	0	202.221783047874
