ICGC-Uterus_common_SBS3+8	ICGC-Uterus_common_SBS2+13	ICGC-Uterus_common_SBS13	ICGC-Uterus_common_SBS1+5	ICGC-Uterus_rare_SBS44	ICGC-Uterus_rare_SBS26	ICGC-Uterus_rare_SBS10a	unassigned
712ba532-fb1a-43fa-a356-b446b509ceb7	0	0	0	3606.28549342953	0	0	0	277.71450657047
6e599fcc-d79a-4e0f-b451-c20768c989f9	2232.21645021645	0	0	1965.83261183261	0	0	0	312.95093795094
ec31e921-0782-4f77-ac23-4190af1e61ee	1408.85947940561	0	0	3414.15946943253	0	0	0	189.98105116186
92126163-00c3-41f2-9ce6-7aad5f621407	409.692549588776	0	0	3574.04160619255	0	0	0	157.265844218674
c75cc75a-7496-420f-b526-ea63c77e9839	1034.04988028731	0	0	2481.31949986699	0	0	0	245.6306198457
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	2638.16902003889	0	0	2893.23370254502	0	0	0	383.59727741609
65f9a820-f026-4a10-8bb7-1fbc3b38321e	553.892448068336	1132.28013977868	0	3159.38652688798	0	0	0	304.440885265004
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0	18966.659657507	18654.1874950219	0	0	0	0	101.152847471101
b38d0777-4901-48b8-9cdc-33b7f13a424f	8980.19378981601	0	0	1466.38860426783	0	0	0	768.41760591616
d12cfd8b-682d-41df-acf8-ee7f68a6241c	2152.47751022263	430.695592912313	0	3868.75692866879	0	0	0	154.069968196267
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	2535.3845103128	897.99037016801	959.523972134954	2932.10114738424	0	0	0	0
b77084ab-8148-49e0-b3f9-90f7d9ea1862	1043.23688394277	0	0	3004.68226209403	0	0	0	356.0808539632
af96db5a-684f-41d1-a910-5a5193393d9c	6312.02557325883	3830.0883485615	0	0	28708.4234690025	0	0	853.462609177172
42de1441-6f3c-4b4d-b8b8-ad91e4b1dbe2	5986.44967866426	0	0	7172.74154400625	0	48939.9135024798	0	596.895274849689
460f7427-ebcf-404b-9e9e-e0278d0bca95	9694.55773798304	0	12672.3433741753	3112.32113100848	0	0	0	1052.77775683318
dec775c5-7d9a-4dc5-b399-dc4b7ba49d73	7431.01818540564	3411.36952875793	2341.99980268999	2039.61248314644	0	0	0	0
82be6087-a491-42d4-9b48-6a10d1bace18	922.625629851559	0	0	2610.35544055563	0	0	0	139.018929592811
fd504153-3cf6-44b9-99d5-21961ebac188	4227.76905009013	1027.44387392801	1153.93696400284	2743.85011197902	0	0	0	0
493e7008-551c-4c0e-b567-a0f31868629e	3118.28944237328	0	586.208455619894	2358.81494407869	0	0	0	231.687157928136
