GEL-Myeloid_common_SBS5_a	GEL-Myeloid_common_SBS1	GEL-Myeloid_common_SBS17	GEL-Myeloid_common_SBS18	GEL-Myeloid_common_SBS100	GEL-Myeloid_common_SBS8	GEL-Myeloid_common_SBS124	GEL-Myeloid_common_SBS5_b	GEL-Myeloid_common_SBS2+13	GEL-Myeloid_common_SBS9	GEL-Myeloid_rare_SBS57	GEL-Myeloid_rare_SBS31	unassigned
GEL-2997171-11	736.064665127021	331.279445727483	0	0	0	166.143187066975	0	0	0	0	0	0	292.512702078521
GEL-2560909-11	473.94121037464	183.741786743516	0	0	0	0	0	0	0	0	0	0	230.317002881844
GEL-2887150-11	167.851153039832	327.685534591195	0	0	0	0	0	210.941299790356	0	0	0	0	249.522012578617
GEL-2917718-11	380.309224318658	189.388888888889	0	157.228511530398	0	0	0	0	0	0	0	0	247.073375262055
GEL-2727423-11	444.280494854897	421.715458434501	379.092611862643	0	747.153428141982	0	349.507341889236	676.449647358076	0	795.793617759279	0	0	523.007399699386
GEL-2433809-11	666.367709540363	185.63460795674	0	0	0	0	0	134.685979142526	0	0	0	0	319.311703360371
GEL-2856878-11	0	0	679.309481415535	0	952.537280213666	1170.11684843089	3044.60994880926	668.781437792121	517.378143779212	1187.66358780325	0	0	789.603271756067
GEL-2419467-11	0	413.303093419733	619.453058705547	555.752217850806	762.905345984726	0	1780.61405538841	679.141248167862	0	1067.36527038494	0	0	623.465710097976
GEL-2252950-11	0	464.698544698545	0	0	936.90838052907	594.894257652878	0	806.712667574737	0	0	2623.44361602982	0	1558.34253351495
GEL-2228645-11	742.732045866023	520.317742908872	0	0	0	0	0	0	0	0	0	0	415.950211225105
GEL-2155845-11	409.111675126904	412.142131979695	0	0	0	206.071065989848	0	190.413705583756	0	0	0	0	374.261421319797
GEL-2444064-11	320.769814502529	517.893760539629	0	0	0	381.579258010118	0	270.095278246206	0	0	0	0	312.661888701518
GEL-2538243-11	351.102463054187	304.558620689655	0	0	0	0	0	136.5960591133	0	0	0	0	234.742857142858
GEL-2312371-11	457.317647058824	616.164705882353	0	0	0	223.6	0	174.529411764706	0	0	0	0	248.388235294117
GEL-2610641-11	0	677.236809573258	813.485635167878	675.233150373337	2263.63398111062	1729.15788953172	911.664935964001	1429.10992434357	0	1108.02353755625	0	0	522.454136379367
GEL-2578026-11	497.025618758142	282.922275293096	0	0	0	159.557967867998	0	0	0	0	0	0	234.494138080764
GEL-2228055-11	0	354.007998476481	1827.52847076747	0	0	742.811654922872	446.292134831461	616.740430394211	0	711.041706341649	0	0	597.577604265856
GEL-2383487-11	230.891774891775	124.640692640693	0	0	0	0	90.9264069264069	149.160173160173	0	0	0	0	112.380952380952
GEL-2415788-11	631.789847355343	246.478523251686	0	0	0	0	0	148.893148739794	0	0	0	0	389.838480653177
