GEL-Ovary_common_SBS8	GEL-Ovary_common_SBS3	GEL-Ovary_common_SBS17	GEL-Ovary_common_SBS5	GEL-Ovary_common_SBS1+18	GEL-Ovary_common_SBS13	GEL-Ovary_rare_SBS44	GEL-Ovary_rare_SBS26	GEL-Ovary_rare_SBS6	GEL-Ovary_rare_SBS1	GEL-Ovary_rare_SBS111	GEL-Ovary_rare_SBS31	GEL-Ovary_rare_SBS116	GEL-Ovary_rare_SBS57	GEL-Ovary_rare_SBS2	GEL-Ovary_rare_SBS103	GEL-Ovary_rare_SBS14	GEL-Ovary_rare_SBS30	GEL-Ovary_rare_SBS10a	unassigned
GEL-2492677-11	813.785621224683	1209.64064905839	0	1160.47234395357	664.775553713135	313.071656993959	0	0	0	0	0	0	0	0	0	0	0	0	0	74.2541750562632
GEL-2054073-11	12342.4979050563	6160.74937965261	0	2785.38668998902	1563.43639913762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1729.92962616445
GEL-2954620-11	4963.56320342294	7362.94434626236	0	0	1124.55337487986	1220.22807180727	0	0	0	0	0	0	0	0	0	0	0	0	0	1484.71100362757
GEL-2728059-11	1917.14746621622	2182.23699324324	0	969.827533783784	0	459.655236486487	0	0	0	0	0	0	0	0	0	0	0	0	0	393.132770270269
GEL-2120872-11	2601.89884130185	2904.8184442599	0	2523.15980543362	0	0	0	0	0	0	3318.07300193775	0	0	0	0	0	0	0	0	1334.04990706688
GEL-2911723-11	627.564582382474	1122.43267914194	0	1644.23916020082	665.976722957554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311.786855317212
GEL-2118868-11	2216.66726699685	1775.23352844064	0	1534.26969833408	768.884586522587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366.944919705843
GEL-2483130-11	3558.6652712367	2535.17971975115	0	1047.01971044828	1046.51898366184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424.61631490203
GEL-2495385-11	0	338.657258926662	0	896.889031430404	1038.07996579004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76.3737438528942
GEL-2360646-11	0	0	0	2702.59681455823	4050.39574390507	0	21957.7242488026	0	0	0	0	0	0	0	0	0	0	0	0	1453.2831927341
GEL-2734696-11	0	448.369484536082	0	1079.38948453608	681.561649484536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217.679381443302
GEL-2702998-11	4376.65868144133	4588.97233737245	0	1045.58231026786	1164.47795758929	1137.50163424745	0	0	0	0	0	0	0	0	0	0	0	0	0	219.80707908162
GEL-2255566-11	1229.6977960103	1682.77067245817	0	1790.28796653797	1355.21798584299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.02557915057
GEL-2840706-11	1088.73108265425	1586.65075669383	0	1385.38533178114	1284.50291036088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231.7299185099
GEL-2016039-11	1564.68828980623	398.547960043327	0	1491.17944397641	640.577085088458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.0072210855751
GEL-2770545-11	0	0	0	866.609036422314	1924.12325188259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478.267711695096
GEL-2881684-11	998.945787358888	866.386631800497	0	1285.0734740736	3753.17488360227	747.333503412207	0	0	0	0	0	0	0	0	0	0	0	0	0	192.085719752538
GEL-2707360-11	5778.98525336965	1755.60949607852	0	1872.91635748838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1221.48889306345
GEL-2635060-11	700.141357592722	2425.45393048752	0	1881.06648005598	1172.91205971542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261.426172148358
GEL-2441297-11	1335.0834552181	2194.52783274542	0	1566.66428632883	484.123720209929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220.600705497721
GEL-2275570-11	3665.34240159966	2778.6224479057	0	1465.03730793517	774.755314670596	616.305356766997	0	0	0	0	0	0	0	0	0	0	0	0	0	198.937171121877
