Hartwig-Skin_common_SBS1+5+18	Hartwig-Skin_common_SBS17	Hartwig-Skin_common_SBS7a	Hartwig-Skin_common_SBS38	Hartwig-Skin_common_SBS13	Hartwig-Skin_rare_SBS5	Hartwig-Skin_rare_SBS125	Hartwig-Skin_rare_SBS1+5	Hartwig-Skin_rare_SBS8+23	Hartwig-Skin_rare_SBS6	Hartwig-Skin_rare_SBS1+5+106	Hartwig-Skin_rare_SBS99	Hartwig-Skin_rare_SBS33	Hartwig-Skin_rare_SBS32	Hartwig-Skin_rare_SBS96	Hartwig-Skin_rare_SBS115	Hartwig-Skin_rare_SBS124	Hartwig-Skin_rare_SBS112	Hartwig-Skin_rare_SBS4	Hartwig-Skin_rare_SBS7c	unassigned
HMF001052A	0	0	158155.886521257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	976.113478743006
HMF002997A	5286.67091307355	0	0	1033.64237952502	1755.39266774268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	595.29403965875
HMF000525A	0	0	40965.4276487612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1537.5723512388
HMF002040A	0	0	56948.8736733995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1476.1263266005
HMF003698A	0	0	30199.1746936584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1471.8253063416
HMF002506A	0	0	295012.128109447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3643.87189055298
HMF001414B	3524	0	11141.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	685.5
HMF002636A	0	0	83139.9720724606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333.027927539399
HMF000220A	2726.47335423198	0	34156.6939803976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931.832665370421
HMF002936A	1384.53614976892	0	0	16861.9402595368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	903.52359069428
HMF000214A	0	0	546858.534527641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7658.46547235898
HMF001261A	0	0	14968.9908475294	2883.1684477833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1037.8407046873
HMF001978A	0	0	69838.4149982758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4120.5850017242
HMF001324A	1290.86511627907	314.698483316481	211.970475227503	591.312436804853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.1534883720933
HMF002587A	0	0	74073.5615104807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2350.43848951931
