Hartwig-Ovary_common_SBS5	Hartwig-Ovary_common_SBS8	Hartwig-Ovary_common_SBS1+5	Hartwig-Ovary_common_SBS17	Hartwig-Ovary_common_SBS13	Hartwig-Ovary_common_SBS111	Hartwig-Ovary_common_SBS3	Hartwig-Ovary_common_SBS31	unassigned
HMF001208A	957.587431903629	1585.97291490831	1309.80349881071	0	0	4354.17106575616	2253.38233714417	2155.322182153	424.760569324022
HMF002550A	0	487.586276083467	2589.11316211878	0	0	0	1193.93559390048	0	719.364967897273
HMF000884A	1803.82672485839	3474.24022657628	1153.24988392608	0	0	0	2473.89089051908	0	1856.79227412017
HMF003004A	0	1073.59804791482	0	0	0	1389.42106340864	0	3346.9231451778	1523.05774349874
HMF001229A	1640.6580656642	1690.80042708426	2600.38286324406	0	0	1355.34802918409	2225.81942343625	1164.30563217368	593.68555921346
HMF001389A	2056.07120692471	1035.79530731123	1397.74794490718	649.311993031738	0	826.533616418967	2280.85230551473	931.164461865099	18.5231640263464
HMF001380A	794.208995677972	2013.76214196762	0	0	0	963.646912314116	0	2177.20225624496	874.179693795332
HMF003245A	0	175.5	475.5	0	0	0	0	113	235
HMF000543A	0	1598.75222713949	3241.45640554055	0	0	739.691361572504	1458.40565549744	606.836599804586	1044.85775044543
HMF000019A	0	490.281183753074	2552.77418807767	0	0	1970.65937420504	0	0	904.285253964216
HMF001312A	0	2356.42513736264	1154.68835851648	0	0	0	3223.31730769231	0	2010.56919642857
HMF003253A	866.809379727685	932.909228441755	2007.03177004539	0	0	1356.54916792738	1390.60060514372	1070.61724659607	650.482602118
HMF000892A	1256.14848883049	2826.20893561104	1881.96977660972	0	0	1243.13140604468	2018.64914586071	730.95926412615	710.932982917209
HMF002416A	693.620385134306	444.358395682571	1102.87145835889	0	0	318.473568011775	351.57475775788	867.150864712376	310.950570342202
HMF001136A	0	307.336861948956	2056.2180974478	0	0	0	448.801479118329	0	622.643561484915
HMF002825A	1026.2484774665	1904.81729598051	981.193666260658	0	0	539.656516443362	2969.61266747868	0	798.47137637029
HMF001863A	823.855551705361	1454.00995000248	1377.43042423642	0	0	0	4562.23776050691	0	1893.46631354883
HMF001077A	0	611.90160708429	491.124959002952	0	0	0	150.344375204985	0	274.629058707773
HMF001949A	0	0	454.398212789724	0	0	0	336.759564367495	2529.98827143256	294.853951410221
HMF000980A	0	0	501.341698841699	0	0	309.370656370656	299.293436293436	1011.24903474903	227.745173745179
HMF001630A	1934.6033864788	714.646397231492	558.896551724138	0	248.89927079471	0	0	0	594.95439377086
HMF002691A	1508.91514823501	0	2982.17872391605	0	524.730891815503	0	2570.93030248361	0	763.244933549827
HMF003412A	4877.60716270752	4762.19927019647	2071.84645126991	1454.8388874121	1190.54981754912	2560.45648969334	3035.57729392716	0	720.924627244382
HMF003556A	0	1344.21924020916	2172.00960409775	0	0	669.853377441042	1987.49909294632	2163.48602070217	1059.93266460356
HMF000125A	3802.06130061916	2508.21059108564	1397.83871091797	813.906087759105	738.914740606853	846.402338191747	2359.72772372419	0	532.938507095334
HMF001177A	0	0	0	1555.61739080755	14199.3910646442	0	1469.97329105607	0	308.018253492181
HMF003084A	0	3714.34160822294	0	0	2021.7745741957	1398.3815726001	2630.65842888419	2199.38654495529	1518.45727114178
HMF002717A	0	0	780.886860785166	0	0	925.365927857453	418.939301752861	929.865275966971	395.942633637549
HMF000123A	0	809.82123015873	1230.4880952381	0	0	1354.5373015873	708.781150793651	0	938.372222222219
HMF001863B	950.169214641391	1648.05901109461	1279.38136629685	0	0	1030.59889053901	4836.77094435223	804.296758976151	887.723814099758
HMF004396A	1552.9687602608	2718.81922228998	962.051409540785	0	0	2276.75510108354	1854.17177165908	910.102631455509	374.131103710306
HMF004309A	0	403.657731958763	930.320618556701	0	0	0	283.162886597938	955.423711340206	349.435051546392
HMF004105A	3302.53908004346	3384.15124954727	2124.4198478812	0	0	0	7867.31300253531	1289.2720028975	2768.30481709526
HMF004231A	2390.02716659885	0	1348.45112829019	0	1616.34208631968	2719.89289850083	4269.26224531314	2636.92666896185	988.097806015461
