Hartwig-CNS_common_SBS8	Hartwig-CNS_common_SBS1	Hartwig-CNS_common_SBS120	Hartwig-CNS_common_SBS5	Hartwig-CNS_rare_SBS14	Hartwig-CNS_rare_SBS119	Hartwig-CNS_rare_SBS18	Hartwig-CNS_rare_SBS26	Hartwig-CNS_rare_SBS97	Hartwig-CNS_rare_SBS6	Hartwig-CNS_rare_SBS11	Hartwig-CNS_rare_SBS126	Hartwig-CNS_rare_SBS35	Hartwig-CNS_rare_SBS2+13+17	unassigned
HMF001701A	1805.44992947814	327.537376586742	1570.78138222849	898.231311706629	0	0	0	0	0	0	0	0	0	0	0
HMF000570A	0	4588.8477431241	0	2179.34070272404	0	0	0	0	0	0	0	0	0	0	819.81155415186
HMF000913A	2940.59985490041	2908.06555863343	1406.48265400343	0	0	0	0	0	0	0	0	0	0	0	333.85193246273
HMF000043A	1736.74071376548	2795.77771303714	1245.4554989075	1084.02607428988	0	0	0	0	0	0	0	0	0	0	0
HMF002085A	1534.90892738175	3401.90632911392	1585.92251832112	984.262225183211	0	0	0	0	0	0	0	0	0	0	0
HMF003799A	554.329149726003	419.734841788934	266.696128690118	1579.23987979494	0	0	0	0	0	0	0	0	0	0	5.00222085975111e-12
HMF003044A	1066.73618494251	4890.29057979973	1669.08721720855	0	0	0	0	0	0	0	0	0	0	0	460.88601804921
HMF003157A	945.730703538024	3468.84619764132	862.210329402196	872.212769418463	0	0	0	0	0	0	0	0	0	0	0
HMF001331A	3558.37752408605	2391.26171307905	1511.29741322423	0	0	0	0	0	0	0	0	0	0	0	120.06334961067
HMF000921A	2562.51736542612	2079.16528222905	1417.99973837399	1598.31761397083	0	0	0	0	0	0	0	0	0	0	1.00044417195022e-11
HMF003433A	0	0	0	0	0	0	0	0	0	0	159880.607751715	0	0	0	6751.392248285
HMF003488A	1384.17253073336	0	885.249894022891	471.399321746503	0	0	0	0	0	0	0	1979.1765578635	0	0	2.00169563374584
HMF001070A	2152.45464820571	3409.67589714609	1016.06244701893	2256.80700762927	0	0	0	0	0	0	0	0	0	0	0
HMF002830A	2487.44093470506	3442.37801788761	2594.54603732616	1156.63501008117	0	0	0	0	0	0	0	0	0	0	0
HMF001837A	1920.48832381941	0	442.573430202387	1495.9382459782	0	0	0	0	0	0	0	0	0	0	3.18323145620525e-12
HMF001322A	2181.72838038633	0	2201.20809806835	2288.1176077266	0	0	0	0	0	0	0	0	0	0	51.9459138187194
HMF001799A	0	3352.53960857409	658.990608645781	2692.04674170191	0	0	0	0	0	0	0	0	0	0	281.423041078219
HMF003504A	6325.87042253521	3796.32242686891	2244.48624052004	1481.32091007584	0	0	0	0	0	0	0	0	0	0	0
