ICGC-Prostate_common_SBS5	ICGC-Prostate_common_SBS3+8	ICGC-Prostate_common_SBS1	ICGC-Prostate_common_SBS18	ICGC-Prostate_rare_SBS6	ICGC-Prostate_rare_SBS154	ICGC-Prostate_rare_SBS33	ICGC-Prostate_rare_SBS52	unassigned
f921b592-fa4d-49f7-b773-81a0e903aaed	292.502581755594	221.135972461274	782.017211703959	164.344234079174	0	0	0	0	0
62ea1264-47b6-4a6b-9fa6-779837f8e905	311.817857142857	281.286734693878	236.240816326531	151.654591836735	0	0	0	0	0
089be98d-c3c9-4fb4-aef2-7a8578a91d51	0	474.431919842548	1244.44444444444	855.680801574521	0	0	0	0	225.442834138491
122bf0a9-8052-49da-a9d7-0e5de9ab7032	355.905359179019	477.543899657925	952.584948688712	408.965792474344	0	0	0	0	0
7d6fb1a7-7742-4b8c-9903-abff706240b5	0	725.257053291536	2111.70428422153	1341.90073145246	0	0	0	0	132.137931034474
d1cebf4a-4127-47ee-85cb-465fca2ac445	0	284	999.5	594.5	0	0	0	0	90
f3720205-dc76-4101-8a56-72043fc896b5	0	0	0	0	0	0	0	0	63
51adf6cf-f422-4d7e-aa46-cc9bf0ef8693	950.98627292652	1239.28526935056	1008.04544930211	1140.68300842081	0	0	0	0	0
6d0851ba-271a-408f-bcc3-c104b452c9e5	449.728019470642	272.243383024034	743.028901734104	0	0	0	0	0	182.99969577122
96b67289-9c42-402b-8e30-9efb4d512bef	343.145161290323	207.379032258064	646.008064516129	283.467741935484	0	0	0	0	0
6763f295-f2bf-4975-bea5-c1a490d9a1fa	341.176266137041	0	395.283515392254	183.864448857994	0	0	0	0	88.675769612711
6d325c96-8f5c-4064-9806-4364016da8a4	150.742741935484	81.1306451612903	336.541935483871	0	0	0	0	0	52.5846774193548
131332b2-ff51-4bd7-a626-aff2ecea6135	295.499811391928	222.25198038476	655.216899283289	157.031308940023	0	0	0	0	0
73f7718b-f9b1-4a63-a561-0c9cc2abeb9f	327.494416243655	161.991878172589	437.829441624365	0	0	0	0	0	60.684263959391
a971ac23-0664-405d-9f5c-9ca892af003e	328.202844774273	198.122448979592	282.674706246135	0	0	0	0	0	0
005e85a3-3571-462d-8dc9-2babfc7ace21	332	139	745.5	0	0	0	0	0	121.5
a319188c-6b80-4228-8f2b-8f423c0fcf97	127.85756097561	139.480975609756	250.661463414634	0	0	0	0	0	0
1a319682-f55e-4e0b-8476-48a0bea6c265	1039.29164963901	1118.23784225582	1027.29982291241	483.170685192753	0	0	0	0	6.82121026329696e-12
1eb37b28-fac2-477a-88b3-e04291a07926	2412.87282179648	1209.1845576201	0	1199.69095985366	0	0	0	0	368.25166072976
551d5082-ab6a-4674-af0d-ce408f589949	1879.59848951911	585.096794081381	370.927404438964	403.377311960543	0	0	0	0	1.81898940354586e-12
7dd2dc62-0eb4-4d45-86f1-e9e9377181ca	2710.97995780591	1638.68565400844	0	520.400172612198	0	0	0	0	342.934215573452
475bca00-9089-4f50-8638-4e5e8aca6dcd	488.304940374787	472.195911413969	539.652470187394	272.84667802385	0	0	0	0	0
