ICGC-Stomach_common_SBS1	ICGC-Stomach_common_SBS93	ICGC-Stomach_common_SBS100	ICGC-Stomach_common_SBS3+8	ICGC-Stomach_common_SBS18	ICGC-Stomach_common_SBS17	ICGC-Stomach_rare_SBS44	unassigned
6dbac113-d4cf-4db5-97c9-50fa400bb47e	1885.82460632441	1170.64959672257	2938.61016515171	0	0	5238.95659966714	0	468.959032134169
7b482f46-adcc-48ae-a4d6-17f4edd998dc	2593.98188641481	714.821716287215	903.038078558919	953.095621716287	3954.54590943207	884.516787590693	0	5.45696821063757e-12
172c9864-c26d-4e9b-947a-e8ce761e996d	2466.62233279112	0	2919.51200842025	2225.41479284279	2601.73858960865	0	0	246.71227633719
622eaa04-b8f9-471b-98b0-7befd119f14c	1596.06794669845	1353.55762271702	880.037464345012	4724.70113670229	2330.5992166546	860.036612882626	0	1.81898940354586e-12
2e66eb75-097c-4ad8-b2b3-9f5849dfd02f	1030.51980822609	0	777.892379510472	1437.22495584153	630.317940953823	0	0	89.044915468085
a2e67393-50d7-4bcc-9bbd-c695086a936a	1001.33528722157	0	1481.99623178697	1676.06121252722	1602.03642605929	0	0	211.57084240495
7e305f31-fbb0-4bce-894b-1dd85e303421	12755.9253392911	0	0	0	6238.20800960352	8491.28313715029	75925.5316949548	1554.05181900029
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	1857.99658150414	0	1287.30478589421	1542.16714645556	548.703670385031	0	0	318.827815761058
c8e961b4-e324-40a2-89f6-736ec3845bc9	0	0	0	0	0	0	319794.633896389	70306.366103611
1021b60d-f7b2-43b0-b2cc-f282d619d533	0	0	5581.55647404084	0	0	54318.3178402962	0	5172.12568566296
5c4b369c-51a3-4ca7-8b9d-2a8e49c0dde7	2254.75809299588	0	799.768897670899	895.801185571344	5371.80610443118	2507.3430169007	0	67.5227024299966
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	0	9976.19285542877	10523.5051759663	0	0	36844.5251102634	0	3113.77685834153
3db3b7b1-da1d-4b9c-a92a-c60fecf4328c	3209.1156462585	3771.66180758017	0	4285.66083576288	0	15615.6608357629	0	2472.90087463555
9536f736-63bc-4099-bd54-740f5910f4a8	4391.10508818589	869.912304031355	2559.18389557671	2375.49125139978	3577.75209966405	0	0	529.555361142215
dc537fcf-d910-4c4b-8af9-e7da429f2633	0	0	4889.25021019616	0	0	60208.0811832399	0	3294.66860656394
c612570a-881d-421f-98b9-0e4563133744	0	529.068478964401	776.100453074434	1939.25100323625	4079.52802588997	0	0	402.052038834945
388a8875-c3f5-494e-8456-28be8d3626e1	5347.28854462652	0	0	0	3808.63002607917	19984.5530341365	35114.5283951578	7.27595761418343e-12
2c316b7e-6a82-4ba1-9f34-d8bfcf82d41e	1762.03950462455	0	1018.23389245963	1396.13513089826	4338.366201599	808.788629356743	0	242.436641061817
ea1cac20-88c1-4257-9cdb-d2890eb2e123	3942.84014751953	0	2289.95518895983	1191.19641511679	2006.64631002895	2864.56755363445	0	304.794384740449
eb59b79f-bd36-4bf4-83e3-2af73bd1d30a	1465.32063746617	0	511.961411245865	1438.79673248471	1305.17630550266	0	0	271.744913300595
d8d5585d-32cd-4ac4-b410-a4122a17a558	0	985.722254220017	0	8390.41571042488	810.827965087945	0	0	1124.03407026716
0cd60b96-eb2d-4687-9709-d1455ec45de7	2281.31430029899	0	1675.03485743455	1215.56523007365	1579.33289579231	0	0	119.752716400501
feccee20-a62d-4152-b832-b9fdaca87a61	1005.3270702554	0	1493.24314214464	1768.6957605985	4711.68952618454	2258.61148852008	0	389.43301229684
576a1741-8c65-40da-9f0f-b2ca805d70f3	1617.40338733432	0	2740.72533136966	0	2627.59219440353	2550.00088365243	0	661.278203240061
6dac8ca0-f776-4ea2-85c4-aefba4966be7	2561.79171957902	0	0	0	3620.32545881534	21201.6904235888	0	1373.19239801684
c1b44966-0f72-4c4f-8783-ab3ffe7f17b2	706.20692035551	0	2103.13814824403	2359.3504185003	540.393131417724	0	0	78.9113814824359
ea2055d1-7b8b-4aaf-9a70-8802f4deef9b	5789.23014214047	0	0	0	1948.05372073579	823.965301003345	0	994.750836120395
c79ce3d3-4758-4f52-9da1-38f994c99f4e	1996.98552932216	0	1402.78738258441	2139.41317593298	2710.62300076161	3049.45087585682	0	511.740035542021
931b24da-5d6d-4c2d-8de9-ef32d6eb8565	0	8795.45865253393	0	41883.1841190901	6134.14280092767	0	0	2981.2144274483
7116cc90-f465-4e7e-aa27-48a83ed258e9	4392.9417509212	2521.17961191483	2471.68590150841	6584.16329345991	7756.0143762139	3816.01506598174	0	1.09139364212751e-11
d6738c83-7b52-4224-846a-67bd085aaab8	1986.11159622773	0	3854.80527418792	3597.9848061474	5934.85120502969	1494.95494236815	0	297.292176039111
a2ee5dde-4342-4e78-88c5-3c9a8e10cbf5	1815.67698631562	950.925750559342	1472.48197096623	2045.14168270982	3194.46922316458	0	0	150.304386284408
1f2a8889-4374-4037-bb56-0f20733380e3	2555.52330360605	1673.13410882771	2803.41357115161	4462.52560423937	2263.06286674422	5615.34054543105	0	0
6a7cdaf6-211e-4eb8-a70e-1153d69c45e4	1815.8553564317	0	1516.87917164476	1621.87080844285	1072.91453604142	0	0	249.48012743927
edc8839f-fa6b-41e0-ad49-f688073730bd	0	13510.7274763019	2465.04150320745	0	5844.59840385231	5256.08849527722	0	2620.54412136112
61cad26a-cbc6-4977-83b9-dc61e49f2861	1687.83315362352	1093.94744906645	1670.3659270189	1332.9989217411	1524.14028715737	1484.71426139266	0	0
a4c838df-6ac4-455a-8096-8ec680064374	2362.66618214346	0	1406.37278470397	1156.27299155811	3128.50282327948	840.014535696316	0	71.1706826186637
429aad6f-816d-4739-baa3-b0ebf2fcd501	1518.19075144509	1333.16750439809	0	8310.54416938929	2569.32281980397	1272.15983915557	0	914.61491580799
