ICGC-Ovary_common_SBS3	ICGC-Ovary_common_SBS8	ICGC-Ovary_common_SBS18	ICGC-Ovary_common_SBS13	ICGC-Ovary_common_SBS35	ICGC-Ovary_common_SBS1+5	ICGC-Ovary_rare_SBS26	unassigned
cd9efdef-a7fb-49e5-9515-63606ae8bbfc	1887.47974814397	0	812.699558312189	0	0	1817.09237853585	0	794.728315007991
b97941dd-9844-4db2-9e25-42c725f47d70	316.489533011272	282.045088566828	274.057971014493	173.719806763285	314.492753623188	809.194847020934	0	0
e84debc4-b47d-48ed-a0d0-2859f0ebf987	1621.54194170437	1723.16991767411	571.219313209226	705.888897129719	865.590002225024	1262.58992805755	0	9.09494701772928e-13
f988e698-9b34-45ce-ba4c-74e06e9cae4a	585.94356822457	3344.59398061062	642.12993778035	559.355375488352	1272.72160324121	529.255534654898	0	0
2a8d63eb-0174-4213-9214-413f391f512c	4507.43079353506	2976.98221736136	2336.13185077166	0	0	1512.96629805161	0	997.48884028031
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	3249.54215017835	4069.18783582426	0	0	1943.21619180927	0	0	1827.05382218812
53bcbb68-addd-47fc-9910-cd1d3f38197d	1847.31981899346	1799.74720234819	852.300984528833	0	662.511282333517	2534.86932061395	0	492.25139118205
669f0e01-28f6-4ed8-bdb5-73f84ea28f78	2091.92526787667	3417.09506888257	0	1295.62141919965	1001.64006122895	774.26776732998	0	580.450415482179
c767254e-b289-4904-a80f-050cf01ff8ba	9617.10011216243	1758.49558540163	1723.07624169567	1483.62152368353	1941.07980788588	0	0	822.626729170861
51b25b37-f75c-4380-a0f6-5273e0b7ee33	1018.1710593654	3117.58572159673	994.143423746162	648.245585977482	1260.95029426817	785.903915046059	0	0
12874085-a596-41ae-b4cd-817cb1ebb278	2250.19226538528	2047.53985989695	0	0	1083.8150871302	2419.31945811382	0	842.133329473751
9aecfc8f-62ea-4acf-aa00-d1f0fe6c6556	0	407.603715958259	0	0	0	1092.27793331637	0	465.118350725371
b75b2663-dcc6-411c-bfcc-574aa33cf388	1521.0765077896	2105.0657103193	0	580.984112293691	916.552521980565	959.124633657258	0	411.196513959586
2b40a733-7a63-4bb8-a953-95a4ee28f962	1638.65103338633	2669.06041335453	0	0	1229.98867249603	1235.49085850556	0	777.80902225755
cf6c7066-6611-43ec-aef1-295a976cce5b	3684.24245550684	4447.7565127676	1217.42790817643	0	1820.14960020635	1878.07480010317	0	504.348723239611
d2e4dc23-992d-4e44-add4-2972718083cb	2182.34870317003	2262.75102381314	0	459.941225542242	743.097224328834	497.395722736235	0	439.466100409519
d4bf6034-aeae-48a6-907b-10e2cc904015	5294.89663532418	3774.64410444583	0	1414.3046227435	1909.56111784556	2005.51394030731	0	855.07957933362
6ce42746-88aa-485f-a1c4-1759aad95914	898.336517467249	1077.8038573508	519.405476710335	0	0	2629.52147016012	0	369.932678311496
acd510de-b732-4a1a-8b72-6d22e763540b	2089.25250357654	5019.20422031473	978.649856938483	1023.63376251788	1756.87142346209	3107.38823319027	0	7.27595761418343e-12
25f73b03-4ba8-47ba-ad80-6ccb82105c98	1909.72368955709	3914.90857375051	922.624949207639	878.143031288094	0	3989.37830150345	0	685.221454693217
d9e66fc5-9018-4568-b388-c5eb756f7823	1284.11591092031	2744.92218942849	0	620.158304266166	1411.03434397639	1021.32009659243	0	338.449154816214
5b560f4c-d2a3-43fa-b394-abef78bdefc1	1040.7147766323	1143.2852233677	761.022680412371	0	551.879037800687	1479.01580756014	0	120.082474226802
8b28f6d2-4b7d-493b-826e-b119a4fb0cb4	5169.83927681686	1815.64595344864	2614.93031532493	0	0	2914.53690654139	0	1539.04754786818
0009b464-b376-4fbc-8a56-da538269a02f	0	3676.81232484076	0	2443.19445859873	6537.72391719745	1630.29888535032	0	1438.97041401274
6fffe0cf-bb38-4e77-88ab-a256bd7fbbce	0	6065.22549859293	1690.62033525021	0	6683.95252661202	0	0	1912.20163954484
d8c2b4b2-e12b-43d2-bafc-87b29f027797	9092.5811556771	3287.16043755697	1222.95540869037	0	3818.55477058645	1244.90972855262	0	1038.83849893649
f26b1f44-12de-43ba-85bb-bc61741a5a88	1284.90821510736	4136.65596242331	764.458013803681	2094.7746357362	1465.54385544479	0	0	664.65931748466
bc9b66f5-fcb8-4545-ab2d-438bb810edc0	3055.04680246329	0	0	688.912553292279	5591.40653718617	674.893983893889	0	558.740123164373
da43386c-47f8-4e03-b6ca-8b94e13792e7	3581.89591215966	4102.39798946509	1369.13587803249	866.167556940426	1957.26815787521	1628.13450552712	0	3.63797880709171e-12
504cdfc5-6721-43ef-b31e-fdf52f0cd9cd	0	0	0	4716.11064087062	3650.35694354014	1950.87117477444	0	471.661240814799
f858d813-f3c5-4ad9-8c20-9f231d6624d8	4841.36684552386	1541.93532900311	1557.43970629766	2874.81163513132	1295.86585710251	2056.58062694154	0	0
8888e808-594b-4c76-b2e4-62aa56736f7c	4800.80939245105	2786.38171970665	0	1339.09368902644	4939.70073336473	0	0	1093.01446545113
c2ec7f57-8510-4bbf-a2e9-dbd9ce8dcad1	2195.25010139246	1797.98566986616	694.082736244423	476.114641070704	1248.5453562255	1018.02149520076	0	0
