ICGC-Pancreas_common_SBS2	ICGC-Pancreas_common_SBS18	ICGC-Pancreas_common_SBS13	ICGC-Pancreas_common_SBS1	ICGC-Pancreas_common_SBS5	ICGC-Pancreas_common_SBS3+8	ICGC-Pancreas_common_SBS1+5+18	ICGC-Pancreas_common_SBS17	ICGC-Pancreas_rare_SBS28	ICGC-Pancreas_rare_SBS139	ICGC-Pancreas_rare_SBS26	unassigned
b47aa163-eec9-4225-940b-4373e78152e2	0	640.163825649239	0	1175.12939022995	847.56892804027	508.042786866491	701.487930442741	0	0	0	0	485.607138771309
25cf7449-8c5b-403e-aa75-e2af158598e8	0	454.047925683522	393.541539111158	1250.13195397445	739.078011189697	972.102607410535	516.554523382244	0	0	0	0	411.543439248394
edac1323-2497-45e6-9148-e9c955292ba2	0	0	354.450190758796	1439.82874099195	641.314540059347	889.129292072912	779.990674014413	0	0	0	0	619.286562102582
72a5e569-99d4-47bc-be1b-6296a5025080	0	968.830645808263	0	1520.72795828319	1630.60569594866	0	710.944083433614	586.516325711994	0	0	0	836.375290814279
b7008a98-5aa0-4cc9-9bee-af2a422266db	1531.57824554233	1123.0573749553	0	1533.07832217851	2337.11939917233	1304.56664793338	1274.56511520973	0	0	0	0	683.034895008421
1a841850-fca0-48ab-8c78-db0bd5a64435	868.046074632411	1164.06178671904	0	2568.13631296778	1066.05658474441	0	1874.0994744944	1465.07776421254	0	0	0	414.52200222942
e56b0990-ff67-47c1-b9ad-87ef1d4aa2ae	1138.73886508246	877.569406570575	0	1357.88105440852	2507.12673678743	958.621997143228	1651.57161407609	2446.58745617452	0	0	0	620.902869757178
3bfbc33d-804b-4bb3-97ac-97563d77b13d	591.372400756144	523.829867674858	0	1549.97605545054	525.330812854442	0	1158.72967863894	0	0	0	0	414.761184625077
33061bf5-9b99-4735-a810-f2d5eeef6873	0	0	0	931.737235367372	713.3300124533	483.902241594022	562.548879202989	0	0	0	0	526.481631382317
7410c00d-ed0b-48dc-a4bf-eb76ac613980	1037.34810204585	0	0	1036.84865664284	1576.24969189056	1335.01756223811	919.978432339167	1664.65152822282	0	0	0	534.906026620652
f1d9124e-dfa2-415e-b8b8-dd872fd3e2cb	598.647711887354	0	0	1159.75480639047	850.420119144327	303.328188464663	486.526401299756	0	0	0	0	298.32277281343
9c399826-087f-44b9-98c0-bd881646b0f4	0	1001.57916530457	329.532526969598	1254.72006102212	714.486433474992	666.055137844612	420.403617740002	0	0	0	0	195.223057644106
b5dd0bc9-6c1c-4272-b920-744de37d0aee	436.843444730077	0	0	308.950128534704	492.514652956298	321.990231362468	188.579948586118	0	0	0	0	202.121593830335
