ICGC-Skin_common_SBS17	ICGC-Skin_common_SBS7a	ICGC-Skin_common_SBS3	ICGC-Skin_common_SBS38	ICGC-Skin_common_SBS155	ICGC-Skin_common_SBS18	ICGC-Skin_common_SBS1+5+18	ICGC-Skin_common_SBS99	ICGC-Skin_rare_SBS163	unassigned
4e8396f7-9506-4401-96b6-bb2e89557d59	0	15573.6058422364	0	0	2941.39773188308	1864.7521493016	0	3728.00409574776	0	1776.24018083116
ead1bc2e-42c3-46d9-8f6f-8cb16ba9d2c3	0	840.165374677003	390.50645994832	643.157622739018	0	1310.87855297158	1656.77002583979	0	0	202.521963824289
524bbd14-1e1f-479b-9a71-d27fce32d8bc	0	3813.53545850302	706.599213593596	0	0	0	0	2259.31723072602	0	342.548097177364
351db483-a70e-496d-b70a-7449875121ee	0	0	1297.76827704147	485.034630183839	297.133817870885	0	686.965369816161	0	0	749.097905087645
1cd0acf2-3116-4dfa-a063-0a435b9f6da3	0	701.390935403236	1736.25457176687	0	0	833.681752401	2759.13715300618	634.995921589265	0	923.539665833448
7edc42d3-d08e-4360-a3e1-aeb57cfc6640	0	497.865969709154	986.215386677389	522.408658356789	681.685698967967	678.680471786624	3765.54965822276	0	0	341.594156279317
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	0	218470.554212274	0	0	0	0	0	0	0	1837.445787726
f81693ba-09ee-4201-a389-0ceeda8a4636	0	105372.587317497	0	0	0	0	0	0	0	7356.412682503
2e76891c-b620-4cc0-9315-6f1217b09b1e	0	44428.6944558185	0	0	0	0	0	0	0	4473.3055441815
30600994-c1ec-44c9-a620-3f6c617eb928	0	248971.417427254	0	0	0	0	0	0	0	2596.582572746
60413de1-6cd2-4f74-8180-3bdd394d6d16	0	872302.431831755	0	0	0	0	0	0	0	15123.568168245
9fc5b5c7-3973-42b4-8710-454de0cb5b50	0	155501.075556153	0	0	0	0	25816.8330141224	0	0	4581.09142972459
bcefbf6a-80ff-4825-9d3a-492e2dceb35d	0	115847.438853045	0	0	0	0	0	0	0	3653.56114695501
f07b9192-c86f-4ee4-a3b5-feb9c5098bf4	0	70080.449472957	0	0	0	0	0	0	0	8785.550527043
