ICGC-Head_neck_common_SBS1	ICGC-Head_neck_common_SBS18	ICGC-Head_neck_common_SBS17+18+100	ICGC-Head_neck_common_SBS2	ICGC-Head_neck_common_SBS3+8	ICGC-Head_neck_common_SBS127	ICGC-Head_neck_common_SBS13	ICGC-Head_neck_common_SBS3+16	ICGC-Head_neck_rare_SBS31	ICGC-Head_neck_rare_SBS4	ICGC-Head_neck_rare_SBS33+95	ICGC-Head_neck_rare_SBS33	unassigned
ab923db7-54e8-4a50-b7fd-c2b4b300041e	0	0	1796.93256890145	5558.931748239	3276.11181525976	1612.28536257323	8519.79223562131	0	0	0	0	0	1186.94626940525
feccc27e-5c2e-4339-8746-0945fee93c1e	1317.83524504692	617.201251303441	0	294.527632950991	0	0	0	286.988529718457	0	0	0	0	375.447340980191
1db83e80-bdf7-4d8d-8008-bd8406d641fc	1988.04201680672	0	0	4529.4617306382	0	0	2096.00590506473	0	0	0	0	4058.43788326141	594.05246422894
de8ef60b-4dbe-4aa8-adef-6f58cdfada29	2476.32825145869	0	0	2282.14568040655	3765.54037267081	0	866.81498211933	2732.56916996047	0	0	0	0	1171.60154338415
21205681-a0c7-48d0-81d4-0b7ef31158cf	0	0	0	7954.29635033579	0	2901.51378118005	31394.3291293572	3419.83760393348	0	0	0	0	4345.02313519348
5046f1b4-9d95-4841-ba30-691fa44719a2	0	4456.65402533584	0	0	8894.81985704713	7644.11854239127	5590.92968824787	0	0	0	0	0	4732.47788697789
5193a482-6ed9-4504-bd7c-c8b9e4103577	0	0	0	0	0	0	36292.5692904656	0	0	0	0	0	7018.4307095344
d4b80307-abbd-48bb-b52c-6dcd409699a2	2498.7470405589	1086.36794100524	0	664.619347952649	0	509.927809043276	0	0	0	0	0	0	433.337861439934
7158c9fd-a633-4fef-aa23-bd285f2a87a8	1531.9651998487	524.330349262388	0	645.406632202749	0	0	573.361240701047	0	0	0	0	0	692.936577985116
29fc38aa-f367-46a3-a14d-a5f657ad0caa	1395.455346651	0	0	458.306404230317	416.232373678026	0	512.902467685076	0	0	0	0	0	627.103407755581
b537bc07-9998-49f4-bbbe-5b617152bfd9	1162.40593096743	0	0	922.640738940204	771.39645114244	0	857.388186679631	410.736995624696	0	0	0	0	37.431696645599
fb8b5ff5-4164-4276-b75b-b0ee6bda7329	2511.19961841164	1166.76961602671	1012.06534700692	0	1425.2754590985	0	5445.59026949678	0	0	0	0	0	994.09968995945
1fdab6a6-7346-4229-aa8d-5dbd258f0c60	3542.21509350692	761.302918298671	0	0	1017.57814310145	0	1352.09003144481	961.40823081591	0	0	0	0	1456.40558283224
34d7b6cc-cfcf-4178-b075-f4d129ab18f7	910.593539471411	381.049922266367	644.311625496631	0	517.462774226982	0	0	393.634133701848	0	0	0	0	66.9480048367609
469eddf2-6e02-46bf-820f-6296a2b776e2	271.480585614258	0	0	0	0	158.197326543603	0	134.243157224698	0	0	0	0	220.078930617441
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	2155.24079160504	0	0	0	1472.48130150011	0	0	1944.81491654342	0	0	0	0	1524.46299035143
9650640f-154d-4696-aa96-3611c6fcee7b	2585.72408963585	0	2769.7756302521	0	2918.81736694678	0	0	1802.50476190476	0	0	0	0	636.17815126051
bcc819eb-f4d8-4ddc-9fdc-a6307fb6741b	1295.13843111404	772.556361239288	0	599.535926170072	0	0	1142.23665128543	0	0	0	0	0	768.53263019117
f35f7712-d5c6-47f6-98ed-704edbbc1e19	2370.5	0	0	3429.5	1542	0	14537.5	0	0	0	0	0	2037.5
e2e6a409-b64d-463c-ac3b-e7987a3124f0	2293.91831013785	0	2413.0438955214	2883.03937734978	1384.45953433151	0	4283.01526944133	0	0	0	0	0	1919.52361321813
9fb6b7be-0084-48f7-a256-6d170e72e97f	1439.15280204274	0	295.340948797205	0	526.23464588093	0	683.039376427899	692.173632576267	0	0	0	0	140.058594274959
7625877a-7a2b-466f-944b-9e56689ad47b	2358.04719535783	1388.82228239845	580.634738878143	0	0	0	606.640773694391	870.702050290135	0	0	0	0	659.152959381051
1ff155dd-deb4-44e0-b3a2-e4875b618435	2997.17392608142	1832.41202488942	0	0	0	0	6096.37079241322	0	0	0	0	0	2416.04325661594
ca137611-533a-4d20-a85d-8e4c3a1eab2d	2023.19539932799	678.574825536314	727.688808477643	822.909795812871	557.794520547945	0	0	548.272421814422	0	0	0	0	458.564228482815
