ICGC-Esophagus_common_SBS2+13	ICGC-Esophagus_common_SBS28	ICGC-Esophagus_common_SBS93	ICGC-Esophagus_common_SBS18	ICGC-Esophagus_common_SBS17_a	ICGC-Esophagus_common_SBS100	ICGC-Esophagus_common_SBS1	ICGC-Esophagus_common_SBS17_b	ICGC-Esophagus_common_SBS3+8	unassigned
abe290ed-67c8-42bb-84f7-0d32a5f8f3db	0	1897.06474358974	1407.19358974359	2213.65833333333	1023.18653846154	1417.18076923077	3304.25833333333	0	2809.89294871795	728.56474358975
15e7d981-8c27-4b2b-b4f8-626e22021895	1695.36523195115	3735.60133950556	0	1459.45356052398	2156.19269181523	0	1951.76923076923	3357.24300206835	8570.29116517286	2447.08377819364
293a2f0a-4846-4c7c-b8b1-bb741c8d3275	11184.761072443	13180.8261181685	0	0	25859.887262399	0	0	24412.065420269	0	5422.4601267205
2b41746a-95c0-4875-afb5-c6d3d3ad30d9	0	2426.11542559054	3361.31633665185	1805.3182469417	3954.07751368429	2717.99022813269	6205.96921494434	0	5469.52352962786	1315.68950442673
8ff9b1b6-a498-47fe-a970-ab7cfb64e653	2637.5870816504	6578.21718411235	0	0	12132.9005755918	0	2714.08960743097	16024.5290602335	0	5345.67649098098
b53dcb4d-f894-47b8-8a4e-17c7998d8120	2848.99616818957	0	2663.39870051646	0	9720.10457382322	0	6960.15516909946	4861.55307505991	6169.23981494534	5812.55249836604
f48c3c82-bebe-4b8e-909e-e1a51a7142ec	0	2906.86518915349	0	9535.49710123656	3316.06467177925	2062.48530437016	3137.69566653212	4804.47158111034	0	1469.92048581808
384ef419-ee94-4563-9237-236fddeb4b64	0	1006.83791776192	1098.27778820879	1589.95446864439	711.032435223432	1519.50079797221	2644.26117161096	0	854.937805107022	1220.19761547128
28e81540-4744-4865-b627-c7c9d8a3c2b8	0	3325.55886451992	0	0	2125.93944839727	1160.64802317905	1585.33627961564	2511.1566786474	1604.32234284457	1310.03836279615
77c022d3-2f29-49d3-a1df-cc2e9407fd7f	1228.0740249563	0	820.04943034541	1037.56254144312	0	1203.07251793357	908.554765205859	0	2540.65314364941	557.03357646633
3e6a17f9-c249-41b6-ba49-55aaa39d21c5	0	13331.7062329103	0	0	7706.49475332445	4715.74315828835	0	13389.6723456963	0	3620.3835097806
0efb6e20-236d-4640-9373-6fc03e67d090	0	0	0	0	0	0	0	0	0	61
0ef92ff8-829f-425a-91d8-c594b6e22a2b	0	1400.81111477671	0	3816.52115886393	1514.07884713433	3152.45148906817	1912.52064901179	3081.78445250877	0	1832.8322886363
69c3c88c-d51e-4e03-b96b-ec4f1a0faa2d	0	0	1188.19824190039	1523.39521961545	1138.66913623802	1590.93490915505	7445.87555124361	1812.56514964426	0	2317.36179220322
8e48aa43-6cd1-4aef-83ce-2451b1b86e8e	0	7998.38145832274	0	1972.73083896769	6970.78211580499	0	2544.50790503787	5570.32814803518	1751.31716740379	2686.95236642774
7d2da7ba-f57c-4083-9572-6fa98008083b	0	0	2490.31223285635	1949.48431982903	4083.25074335625	3831.36515052964	4575.0035309422	1696.59719383014	1537.8541860249	1393.13264263149
a1e3dc5b-b81f-4890-870c-ed3b8ac36dec	674.69203539823	0	0	763.348672566372	0	1088.92389380531	2129.76283185841	0	1526.19646017699	609.076106194688
c971ffa7-ce37-4138-b028-598a30478e25	0	0	449.106637910376	3044.27989456027	0	762.5770428948	1122.76659477594	0	744.492211838006	165.777618020608
3da169e8-844a-4eee-b794-a2eb81db779a	1773.64553806856	2086.64180949242	0	3056.58081328279	4560.16098796968	2423.10032135794	2393.64772165458	3645.63280735003	3231.2996250824	1062.2903757416
3b590d75-ccfb-4da8-a2e9-10fb07e02cea	0	2863.55568725581	0	9176.29197945476	6002.40513923643	2768.954739014	2231.88163074177	4740.05809444371	3212.4279672798	3209.42476257372
7866dfb2-46b3-42b4-905b-12f80593d6bd	0	0	1079.78889829573	5500.7545919682	0	1150.50428829094	2598.41443663268	0	1578.80884897118	1716.72893584127
ad4aa4dc-bea4-4f4a-8b1b-8f361112f84f	0	0	1095.80847278956	4229.84075635789	0	1587.06753195414	4740.6499209382	0	2354.03320595599	1209.60011200422
b8f3137e-5e92-4a56-90d4-884a4ed2ef9c	2416.56889186268	0	0	728.129908899068	742.672448401873	0	3538.3503010963	680.490555355397	0	1636.78789438468
da910f22-126e-41dc-be6b-47c8f69ad106	7867.73374078486	7642.2843528254	0	0	18565.8320816284	0	8507.09020907788	7208.38176136462	0	8116.67785431884
7a4f6014-f7a2-459b-bc43-df164e73cbba	0	0	0	5271.75328447278	1657.25034603254	2433.46248099657	5441.47169340383	2771.40178348574	1635.78595902067	2787.87445258787
a284fe9d-9afd-4472-8d70-243ca9be5c2c	6625.91553941639	2373.17891812908	0	5239.979051229	4422.60627016392	9176.45835563722	2369.68160182868	3026.67744968967	0	1299.50281390604
eb1531b0-8af1-4b2b-9192-644cb47101fc	0	4752.81523041358	0	4508.40186963198	3083.90682213185	6185.30744309266	2121.24806371598	3966.59392875825	3215.8600475845	1786.8665946712
f37de4fa-52f6-4fe4-a3fa-41803032c93f	0	6917.14297522977	3036.90421149966	3141.38371441381	4374.64177034297	3236.86498262721	3910.23287939924	6469.23084790406	3753.26367406411	841.334944519171
23fa90d5-b273-4e2c-9c88-68aa57b60e97	0	0	0	964.09733415995	0	1069.16243025418	2456.02169869808	0	2116.81153130812	656.90700557967
3a551616-4840-4111-a8c5-b4aa773d82c2	0	0	1506.56436487639	2449.66965046888	0	1499.55242966752	0	974.658994032396	3513.48039215686	1806.07416879795
b9bcba3a-c9be-4305-b5f4-c861282921e0	2766.73588065155	1698.22408281321	5080.67864210687	0	0	0	2071.55350890547	0	7854.91109757954	3508.89678794336
