ICGC-Lung_common_SBS4_a	ICGC-Lung_common_SBS17	ICGC-Lung_common_SBS18	ICGC-Lung_common_SBS1+5	ICGC-Lung_common_SBS2	ICGC-Lung_common_SBS13	ICGC-Lung_common_SBS4_b	ICGC-Lung_common_SBS92	ICGC-Lung_common_SBS3+8	ICGC-Lung_rare_SBS28	ICGC-Lung_rare_SBS33	unassigned
0bbc7ede-5022-4084-925c-d65baaf7abc2	15065.5979632969	0	3851.40850747852	0	0	0	3383.35886284078	9481.50567518829	5233.05505463032	0	0	5411.07393656519
1c3df485-8e75-4378-87f6-c6463a520624	14636.0021204692	0	0	0	0	9467.44364190577	5078.59227354052	4783.70304596559	5830.30989773154	0	0	5459.94902038738
2045c788-9ea8-4ea5-a5e3-65fc16a62adb	0	0	0	0	11715.4099583355	65980.0726557276	16939.9846972892	8108.16791831696	19130.4352913945	0	0	14240.9294789362
7731ef7f-25bd-42f5-9a20-be249306a711	2710.83777824889	0	0	1699.15191859233	7466.06152215391	7680.70703837184	0	2107.92904388382	0	0	0	1936.31269874921
79eb7bba-f0d8-462c-add7-20a2fb7843e1	7742.65304723384	0	3484.19387125523	0	0	3601.2339754576	2770.44930417495	7379.02844998972	7532.08089394667	0	0	3970.36045794199
b7a7d93b-38a7-4fc3-a433-3bb0a8cb7c42	2752.1693904797	0	3071.09460454838	1675.23354203112	1805.40709879385	0	2444.25886198324	6227.80335604456	2709.1119832428	0	0	1065.92116287635
84e601b7-dfa5-4cd5-9fef-07f03967a0d4	8882.56411514393	0	7018.18033541927	2965.51982978723	4285.08368460576	0	6276.42550187735	8697.62524155194	8625.64903128911	0	0	3169.95226032541
387c6519-6529-4074-a5ab-00f8052a5732	10860.1552228235	0	4139.17993861911	0	3223.8661787673	0	9340.8044437584	10762.5684632986	13472.9781534885	0	0	3315.4475992446
448af8b4-e071-48b0-a65b-b4ad17afdc0c	5691.80602394999	0	4379.50490745366	2053.97129780886	0	0	4832.60887526832	10147.8284888823	6502.99215617448	0	0	3435.28825046239
4c3840df-9824-40db-879e-6d24adc8c155	8065.07179527559	0	0	2080.31014173228	2406.38851968504	4095.20486614173	2504.26196850394	6140.0608503937	4194.57637795276	0	0	2223.12548031496
24badf07-8615-48a3-8d6e-45c3d783f18d	1635.04110955897	0	1464.27571343045	2374.6906405907	1206.87567351826	0	0	4059.3088006386	1189.84921173418	0	0	616.958850528839
efe4d5dd-fffb-41df-ab86-be06cc16646f	6306.71224483416	0	2124.92463034168	2490.25552533683	1909.22926631029	0	4873.4140485792	9099.74200506424	4483.06048954328	0	0	730.661789990321
504d4cb0-d2dd-420d-82e6-9ec14434a0fc	17214.8091703427	0	0	0	0	4012.48935357991	4720.89919833729	6460.67778673227	7525.04233118426	0	0	7212.08215982357
8cf9b32d-3d6f-4898-8c7a-89511b754021	0	0	0	1302.8607523863	1215.59985027138	2589.58075987273	0	0	0	0	0	281.95863746959
48f68f73-3ac0-44ac-ba12-b8889fcb7f38	3886.15198251639	0	2809.7789572276	2219.30003122073	1554.76103652825	0	2500.52812987824	6745.97152669372	2768.74567592882	0	0	1556.76266000625
d18c6e64-9598-488a-8ab3-3652072f9277	11358.8576408675	0	6424.35390339557	0	3569.14105185533	3219.67619749941	14624.0292628968	9893.00506150907	7163.77953943619	0	0	3407.15734254013
649f2c20-5b50-40a8-a6fd-9a51f3d5b9df	5612.44737743866	0	5941.62024260977	2956.55263398364	4829.03596883995	0	5273.76952072006	8930.6899529401	7349.35951706493	0	0	2903.52478640289
fb0c6353-a90c-45e2-9355-7cd16cf756ff	40468.3540207282	0	0	0	0	9235.29236787468	17488.3941140726	21897.7498734028	17197.8377234441	0	0	12221.3719004776
96dc785c-8417-4813-8d15-c32b22d78b74	6886.52406624091	0	6660.10547123386	0	6217.26468718034	4899.7383815764	5666.46271875259	12504.5042160847	8586.91272013491	0	0	2815.48773879629
c48d7f4a-e98a-4077-a749-eb9f56f05b84	15398.1457448298	0	4171.19648942626	0	3058.21016759255	0	4346.8521544279	13505.9689090145	8495.52868680267	0	0	4624.09784790632
e7ebc6fb-0926-4c8a-a67b-0c6b9c1ffaba	0	0	2064.86519146265	3093.29998430634	4384.09059165097	9122.98618957941	0	0	2899.40654425612	0	0	3909.35149874451
6962bc97-fbb8-4220-a600-e3c251e245cb	3415.62577142649	0	3369.13086558008	2921.67988996141	0	4452.01222109966	3811.08244373304	13061.0689810476	8375.0823950434	0	0	1666.31743210832
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	3031.17391480129	0	6574.13045294665	2788.03964799267	0	0	6587.13763594464	7509.14679999461	7701.25288734957	0	0	2931.11866097057
935b113e-f5ed-4a07-8e1d-1603daba7f40	21225.814854551	0	3771.46710279559	0	0	0	7451.4350037071	8832.42295782633	9470.91738846003	0	0	6569.94269265995
89c48e53-c8a9-4518-b3b8-509cdcaff52b	6210.50524128813	0	8876.94223565335	3614.15859224982	3261.70428432021	0	0	7464.62177731608	0	0	0	2380.06786917241
d54ca81c-1bcc-41ea-b17a-9f7249ebe9c1	0	0	2605.02212472244	1938.86572674496	1142.48326600498	2020.50745070762	2712.70906123759	3505.58543567244	4282.43398699805	0	0	514.392947911922
71a2b4a2-88dd-4911-a67e-70b3309c4a12	10554.3348593237	0	5066.76043204016	0	0	0	9510.79611577473	10958.6561445398	10517.8509856269	0	0	6557.60146269471
706868b5-4920-433a-bea3-92e9bf83059b	9550.54527507239	0	3405.58199526191	0	0	4667.40918662806	4483.21545143459	8897.35825217163	9299.78152145301	0	0	5332.10831797841
2fe2433b-9a55-431f-a869-2b5a63e8e8fc	24381.2465586471	0	4000.57144881667	0	0	4237.95701261278	11327.539345269	0	0	0	0	8949.68563465445
e9cb8877-8e83-46c0-93f0-ea20530c9400	4900.60130018704	0	0	0	10525.4392489422	13240.3263542102	10159.8197806388	7480.94444242677	4711.03935971236	0	0	4068.82951388263
d2ab2555-7288-47a4-a80c-bf62d65b67b8	5324.3850022407	0	5561.49121147239	2474.10825075935	2105.44311108898	0	2049.41801523677	6688.99626549818	4635.07623363043	0	0	1299.0819100732
4c2ad4a0-5d57-4e27-9f35-058b2f205f50	11220.0322000861	0	8558.94759891654	0	0	8378.54355365415	5987.3154190821	5974.82206414703	13395.3751613801	0	0	5707.96400273398
25224aa0-cfdd-48ec-92e5-8f3992a3e574	32077.8709101273	0	4872.44893280132	0	0	0	16810.8975425929	8487.08900500348	8136.56029514219	0	0	8454.13331433281
abc94013-71f5-4ac6-88a4-01b4ef9f9d2f	4842.47098876514	0	3733.3631146345	0	0	0	4146.40328777783	11920.1593794076	11014.571300034	0	0	5469.03192938093
9623d295-c23d-4f2f-827c-69f767a26f1f	15628.8633613323	0	3902.85051475413	0	0	0	0	15216.2777323279	15935.6833877382	0	0	10908.3250038475
b88f014e-bc0f-4775-8228-39e0b471c3b0	18328.0583945582	0	6322.95486269517	0	0	0	12208.8598762112	14538.7911454893	14248.4258390473	0	0	7876.90988199883
7ac0b303-d685-4fa5-bfec-34d2ba1dbc8e	14907.8418665964	0	0	5488.9374110203	0	10244.447851305	9343.80954389665	11249.7184023201	8359.06493540733	0	11889.0264170841	4473.15357237012
7dc5f8ba-0080-43d3-8426-bd527a970761	5450.10545691447	0	8146.91023029275	2731.30227604107	0	0	3576.74107318284	8823.3612607675	16111.3336711374	0	0	3508.24603166397
ee6cc68e-8d2a-41ee-82c6-0fecdf7e6259	7254.61639209367	0	0	4259.94915399517	0	0	0	7019.06390893662	3267.22796701695	0	3113.69375825005	4258.44881970754
