ICGC-Liver_common_SBS16	ICGC-Liver_common_SBS12	ICGC-Liver_common_SBS2+13+107	ICGC-Liver_common_SBS35	ICGC-Liver_common_SBS28	ICGC-Liver_common_SBS4	ICGC-Liver_common_SBS102	ICGC-Liver_common_SBS22	ICGC-Liver_common_SBS1+5	ICGC-Liver_rare_SBS118	ICGC-Liver_rare_SBS133	ICGC-Liver_rare_SBS103	ICGC-Liver_rare_SBS18	ICGC-Liver_rare_SBS24	ICGC-Liver_rare_SBS142	ICGC-Liver_rare_SBS30	ICGC-Liver_rare_SBS6	ICGC-Liver_rare_SBS19	ICGC-Liver_rare_SBS162	ICGC-Liver_rare_SBS53	unassigned
d252f328-4583-4e97-9a71-bb2885f06f73	0	0	1005.42155788931	0	0	1645.098447265	0	0	887.520327298499	0	0	0	0	3364.95129179821	0	0	0	0	0	0	884.008375748981
6b50391f-d890-4ca0-b942-beab0f8bf1c9	0	0	2495.87222963104	1123.26792404903	555.362926271671	1359.05886835588	0	0	1552.20676954341	0	0	0	0	0	0	0	0	0	0	0	814.231282148969
63adc09c-e1b1-40dd-9c35-2f8276b656fc	0	1016.15038024993	1627.44005808843	1167.0984446058	0	3020.46077120037	2653.08717086407	860.204035617381	1539.47032521879	0	0	0	0	0	0	0	0	0	0	0	1195.08881415523
7f03cb4b-60b1-460c-b761-402e7ca09b0d	0	187.688126531521	0	0	0	0	0	0	486.143016261974	0	0	1198.43484072176	0	0	0	0	0	0	0	0	429.734016484745
d02597f8-3ac7-4165-a65f-0e134e5d215b	821.160339142723	0	1154.03608101743	0	678.284455958549	3086.62039566651	0	2347.67635421573	1457.83532736693	0	0	0	0	0	0	0	0	0	0	0	1097.38704663213
4cff8590-559e-4204-8635-96e11bfeda68	2146.63868395442	0	2546.19916491382	1559.28477694409	2057.23702633975	3881.23062191944	0	0	1414.4441025963	0	0	0	0	0	0	0	0	0	0	0	2303.96562333218
03c88506-d72e-4a44-a34e-a7f0564f1799	695.538673880638	0	1689.6646607409	675.06696847568	764.443438414398	1724.11704300778	1128.93965660023	0	1781.03837023133	0	0	0	0	0	0	0	0	0	0	0	585.191188649043
96517058-18d2-4847-8085-768ca8aa1565	0	9220.79355723953	0	4011.74154114822	0	0	23592.5269903639	5394.40970468082	0	0	0	0	0	0	16127.6218074656	0	0	0	0	0	5910.90639910193
343fcbc2-f30c-4ffa-a0b3-f5bb21e5e70b	0	0	1216.09554140127	527.758451739344	644.815776580108	1157.06663400294	0	0	1948.45418912298	0	0	0	0	0	0	0	0	0	0	0	1652.80940715336
84fe77b4-f6cc-49bf-a6b9-1621ec9394f8	0	0	3226.34020655785	1096.02224469161	991.639173768598	2574.44785497617	2753.1034955944	0	1693.21385237614	0	0	0	0	0	0	0	0	0	0	0	1562.23317203523
