ICGC-Breast_common_SBS17	ICGC-Breast_common_SBS8	ICGC-Breast_common_SBS1	ICGC-Breast_common_SBS2	ICGC-Breast_common_SBS13	ICGC-Breast_common_SBS3	ICGC-Breast_common_SBS5	ICGC-Breast_common_SBS18	ICGC-Breast_common_SBS127	ICGC-Breast_rare_SBS26	ICGC-Breast_rare_SBS44	ICGC-Breast_rare_SBS33_a	ICGC-Breast_rare_SBS30	ICGC-Breast_rare_SBS33_b	unassigned
f393bb05-ec1c-17be-e040-11ac0d48452f	0	0	1238.67129358642	883.548791704992	541.449117819216	532.433313822226	952.16907768208	1086.90525963709	0	0	0	0	0	0	754.823145747976
f221cbb5-eefa-187f-e040-11ac0c481708	0	3177	0	951.5	0	2726	972.5	957	958	0	0	0	0	0	816
097a7d36-905b-72be-e050-11ac0d482c9a	0	0	0	35076.3568181644	29214.2067411252	0	0	0	0	0	0	0	0	0	965.4364407104
fc447d51-cdc2-a180-e040-11ac0c4846a4	0	0	843.388634630053	0	0	628.299580472921	779.510678871091	1520.59477498093	904.272311212815	0	0	0	0	0	557.93401983219
fc639186-8302-798e-e040-11ac0c484cec	0	626.358236112598	685.749973241999	0	294.463234507118	1114.96756930322	889.378786257091	341.377715937065	501.086588890078	0	0	0	0	0	209.617895750831
fc806c50-2f6e-418d-e040-11ac0d485f01	813.782694848085	1593.59533245266	623.450462351387	0	0	1107.52377807133	703.879568472039	540.523557904007	1286.36613826508	0	0	0	0	0	137.878467635412
fc9dbf68-4599-3c64-e040-11ac0d481623	0	495.313324124074	658.751726736155	0	0	551.792038176567	380.356649503956	1089.58935074721	532.299384654025	0	0	0	0	0	271.897526058013
fc447d4f-2532-c8ea-e040-11ac0c48469f	0	2204.98563975155	0	0	1340.0990310559	2600.66250931677	1557.69629813665	638.285316770186	945.922832298137	0	0	0	0	0	779.348372670807
fc5dc6d8-62d2-76d8-e040-11ac0d4863c3	0	0	1368.55136346657	0	0	1546.38289129623	1361.03735524841	816.021292491595	520.971236458722	0	0	0	0	0	1092.03586103847
fc78685a-7053-152a-e040-11ac0c480ded	0	0	786.865493078106	0	0	0	693.881387796958	342.9413775423	381.434797470518	0	0	0	0	0	719.876944112118
fc8edf46-2005-1af4-e040-11ac0d481414	0	0	1058.14572017232	0	0	0	493.935193856527	451.76999438097	436.209027907848	0	0	0	0	0	239.940063682335
fc9ef456-75a2-5967-e040-11ac0c484477	0	0	674.580334079559	0	0	323.778543137593	827.211641122783	234.201480971242	577.496814189771	0	0	0	0	0	268.731186499052
fc447d53-24d1-c83d-e040-11ac0c4846a6	0	433.813995758861	904.527112996062	0	0	0	749.949712208422	658.200545289306	0	0	0	0	0	0	545.508633747349
fc68e599-6a40-61dc-e040-11ac0d48700d	0	0	1898.06856771874	0	0	1983.59418697563	2048.11351378346	1859.05688174191	1107.33170195765	0	0	0	0	0	1118.83514782261
fc813235-5ed8-7695-e040-11ac0d485e3e	0	3154.08154064782	0	0	1164.39927475866	2540.87126966237	0	936.821237810555	1041.35708335375	0	0	0	0	0	1369.46959376684
fc9f6916-da31-ab17-e040-11ac0c4808f3	0	1799.81286084014	0	0	574.419005906165	2670.4479394784	825.602229743181	0	584.426305660628	0	0	0	0	0	1085.29165837149
fc9f6cb0-ceb9-790d-e040-11ac0c480ad1	0	2050.56741994217	0	649.078826175431	1498.80025704188	2122.79875763093	1059.39295276856	0	956.56361786441	0	0	0	0	0	1029.79816857662
