Hartwig-Prostate_common_SBS1	Hartwig-Prostate_common_SBS8	Hartwig-Prostate_common_SBS18	Hartwig-Prostate_common_SBS3	Hartwig-Prostate_common_SBS5	Hartwig-Prostate_common_SBS17	Hartwig-Prostate_common_SBS2+13	Hartwig-Prostate_rare_SBS44	Hartwig-Prostate_rare_SBS33	Hartwig-Prostate_rare_SBS97	Hartwig-Prostate_rare_SBS35+116	Hartwig-Prostate_rare_SBS4	unassigned
HMF000421A	681.069803198032	2412.24723247232	1201.62315498155	0	3495.85829233292	731.574979499795	839.085998359984	0	0	0	0	0	395.5405391554
HMF000565A	1313	754	737.5	1173	1483.5	0	535	0	0	0	0	0	321
HMF001720A	1492.79426365141	390.73138444567	666.247104247104	582.590512961941	505.947049089906	0	635.188968560397	0	0	0	0	0	267.500717043572
HMF003647A	2364.09665549105	0	805.510753127811	517.364625071551	1290.91462916019	0	569.300842260201	0	0	0	0	0	559.812494889196
HMF001909A	1297.86371433027	595.290815530953	2820.27132387338	581.818181818182	804.865117729612	0	0	0	0	0	0	0	299.890846717602
HMF001024A	1224.01890538674	984.308960635359	1033.2497410221	548.336498618785	1244.49412983425	0	546.838311464089	0	0	0	0	0	203.753453038677
HMF002340A	4587.93807483278	0	1798.5637541806	0	1185.37155100334	0	0	0	0	0	0	0	1999.12661998328
HMF002505A	1317.992140596	2550.54961248772	0	3097.63126296256	0	0	1052.19539351599	0	0	0	0	0	1135.63159043773
HMF001636B	1455.22607211007	767.729537009139	0	0	1677.37119614342	0	335.474239228683	0	0	0	0	0	757.198955508688
HMF001636A	1291.80633301708	649.65405597723	320.075901328273	0	1320.31309297913	0	0	0	0	0	0	0	635.150616698287
HMF003597A	1499.98922129344	654.431588209415	0	509.335899692037	1123.74109106907	0	329.217113946326	0	0	0	0	0	432.285085789712
HMF001938A	919.634745017585	1278.18728018757	786.115181711606	1229.68017291911	1191.17453106682	0	1181.67313892145	0	0	0	0	0	238.534950175859
HMF001450B	2192.00903750565	701.183009489381	1167.47220967013	418.810664256665	730.169905106191	0	0	0	0	0	0	0	320.355173971982
HMF000663A	0	2609.06896551724	863.69179548157	1302.0353745541	2170.72538644471	715.744589774078	0	0	0	0	0	0	745.733888228302
HMF003158A	0	0	3292.45398518519	0	8117.94746666667	2415.5013037037	0	0	0	0	0	0	3077.09724444444
HMF000351A	1268.80635930048	1343.85405405405	889.065023847377	704.447694753577	1161.73831478537	0	621.394912559618	0	0	0	0	0	304.693640699528
HMF000458A	16839.1601445034	0	0	0	0	0	0	104633.888231851	0	0	0	0	2396.9516236456
HMF001239A	1405.68828213879	486.970583455225	589.385015439623	0	0	0	0	0	0	0	0	0	606.956118966362
HMF002498A	1057.71346608167	392.764934188323	408.275396557543	269.681910226122	656.442794465069	0	0	0	0	0	0	0	180.121498481273
