Hartwig-Esophagus_common_SBS28	Hartwig-Esophagus_common_SBS17_a	Hartwig-Esophagus_common_SBS2	Hartwig-Esophagus_common_SBS3+8	Hartwig-Esophagus_common_SBS127	Hartwig-Esophagus_common_SBS18	Hartwig-Esophagus_common_SBS17_b	Hartwig-Esophagus_common_SBS13	Hartwig-Esophagus_common_SBS1	Hartwig-Esophagus_rare_SBS112	Hartwig-Esophagus_rare_SBS90	Hartwig-Esophagus_rare_SBS93	Hartwig-Esophagus_rare_SBS4	Hartwig-Esophagus_rare_SBS44	unassigned
HMF003095A	3832.71562919839	6654.9789520824	1954.8750559785	4755.12852664577	2463.60277653381	0	2443.59381997313	0	2740.72682489924	0	0	0	0	0	1962.37841468876
HMF001664A	1502.70734636284	3641.34882464199	0	1602.3537182143	3816.10552703474	1666.94860247981	1517.22867693416	0	2015.96127172836	0	0	0	0	0	916.3460326038
HMF002953A	0	0	983.414095870907	974.875771238728	382.717845277646	369.659231134314	0	0	1193.8586853346	0	0	0	0	0	328.474371143805
HMF000726A	2685.06606018616	6363.84161219387	0	6131.79269211073	5867.2369189987	3704.78103443082	4248.89574359129	0	2166.95683344881	0	0	0	0	0	2035.42910503962
HMF001670A	2881.63686340383	5058.47400167977	0	2170.34359013515	1998.01481255249	1484.02550202336	1752.75849431167	0	2981.53760403146	0	0	0	0	0	1299.20913186227
HMF003148A	0	1015.22374497803	890.134569894492	3796.7066421357	3423.94090038674	0	957.182367739271	0	1659.68317500845	0	0	0	0	0	1583.12859985732
HMF000406A	5897.11426404792	14994.8481989838	0	0	3948.06379009631	0	2949.30657465686	0	0	0	0	0	0	0	5153.66717221511
HMF002011B	12699.7757237031	20401.1878761823	0	3200.83376325595	3649.090570364	3379.43608483806	5479.13900831184	0	0	0	0	0	0	0	3555.53697334475
HMF000065A	0	0	0	3929.61737419173	948.096570143379	816.374754006185	0	0	3542.96626370537	0	0	0	0	0	1451.94503795334
HMF000704A	1702.51863948997	2968.16079896988	2485.29732106404	1906.46097798436	1438.59326026193	1323.12590684966	1219.15530291134	0	2278.35583053296	0	0	0	0	0	594.331961935861
HMF000177A	0	5552.10068130204	0	0	1751.66275548827	5064.41616199849	3578.3538985617	0	3821.44587433762	0	0	0	0	0	1376.02062831188
HMF002024A	5430.27592291946	4379.70620455989	0	5321.32054775182	4098.32145125997	6075.0118585445	3907.39964706713	0	3329.13648620032	0	0	0	0	0	2861.82788169691
HMF000863A	9400.92635055437	0	0	0	11314.7614688999	0	6430.52605698409	0	12917.1351943593	0	0	0	0	44194.9695735367	11260.6813556656
HMF002437A	1190.36259454504	2056.35388494155	0	2028.82236992895	2295.62777905111	3925.99404079762	0	0	3729.26885170754	0	0	0	0	0	2245.57047902819
HMF000500A	5128.08437679967	11629.6913533525	0	2488.54094611271	3542.05828054299	2401.03950637598	0	0	1969.03239819005	0	0	0	0	0	3229.5531386261
HMF002634A	0	0	0	2737.56547093303	0	0	0	43989.9830375783	0	0	0	0	0	0	3071.45149148867
HMF001823A	8700.54251386322	5554.71931064478	1829.0600558153	2148.24504367366	2815.63183646841	0	2468.43061143126	0	2226.7905657642	0	0	0	0	0	1863.58006233917
HMF000157A	4286.73818773323	4764.82051478328	2477.92670557841	4964.85496124773	3600.62003636016	1821.31363505885	0	0	2523.43454214908	0	0	0	0	0	1692.29141708926
HMF002020A	2590.93465486369	3655.90779551588	0	0	4286.39189427757	3013.42399939472	2272.94267483796	0	1991.4497742806	0	0	0	0	0	2013.94920682958
HMF001115A	1574.58739411108	2491.80824231199	1303.26159670961	3138.70081442541	2085.31830686678	2059.88151336039	0	0	4746.70517255468	0	0	0	0	0	910.736959660062
HMF002575A	4430.49110940515	7833.02836276117	0	1744.22491026412	2050.9127954022	0	1971.99311160446	0	4454.96620121584	0	0	0	0	0	1588.38350934706
HMF003226A	2679.80877698854	6791.74815387861	1476.11925358089	1556.59849497152	1347.65238999461	0	4197.91719999062	0	1394.64027006119	0	0	0	0	0	1878.51546053402
HMF000726B	2168.5668197085	5400.16639447817	0	6505.7004591255	5673.67482205035	4297.13240686531	4682.14427017533	0	1825.55625057776	0	0	0	0	0	1901.05857701908
HMF000811A	0	0	3725.90900436252	0	0	0	0	38034.9875819934	0	0	0	0	0	0	6057.10341364408
HMF002011A	12712.3451653537	20568.412434902	0	3476.41479441238	3839.01020887778	3367.38610426968	5590.47109364718	0	0	0	0	0	0	0	3648.96019853728
HMF002818A	5812.86357561846	13592.6885590411	0	3346.28496812038	4087.45883193063	11087.1008008161	3649.85617954603	0	3754.88081611834	0	0	0	0	0	3692.86626880896
HMF001081B	11327.3827673828	14182.723030723	0	0	3839.11295911296	6102.09009009009	5371.25895125895	0	3520.18664818665	0	0	0	0	0	3265.24555324555
HMF004252A	2269.01458263923	3413.0513339655	3003.28455367898	0	3003.78610420564	2691.32012609242	0	1377.75929675286	1844.20128655271	0	0	0	0	0	1967.58271611266
