Hartwig-NET_common_SBS18	Hartwig-NET_common_SBS2+13	Hartwig-NET_common_SBS17	Hartwig-NET_common_SBS1	Hartwig-NET_common_SBS3+8	Hartwig-NET_common_SBS5	Hartwig-NET_rare_SBS93+121	Hartwig-NET_rare_SBS4	Hartwig-NET_rare_SBS11_a	Hartwig-NET_rare_SBS11_b	unassigned
HMF003590A	0	233.765564620009	0	677.820237584085	568.429941319594	1750.74423930156	0	0	0	0	259.240017174752
HMF002961A	349.522036002483	892.779143389199	0	408.940782122905	979.161018001241	1300.72129112353	0	0	0	0	90.8757293606423
HMF002348A	0	0	0	183.308947664603	302.509848058526	1032.74057400113	0	0	0	0	261.440630275741
HMF002758A	10448.6380255941	0	0	0	0	0	0	0	0	0	234.3619744059
HMF001581A	0	352.364683301344	237.408829174664	528.796928982725	818.685604606526	1796.31017274472	0	0	0	0	172.433781190021
HMF000658A	0	1097.99615732369	0	0	898.405967450271	1959.38539783002	0	0	0	0	470.212477396019
HMF000985A	0	0	0	130.724784591992	296.141915864166	460.050684237202	0	0	0	0	105.08261530664
HMF001355A	644.862282181001	2913.63687464868	0	0	3653.05227655987	1928.58347386172	0	0	0	0	649.865092748729
HMF000198A	1006.98774854388	0	0	1112.88130146616	3030.95320345451	1977.0126531432	0	0	0	0	333.16509339225
HMF003239A	390.576650943396	2740.52122641509	0	353.66391509434	331.715801886792	345.183962264151	0	0	0	0	68.338443396231
HMF001400A	2575.65200882364	4712.58579539291	0	879.442013524753	5642.16703431816	0	0	0	0	0	55.1531479405367
HMF003569A	0	0	0	924.43137254902	785.866713352007	2034.94957983193	0	0	0	0	540.752334267043
HMF000454A	0	0	0	322.019587083113	403.276866066702	933.455532027528	0	0	0	0	236.248014822657
HMF001472A	605.036617842876	2816.49800266312	0	1925.20750110963	756.671105193076	579.513981358189	0	0	0	0	82.0727918331086
HMF003776A	0	0	0	483.666896789782	579.199861926131	1501.51812219537	0	0	0	0	333.615119088717
HMF002338A	0	0	0	443.708649468892	788.648254931715	1778.34415781487	0	0	0	0	293.298937784523
HMF001034A	0	0	0	512.667272019717	930.396160332079	1891.77221429498	0	0	0	0	517.164353353224
HMF001525A	1665.30433078581	0	0	6943.43836958652	0	0	0	0	0	0	1605.25729962767
HMF002788A	0	0	0	0	0	0	0	0	221269.897927594	0	1625.10207240601
HMF000447A	0	1859.17111779271	0	1745.19128050937	0	1346.76176158472	0	0	0	0	701.8758401132
HMF001598A	2609.30696407729	0	841.953702502918	6440.32122941253	0	0	0	0	0	0	1667.41810400726
HMF000260A	0	398.430803959021	0	2385.08577878104	688.380447994444	1724.20055565202	0	0	0	0	561.902413613475
HMF000660A	0	188.5	0	373.5	175	1247	0	0	0	0	44
HMF000493A	12052.0859932377	0	5280.28518715011	0	31178.8744229505	13117.7399140068	0	0	0	0	1495.01448265489
HMF000033A	0	741.587473572939	0	325.7580602537	1346.06633192389	1142.40499471459	0	0	0	0	231.183139534881
HMF002614A	0	139.036938612809	0	410.609088493224	213.056603773585	1033.27451501462	0	0	0	0	86.022854105762
HMF000538A	0	0	0	423.869578591203	0	860.235312211627	0	0	0	0	340.89510919717
HMF001460A	3560.42057601448	0	0	0	0	0	0	0	0	53674.5286583118	2500.05076567372
