Hartwig-Uterus_common_SBS17	Hartwig-Uterus_common_SBS31	Hartwig-Uterus_common_SBS13	Hartwig-Uterus_common_SBS111	Hartwig-Uterus_common_SBS2	Hartwig-Uterus_common_SBS3+8	Hartwig-Uterus_common_SBS1	Hartwig-Uterus_rare_SBS44	Hartwig-Uterus_rare_SBS108	Hartwig-Uterus_rare_SBS159	unassigned
HMF002595A	877.37078973771	939.326358033539	0	3544.957718217	0	3994.63523004157	995.785867851512	0	0	0	105.924036118669
HMF003097A	0	1209.44830582103	0	1772.95829713293	0	6737.1416159861	2741.11642050391	0	0	0	1339.33536055603
HMF000250A	0	0	0	0	0	2354.73556778389	1766.17668834417	0	0	0	877.08774387194
HMF003708A	0	0	10565.6420044765	0	17457.2130222581	0	2091.8250901517	0	0	0	2058.3198831137
HMF000199A	0	1900.35833709896	0	614.277451423407	0	1386.62629914144	1278.57749661094	0	0	0	355.160415725253
HMF003240B	0	4559.82101388657	0	0	0	0	6889.96302492889	16634.3750041827	0	0	1789.84095700184
HMF001101A	0	1271.80914071369	1374.75322047283	1490.6902423375	3859.90326242535	0	1681.58654558018	0	0	0	446.257588470449
HMF000158B	1293.98838965452	1449.54710213328	1288.48631300736	2993.12969605437	0	13337.0337927129	0	0	0	0	833.81470643757
HMF001705A	0	0	28736.6660462925	0	10242.4798633606	0	0	0	0	0	3484.8540903469
HMF001800A	0	970.051974562299	0	0	0	1308.26740990814	3133.62864096726	0	0	0	970.051974562301
HMF000573A	0	0	0	0	0	10999.1407114237	0	80033.385697487	0	0	808.473591089307
HMF003040A	0	3331.45670754366	0	724.120401337793	0	1078.63768115942	880.510293571163	0	0	0	751.274916387964
HMF000328A	0	1595.16677814939	3429.88420661464	4309.40594574508	2623.53065774805	0	0	0	0	0	1528.01241174284
HMF003198A	0	0	0	0	0	0	7572.13469794166	47934.0223626006	0	0	5749.84293945774
HMF003332A	943.384	0	0	0	0	908.258	3512.0982	0	1694.0768	0	469.183
HMF002245A	0	3821.65906699404	2132.75166608208	1807.36583654858	0	2403.15678709225	1909.3300596282	0	0	0	750.736583654849
HMF001665A	870.947557840617	0	0	671.845244215938	0	4077.59537275064	2352.2087403599	0	0	0	784.403084832906
HMF001164A	506.672678290803	0	595.377983985632	0	0	3065.59522562299	1915.43321110529	0	0	0	613.920900995286
HMF001311A	448.799714515122	819.134445534838	674.698902667499	0	0	1311.41475599964	1765.71201712909	0	0	0	582.240164153811
