Hartwig-Breast_common_SBS5	Hartwig-Breast_common_SBS31	Hartwig-Breast_common_SBS17	Hartwig-Breast_common_SBS13	Hartwig-Breast_common_SBS2	Hartwig-Breast_common_SBS18	Hartwig-Breast_common_SBS1	Hartwig-Breast_common_SBS8	Hartwig-Breast_common_SBS3	Hartwig-Breast_rare_SBS44	Hartwig-Breast_rare_SBS97	Hartwig-Breast_rare_SBS10d	Hartwig-Breast_rare_SBS4	Hartwig-Breast_rare_SBS90	Hartwig-Breast_rare_SBS119	Hartwig-Breast_rare_SBS106	unassigned
HMF003077A	497.102222222222	0	0	0	286.134444444444	192.426666666667	765.196666666667	0	0	0	0	0	0	0	0	0	514.14
HMF000515A	763.55329062318	0	0	0	281.572801397787	0	1123.28509027373	298.106435643564	345.703261502621	0	0	0	0	0	0	0	628.779120559118
HMF001916C	3019.8161150117	0	0	2129.39603997177	818.805862030536	1044.66607229095	0	3444.49340614436	2022.72591849623	0	0	0	0	0	0	0	1001.09658605445
HMF002063A	1526.18302891933	0	0	12053.6497336377	2557.45526541096	0	0	0	1279.47674086758	0	0	0	0	0	0	0	3582.23523116443
HMF001546A	489.88573680063	551.434200157604	0	0	497.892040977147	2159.20015760441	639.003152088258	462.864460204886	608.479117415288	0	0	0	0	0	0	0	306.241134751777
HMF003368A	837.61370843158	0	0	0	0	1570.8378729978	1411.50646394016	751.205138629157	633.329864216603	0	0	0	0	0	0	0	938.5069517847
HMF002775A	7807.03507468845	0	2079.21036560205	5239.51015928035	0	0	0	6049.20265742346	5621.86495007015	0	0	0	0	0	0	0	3484.17679293554
HMF002350B	3031.31005483422	1036.90882745689	0	2593.77049180328	1012.43458249283	1685.22658181095	0	6488.67176179788	1382.54510327585	0	0	0	0	0	0	0	349.132596528099
HMF003213A	1943.81545203701	0	0	2279.36990748255	574.093166693719	0	1157.68787534491	1645.26700211005	931.651192988151	0	0	0	0	0	0	0	711.115403343611
HMF003703A	752.552673771574	1173.20003772517	0	368.003772517212	663.309252098463	410.62001320381	838.787890219749	781.631990945959	0	0	0	0	0	0	0	0	327.894369518063
HMF003509A	0	0	0	14460.2526103065	7985.61704277534	2273.4674974739	0	2299.44998315931	0	0	0	0	0	0	0	0	5618.21286628495
HMF000693B	0	0	19695.7068435495	0	0	0	0	2018.68328209784	0	0	0	0	0	0	0	0	2600.60987435266
HMF002324A	2026.38758702138	1188.1067255097	0	954.889482844356	1711.59435604177	2037.39784311288	0	6287.85716061661	0	0	0	0	0	0	0	0	1896.7668448533
HMF000807A	1218.98884133293	0	0	975.191073066341	1607.96392540507	599.231886273311	1209.9778355243	0	0	0	0	0	0	0	0	0	938.646438398048
HMF001390A	1102.31332007952	0	0	2774.30536779324	2209.13200795229	841.001988071571	1016.71133200795	0	0	0	0	0	0	0	0	0	869.535984095429
HMF000919A	1246.96738529574	0	0	375.23788465082	331.327068361894	960.549106320251	905.161599410356	565.850746268657	615.749401142436	0	0	0	0	0	0	0	415.156808549846
HMF002042A	2093.71834061135	0	0	5000.40975254731	0	1637.45283842795	0	1199.6981077147	1707.99388646288	0	0	0	0	0	0	0	2108.72707423581
HMF003174A	308.418623054603	0	0	505.86652598259	374.401213400158	0	228.93959377473	0	0	0	0	0	0	0	0	0	477.374043787919
HMF002461A	1990.08118893629	0	0	1671.8879867896	0	0	653.869547268474	2649.44543828265	2650.9439933948	0	0	0	0	0	0	0	1273.77184532819
HMF002448A	219.125278219396	155.443561208267	0	0	0	225.643879173291	632.805723370429	174.497933227345	0	0	0	0	0	0	0	0	169.483624801272
HMF000087A	0	0	0	10963.9975360467	2356.35471801424	0	1876.98599196934	2173.40481839752	2071.43274320131	0	0	0	0	0	0	0	2467.82419237089
HMF000889B	0	0	0	25488.8254840457	13828.931883829	0	0	0	0	0	0	0	0	0	0	0	5007.2426321253
HMF002290A	695.564332624179	0	0	988.591434649894	1407.63019147165	622.557580242346	1022.09453334567	0	0	0	0	0	0	0	0	0	669.561927666261
HMF000806A	856.589060308555	0	0	458.420757363254	369.548387096774	315.823281907433	836.504908835905	305.781206171108	0	0	0	0	0	0	0	0	437.332398316971
HMF002199A	1095.8103300838	441.027364460407	0	0	224.268171711989	0	754.402086540106	0	0	0	0	0	0	0	0	0	411.492047203698
HMF001094A	0	0	0	0	50595.1160866073	0	0	0	0	0	0	0	0	0	0	0	2967.8839133927
HMF000908A	839.898856110777	349.957856712824	0	0	474.442865743528	605.927031908489	1045.87405177604	422.449127031908	0	0	0	0	0	0	0	0	413.450210716434
HMF000459A	0	0	0	2775.34402014839	2888.08141038731	0	656.382138724389	0	0	0	0	0	0	0	0	0	1041.19243073991
HMF001689A	271.961398397669	0	0	451.265598446225	339.576110706482	0	525.391357125516	0	0	0	0	0	0	0	0	0	474.805535324108
HMF001775A	0	0	0	31262.3549778904	12635.8560404413	0	0	0	0	0	0	0	0	0	0	0	2692.7889816683
HMF000579B	0	0	5121.51920737203	42467.3052338681	28729.412519151	0	0	0	0	0	0	0	0	0	0	0	12458.7630396089
HMF001323A	439.407613741876	192.678737233055	0	0	0	194.180129990715	944.876508820799	198.183844011142	0	0	0	0	0	0	0	0	186.673166202413
