Hartwig-Lung_common_SBS2	Hartwig-Lung_common_SBS3+8	Hartwig-Lung_common_SBS31	Hartwig-Lung_common_SBS4_a	Hartwig-Lung_common_SBS1+5	Hartwig-Lung_common_SBS17	Hartwig-Lung_common_SBS4_b	Hartwig-Lung_common_SBS92	Hartwig-Lung_common_SBS13	Hartwig-Lung_rare_SBS44	Hartwig-Lung_rare_SBS1	Hartwig-Lung_rare_SBS35	Hartwig-Lung_rare_SBS18+33	Hartwig-Lung_rare_SBS18	unassigned
HMF003372A	0	14353.3112747354	0	15312.2986654395	0	0	16052.7889290645	17702.2672408126	0	0	0	0	0	0	12633.333889948
HMF003457A	1518.61706826324	3565.12244196889	1864.37139912647	3821.31088972862	2834.58507140403	0	3754.2615694165	2035.49727634097	0	0	0	0	0	0	998.234283751281
HMF003138A	0	2355.18623815986	0	13844.8378968282	0	0	9654.56488464175	5007.64354371581	0	0	0	0	0	0	4846.76743665438
HMF003486A	2230.85961702647	2625.09989023052	0	2450.99377972924	1756.07025246981	0	0	3817.82680814733	5741.99951213563	0	0	0	0	0	1887.150140261
HMF003554A	0	964.511467773784	641.505290871348	0	4145.99711407017	1016.0922991241	0	0	0	0	1701.66664978988	0	0	0	1421.22717837072
HMF003769A	0	2587.60710589859	2722.06071058986	1013.15039668851	2899.99931010693	0	0	0	4841.82925146602	0	0	0	0	0	1874.35322525009
HMF000854A	12136.4303703609	0	0	19716.2009690492	0	0	18931.9316423978	0	9069.83233402795	0	0	0	0	0	18343.6046841642
HMF000066A	0	9184.04858544297	5605.5882093126	27142.3220819676	0	0	21085.9278308576	15371.3864983611	0	0	0	0	0	0	7607.72679405814
HMF003439A	0	5341.58714033415	0	40773.5648531641	0	0	30925.3731459919	0	0	0	0	0	0	0	18989.4748605099
HMF001629A	0	4301.20804628907	0	5346.63708555333	2902.8029660298	0	2284.84491125666	10562.7830284725	0	0	0	0	0	0	4066.72396239864
HMF002816A	1311.90531492564	1760.72820998993	0	695.274752621911	2514.61041654322	0	0	799.465781833264	808.482313207324	0	0	0	0	0	563.533210878712
HMF001288B	0	0	377.646531435616	411.473159251373	1588.3368822145	439.746161604841	0	587.674548918525	0	0	0	1025.90608539729	0	0	74.2166311778547
HMF003080A	0	5275.92180451128	2781.17593984962	0	2357.53984962406	0	0	1606.91278195489	3434.65714285714	0	0	0	0	0	2525.79248120301
HMF003603A	0	2565.63926973077	0	1908.71954251616	1456.93088015912	0	1803.65241173545	1809.65624778007	3087.47268594161	0	0	0	0	0	1453.92896213682
