Hartwig-Bone_SoftTissue_common_SBS17	Hartwig-Bone_SoftTissue_common_SBS18	Hartwig-Bone_SoftTissue_common_SBS2+13	Hartwig-Bone_SoftTissue_common_SBS1	Hartwig-Bone_SoftTissue_common_SBS3	Hartwig-Bone_SoftTissue_common_SBS8	Hartwig-Bone_SoftTissue_common_SBS127	Hartwig-Bone_SoftTissue_common_SBS122	Hartwig-Bone_SoftTissue_common_SBS161	Hartwig-Bone_SoftTissue_rare_SBS7a	Hartwig-Bone_SoftTissue_rare_SBS30	Hartwig-Bone_SoftTissue_rare_SBS31	Hartwig-Bone_SoftTissue_rare_SBS117	Hartwig-Bone_SoftTissue_rare_SBS11	Hartwig-Bone_SoftTissue_rare_SBS93+121	unassigned
HMF002083A	0	537.242677824268	0	713.004184100418	345.548117154812	0	584.543933054393	682.133891213389	0	0	0	0	0	0	0	469.52719665272
HMF001647A	0	386.545968882602	283.400282885431	665.439886845827	737.041018387553	0	0	396.560113154173	479.176803394625	0	0	0	0	0	0	591.835926449789
HMF000977A	3621.15804300873	0	0	0	5898.41731617992	0	0	7138.55366701099	0	0	0	0	36152.9321063011	0	0	5906.93886749926
HMF003120A	0	813.270300230947	0	2421.24766743649	521.275658198614	941.20609699769	0	0	0	0	0	0	0	0	0	734.00027713626
HMF001362A	0	0	1221.60888175495	2181.15810593901	1942.14767255217	1442.58079186731	0	0	0	0	0	4274.12787586945	0	0	0	2049.37667201711
HMF000185A	0	0	0	859.004385964912	0	451.817251461988	490.429824561404	261.763157894737	0	0	0	0	0	0	0	337.985380116959
HMF003485A	0	303.722089825848	0	368.876993583868	233.054078826764	479.139138405133	731.739688359303	0	343.817415215399	0	0	0	0	0	0	273.650595783685
HMF001045A	0	0	0	1010.39337147366	1297.28901163938	0	1341.3497731308	508.701519037285	0	0	0	0	0	0	0	918.266324718875
HMF001715A	0	0	0	870.668947168377	233.411250475105	446.330292664386	508.306727480046	0	0	0	0	0	0	0	0	571.282782212086
HMF003295A	0	0	0	1111.86244783238	691.970275104335	1368.4075462056	763.121454731284	1240.13499701899	0	0	0	0	0	0	0	707.503279107411
HMF002023A	0	508.37673453508	0	670.518480093373	0	506.381143820516	970.854882635196	434.539878096226	317.797821294255	0	0	0	0	0	0	438.531059525354
HMF003122A	0	365.334616985845	291.165174854288	1095.001561199	0	547.751353039134	577.318900915903	890.534450457951	624.927664446295	0	0	0	0	0	0	422.966278101584
HMF002034A	0	0	0	690.426079243052	0	361.747191011236	860.276907155529	567.171496156121	559.154937906564	0	0	0	0	0	0	350.223388527498
HMF002230A	0	0	0	678.641916167665	0	219.82754491018	0	436.629940119761	0	0	0	0	0	0	0	348.900598802394
HMF001999B	0	0	15743.448476258	0	0	0	0	0	0	0	0	0	0	0	0	1917.551523742
HMF002522A	0	0	453.303145215258	1185.79299576177	1194.79901851439	992.163506580415	1116.74682132501	615.911889359804	706.972786080749	0	0	0	0	0	0	463.309837162604
HMF003179A	0	419.556494192186	399.577613516367	963.980992608236	892.556494192186	1324.59978880676	629.834213305174	473.499472016895	461.512143611404	0	0	0	0	0	0	110.882787750792
HMF002708A	0	378.548247291268	0	344.043849585723	0	816.60407903123	1102.14047163799	0	579.073804971319	0	0	0	0	0	0	702.58954748247
HMF001122A	0	0	0	742.574915110357	0	380.085738539898	408.742996604414	386.621604414261	0	0	0	0	0	0	0	450.97474533107
HMF000517A	0	1510.79861563926	0	2127.44088879972	755.399307819632	1959.63003460902	0	2273.71184230326	0	0	0	0	0	0	0	1360.01931082911
HMF001332A	0	232.836036614742	0	614.887425726674	0	440.135217600771	874.261763288903	0	387.559338365184	0	0	0	0	0	0	568.320218403726
HMF002945A	0	0	0	0	0	581.99275487321	1077.96929446265	0	441.650508883905	0	0	0	0	0	0	814.387441780235
HMF000576A	0	0	0	467.851485148515	815.096787229743	0	0	343.225095978986	214.578500707214	0	0	0	0	0	0	646.248130935542
HMF002417A	0	350.479750778816	273.374205607477	0	0	883.208971962617	1105.01258566978	0	975.33507788162	0	0	0	0	0	0	430.58940809969
HMF001038A	0	724.953322487799	0	559.349768489551	0	343.714929295457	1462.41446627456	0	396.247778751095	0	0	0	0	0	0	511.319734701538
HMF000263A	0	0	0	429.07207953604	0	0	254.714167357084	0	280.488815244408	0	0	0	0	0	0	255.724937862468
HMF001999A	0	0	14454.0334572491	0	0	0	0	0	0	0	0	0	0	0	0	1340.9665427509
HMF002166A	0	0	0	0	0	0	0	0	0	326710.473216752	0	0	0	0	0	28139.526783248
HMF001675A	0	1416.04391783115	559.319853177925	1592.48708867281	0	1787.42430291712	616.301500418572	1083.15113658317	0	0	0	0	0	0	0	707.272200399253
HMF000827A	835.510751868232	0	722.711809262366	1360.57485638758	1084.56682425906	1876.15586396218	833.514310406182	2635.80184027248	0	0	0	0	0	0	0	469.163743581919
HMF001878A	0	0	0	566.785359390527	0	0	292.209340841338	237.294137131501	0	0	0	0	0	0	0	424.711162636634
HMF003673A	0	787.073062344792	759.605411057378	0	1096.20899228859	3595.76525944321	0	0	0	0	0	0	0	0	0	1403.34727486603
HMF001915A	0	0	0	0	0	0	0	0	0	184890.361993521	0	0	0	0	0	24597.638006479
HMF003469A	0	0	0	530.132968322253	0	0	177.720766523269	0	237.297614391865	0	0	0	0	0	0	345.848650762613
HMF001402A	0	1254.55937193327	0	434.464180569185	333.777232580962	0	0	422.88518155054	816.571148184495	0	0	0	0	0	0	328.742885181548
HMF000373A	0	2176.06147115527	0	3557.50500519057	0	2811.95610262494	2015.83605220228	1930.71629838351	0	0	0	0	0	0	0	1012.92507044343
HMF002176A	0	0	0	974.930315531274	0	555.820046827963	1272.2990299922	732.94402943472	0	0	0	0	0	0	0	939.006578213843
HMF000661A	0	460.848568366253	0	497.655948553055	0	692.281273924361	652.952840300107	0	620.179145613229	0	0	0	0	0	0	369.082223242995
HMF001343A	5248.04705619982	0	774.812072554267	0	0	2622.51806422837	0	2230.5956363366	0	0	0	0	0	0	0	2625.02717068094
HMF001032A	0	0	694.382586644125	0	1041.32392223161	1593.73051563821	1542.73913778529	2255.61859678783	0	0	0	0	0	0	0	1743.20524091294
HMF001826A	0	2804.62901975978	0	780.953603254552	0	0	422.74554436265	0	0	0	0	0	0	0	0	1156.67183262302
HMF001262A	0	877.895266024298	0	476.400502723083	0	226.714704650189	0	324.092165898618	0	0	0	0	0	0	0	478.897360703812
HMF001511B	0	0	0	0	3005.67441860465	9976.19583843329	0	0	1177.9400244798	0	0	0	0	0	0	4245.18971848226
HMF002149A	0	289.930978481527	0	1477.19583164163	481.215320070375	0	710.556232237109	0	0	0	0	0	0	0	0	741.101637569359
HMF002304A	0	441.696577424733	319.780327547318	726.500931646563	0	1697.33401980975	567.110424634697	791.456310679612	0	0	0	0	0	0	0	551.121408257327
HMF002102A	0	0	0	1086.98387731026	0	520.428627605191	836.797090051121	768.10853322847	377.034998033818	0	0	0	0	0	0	235.64687377114
HMF000252A	0	194.744372990354	0	169.583601286174	0	341.180064308682	577.691318327974	0	423.707395498392	0	0	0	0	0	0	171.093247588424
HMF000124A	0	674.766762649116	0	604.351912793089	210.737967914438	0	0	548.121349238996	369.298025503908	0	0	0	0	0	0	55.7239819004531
HMF001568A	0	535.977121984043	370.174853407671	721.815918485052	726.825050466212	842.535999230991	1035.88849370374	544.99355955013	0	0	0	0	0	0	0	432.789003172161
HMF001929A	0	0	0	1178.95660596668	609.23595505618	1578.61139093375	878.340178225494	826.320030995738	628.243316543975	0	0	0	0	0	0	755.292522278183
HMF001923A	1088.01317342944	757.705586279749	0	0	1200.61803268502	1284.69632759585	1827.7019822283	1382.78767165848	0	0	0	0	0	0	0	512.477226123161
HMF000951A	0	0	0	0	0	1037.74311657879	2222.52067955477	4189.98160515524	0	0	0	0	0	0	0	1086.7545987112
HMF000345A	0	450.98401826484	0	402.932446951383	381.409347300564	472.006580714478	594.638195004029	1116.19795863551	0	0	0	0	0	0	0	308.831453129196
HMF001291A	2044.58612173966	7118.26286986082	0	0	0	14330.1212366042	4814.91272732816	0	0	0	0	0	0	0	0	4525.11704446716
HMF002571A	0	0	213.908664105847	612.738369611609	0	279.380708493385	448.308578745198	0	471.798548868971	0	0	0	0	0	0	315.86513017499
HMF001166A	0	0	0	648.237620817844	0	457.638661710037	1010.32535315985	368.122527881041	637.676728624535	0	0	0	0	0	0	259.999107806693
HMF001854A	0	464.326799215906	0	802.472416690003	0	1462.3052366284	0	1897.70512461495	930.648557826939	0	0	0	0	0	0	1566.5418650238
HMF001192A	0	266.799599198397	0	299.89879759519	0	419.256513026052	926.276052104208	0	493.980460921844	0	0	0	0	0	0	596.788577154309
HMF001818A	0	0	0	689.643243243243	0	0	279.789473684211	281.301849217639	319.111237553343	0	0	0	0	0	0	202.154196301564
HMF000099A	0	0	0	791.812672176309	387.429752066116	385.933884297521	333.578512396694	405.380165289256	226.873278236915	0	0	0	0	0	0	183.991735537189
HMF003466A	0	0	0	0	0	0	3468.20094955031	0	0	0	0	0	0	0	6283.87825684178	3301.92079360791
HMF003679A	0	0	0	0	718.076985645933	3923.11564593301	2050.00205741627	2480.44736842105	0	0	0	0	0	0	0	1301.35794258374
HMF003163A	0	249.633275672276	0	509.312155999371	0	436.481522251926	979.948734077685	435.476961786444	295.340776851706	0	0	0	0	0	0	287.806573360592
HMF002162A	0	262.534513274336	0	846	614.909734513274	502.608849557522	703.75221238938	364.853097345133	299.469026548673	0	0	0	0	0	0	71.8725663716818
HMF003201A	0	305.976520811099	0	593.393810032017	171.045891141942	0	0	0	0	0	0	0	0	0	0	339.583778014942
HMF001810A	0	0	0	588.806390732787	1412.7351295067	1675.87205518678	1747.40928022908	1031.53676949108	0	0	0	0	0	0	0	1230.64037485357
HMF000928A	0	352.611323376172	0	860.491837443557	501.870093782563	485.842306356374	980.199374782911	678.17575547065	338.587009378256	0	0	0	0	0	0	128.222299409517
