Hartwig-Kidney_common_SBS107	Hartwig-Kidney_common_SBS2+13	Hartwig-Kidney_common_SBS5	Hartwig-Kidney_common_SBS125	Hartwig-Kidney_rare_SBS1+5	Hartwig-Kidney_rare_SBS2	Hartwig-Kidney_rare_SBS44	Hartwig-Kidney_rare_SBS158	Hartwig-Kidney_rare_SBS3	Hartwig-Kidney_rare_SBS90	Hartwig-Kidney_rare_SBS17+18	Hartwig-Kidney_rare_SBS165	Hartwig-Kidney_rare_SBS126	Hartwig-Kidney_rare_SBS151	unassigned
HMF002624A	1712.50773993808	610.611360333607	3453.47406330953	2125.40683641878	0	0	0	0	0	0	0	0	0	0	2.72848410531878e-12
HMF001928A	2122.29510929974	655.429325676176	1392.60040755835	1210.67515746573	0	0	0	0	0	0	0	0	0	0	3.63797880709171e-12
HMF000134A	0	4850.05207504264	1208.74042069358	0	0	0	0	0	0	0	2725.32484366117	0	0	0	63.8826606026105
HMF000944A	646.576799692031	433.221480816117	1704.83921467984	1118.36250481201	0	0	0	0	0	0	0	0	0	0	1.81898940354586e-12
HMF000204A	2803.28761918417	0	2511.01828088035	1460.8470858126	0	0	0	0	0	0	0	0	0	0	193.84701412288
HMF002819A	430.150948042354	0	1138.25326274317	951.621644915046	0	0	0	0	0	0	0	1432.67212509234	0	0	100.30201920709
HMF002899A	2890.60028897938	911.401024563247	2623.2759753054	1182.72271115198	0	0	0	0	0	0	0	0	0	0	0
HMF003395A	1820.36413632197	807.10482459795	2280.20873260562	1097.32230647446	0	0	0	0	0	0	0	0	0	0	0
HMF001853A	2175.9899098503	1533.1635100488	2445.54610867587	2557.27665205525	0	0	0	0	0	0	0	0	3404.02381936978	0	0
HMF001464A	1124.6969352014	505.588528896672	2129.87294220665	1950.84159369527	0	0	0	0	0	0	0	0	0	0	8.18545231595635e-12
HMF002508A	1322.06710220352	0	1651.33097109955	1355.14383789171	0	0	0	0	0	0	0	0	0	0	197.45808880522
HMF003788A	1431.01717305152	567.403312671477	1910.8582461132	1014.7212681638	0	0	0	0	0	0	0	0	0	0	2.72848410531878e-12
HMF003715A	0	0	2326.86159145711	4441.41646572511	0	0	0	0	0	0	0	0	0	0	499.72194281778
HMF003525A	1478.41421689116	403.06715170583	2159.21669452365	1058.30193687936	0	0	0	0	0	0	0	0	0	0	0
HMF000131A	1409.31253381425	0	2555.72732191163	1436.40504959423	0	0	0	0	0	0	0	0	0	0	162.55509467989
HMF004389A	853.061336017833	0	3190.72941684044	2681.6928165672	0	0	0	0	0	0	0	0	0	0	228.516430574527
HMF004198A	2023.83546607185	3380.21988729749	2650.81979337873	8967.12485325194	0	0	0	0	0	0	0	0	0	0	0
HMF004110A	637.460496801529	0	2531.8853534934	2536.87330730248	0	0	0	0	0	0	0	0	0	0	297.780842402591
HMF004233A	2997.91307309182	1653.55519134988	3145.50725809885	3956.02447745945	0	0	0	0	0	0	0	0	0	0	0
HMF004175A	2134.08125791473	1586.97045166737	3984.88180666948	4109.06648374842	0	0	0	0	0	0	0	0	0	0	0
HMF002835B	0	664.145977623868	2958.92274906766	1783.54928076718	0	0	0	0	0	0	0	0	0	1785.04848161961	312.333510921682
HMF003809A	0	0	551.528839471855	0	715.984711605282	0	0	0	0	0	0	0	0	0	175.486448922863
HMF004114A	2558.05579066159	509.212512343067	2690.98074481591	1326.75095217943	0	0	0	0	0	0	0	0	0	0	2.72848410531878e-12
HMF003898A	2662.62805237702	1677.89577680783	2409.06824348236	1729.40792733278	0	0	0	0	0	0	0	0	0	0	1.09139364212751e-11
HMF004266A	1995.20904724353	610.440748440749	3060.22266829163	1325.12753602409	0	0	0	0	0	0	0	0	0	0	9.09494701772928e-13
HMF003947A	3154.96222472271	680.952258479344	3862.89278251085	1625.19273428709	0	0	0	0	0	0	0	0	0	0	7.27595761418343e-12
HMF004269A	804.468843843844	286.918918918919	862.749249249249	699.862987987988	0	0	0	0	0	0	0	0	0	0	0
HMF003976A	1440.87644552648	396.741326841144	2110.28362751065	1806.09860012173	0	0	0	0	0	0	0	0	0	0	0
