Hartwig-Bladder_common_SBS125	Hartwig-Bladder_common_SBS1	Hartwig-Bladder_common_SBS17	Hartwig-Bladder_common_SBS109	Hartwig-Bladder_common_SBS31	Hartwig-Bladder_common_SBS13	Hartwig-Bladder_common_SBS2	Hartwig-Bladder_common_SBS92	Hartwig-Bladder_rare_SBS6	Hartwig-Bladder_rare_SBS44	Hartwig-Bladder_rare_SBS88	Hartwig-Bladder_rare_SBS104	Hartwig-Bladder_rare_SBS132	Hartwig-Bladder_rare_SBS15	Hartwig-Bladder_rare_SBS18	Hartwig-Bladder_rare_SBS149	unassigned
HMF000691A	3185.30572586511	2637.69870795663	1440.15154664173	1992.25123835256	0	1934.34566490007	863.092556028958	1695.73476739755	0	0	0	0	0	0	0	0	662.419792857392
HMF002844A	0	1940.94825204548	0	0	0	8624.21336733609	6042.45204547869	4033.47055573265	0	0	0	0	0	0	0	0	2897.91577940709
HMF001080A	2619.07239406253	2093.55786825884	0	1472.54070265638	0	7103.6963540371	3345.09246206153	0	0	0	0	0	0	0	0	0	1455.04021892362
HMF001151A	826.899485113051	2058.97470338034	0	354.528766509962	342.493843743004	0	0	486.912916946496	0	0	0	0	0	0	0	0	410.190284307147
HMF003751A	2594.31696475447	0	0	2125.16922753841	7486.85765286479	4108.29372440587	1598.50337755066	9095.36418046271	0	0	0	0	0	0	0	0	1571.49487242309
HMF003434A	0	2787.44453816955	0	0	0	24339.2839654371	8217.38849776682	6451.55712725346	0	0	0	0	0	0	0	0	4421.32587137307
HMF002465A	2594.32820210029	0	0	0	4658.08928345494	1890.23912951795	0	713.090211294336	0	0	0	0	0	0	0	0	2001.25317363248
HMF000819A	2397.32038299924	2287.25976441414	0	1108.11031893642	0	2810.54797823242	3424.3860646139	1588.87511193773	0	0	0	0	0	0	0	0	908.500378866149
HMF000244A	0	1263.15818872421	0	0	0	4118.14582557533	522.272138228942	0	0	0	0	0	0	0	0	0	813.423847471518
HMF001692A	8142.72613658455	2319.06440414364	1049.0291332241	1854.55150387425	1619.54497736551	1307.03629849751	0	1607.04463021079	0	0	0	0	0	0	0	0	105.002916099649
HMF000060A	3301.73038210624	1657.11752096924	0	2483.42544268406	0	7695.8678471575	3994.98872320596	6135.78648648649	0	0	0	0	0	0	0	0	1566.08359739051
HMF002704A	1272.6364918346	2349.17490788336	0	0	0	12127.0651867352	4157.07910658236	0	0	0	0	0	0	0	0	0	2088.04430696448
HMF003083A	4170.6914383123	0	5530.57991663957	0	4517.29045099372	16958.3444776178	12796.6556110635	5421.04862691773	0	0	0	0	0	0	0	0	1363.38947845538
HMF002041A	1258.3181269008	1758.04732741741	0	1650.10582010582	0	3265.730325376	1861.49127192434	1285.3035037287	0	0	0	0	0	0	0	0	916.003624546929
HMF002211B	4700.13036326731	1714.45947364737	0	3037.19972702457	1122.12798348149	0	0	2114.68345348919	0	0	0	0	0	0	0	0	1606.39899909007
HMF003534A	7520.13423128799	2142.17467620051	0	4119.68218687065	0	2531.56997949116	0	7502.61644772093	0	0	0	0	0	0	0	0	3272.82247842876
HMF003110A	3501.80918650902	2344.37225521713	1124.43872936305	1215.43377104561	1241.43235438348	4972.72903612488	0	2913.84122486787	0	0	0	0	0	0	0	0	1037.94344248896
HMF002890A	3930.00997378027	1150.29561462136	0	1927.49534728292	0	0	0	1529.8931674464	0	0	0	0	0	0	0	0	1190.30589686905
HMF001687A	2189.73065335103	0	4177.44002696838	0	0	12047.2689884752	2130.22438531066	0	0	0	0	0	0	0	0	0	3189.33594589473
HMF000764A	3646.83390732624	969.291379670215	0	1096.19860154456	1209.11605092882	1311.04153621373	0	910.33448131914	0	0	0	0	0	0	0	0	432.184042997294
HMF002553A	2977.28328552438	1804.89974113202	0	1038.16791436367	1085.74435038131	5165.29853774575	1299.58791016582	0	0	0	0	0	0	0	0	0	945.018260687051
HMF002485A	0	1058.98490932119	0	0	0	10126.6369883317	5222.89156269369	0	0	0	0	0	0	0	0	0	2154.48653965342
HMF003021A	0	0	0	0	5643.86667973841	23194.1165269143	8726.61317631861	3926.95092328808	0	0	0	0	0	0	0	0	1869.4526937406
HMF003667A	1963.1950073692	3321.5622697126	0	0	0	2770.13103352985	0	1250.57617907148	0	0	0	0	0	0	0	0	1529.53551031687
HMF000140A	2014.46556773239	0	0	0	2913.00416628928	16512.5207861607	7204.30057663859	0	0	0	0	0	0	0	0	0	4461.70890317904
HMF002924A	4251.53880664758	0	0	0	0	28639.4976782348	15713.8394665177	0	0	0	0	0	0	0	0	0	8693.12404859992
HMF002305A	0	0	5911.17813118922	0	0	3332.62718377723	6008.62337048095	0	0	0	0	0	0	0	0	0	1652.5713145526
HMF002732B	1182.44332758233	1964.23644137724	0	0	0	2847.56762433426	2149.30582851999	3942.47813367339	0	0	0	0	0	0	0	0	1249.96864451279
