Hartwig-Pancreas_common_SBS13	Hartwig-Pancreas_common_SBS127	Hartwig-Pancreas_common_SBS1	Hartwig-Pancreas_common_SBS17	Hartwig-Pancreas_common_SBS3+8	Hartwig-Pancreas_common_SBS100	Hartwig-Pancreas_common_SBS18	Hartwig-Pancreas_common_SBS31	Hartwig-Pancreas_rare_SBS6	Hartwig-Pancreas_rare_SBS98	Hartwig-Pancreas_rare_SBS108	unassigned
HMF001874A	0	532.784646464646	2064.66545454545	0	1211.5103030303	756.194343434343	864.650505050505	0	0	0	0	755.194747474756
HMF000645A	619.956329989623	900.066153580076	1868.40280179869	0	582.307160152197	723.86803874092	634.514008993428	0	0	0	0	475.885506745066
HMF003345A	0	0	14407.3212306049	9123.62026644018	0	0	0	0	127998.643207577	0	0	3866.41529537793
HMF000607A	1443.9069937084	1076.94720525212	1295.82675298623	0	625.227683049147	0	0	0	0	0	0	1026.0913650041
HMF002523A	0	0	0	0	1388.66863905325	1174.91124260355	943.047337278107	1087.89940828402	0	0	0	165.473372781074
HMF002322A	0	0	1153.57139208174	927.479438058748	597.385185185185	648.632694763729	0	0	0	0	0	606.931289910598
HMF003536A	883.086628345817	656.178946757243	2529.5447947512	0	2082.24113104569	903.62352667944	1072.42681298264	0	0	0	0	499.89815943797
HMF000796A	377.149366085578	777.808042789223	1101.43621236133	0	1160.45958795563	1154.9574088748	0	439.173930269414	0	0	0	39.015451664025
HMF001814A	0	565.121194336439	1942.63538992004	0	1196.31501724011	570.126696500624	1802.98187953929	0	0	0	0	745.819822463497
HMF002700A	0	767.07759456838	1473.99224054316	0	1073.90863239573	503.36333656644	610.152570320078	387.549660523763	0	0	0	352.955965082449
HMF002445A	578.375027034821	914.092711412299	1493.96871170067	0	1372.89020258092	589.882488645375	1718.61437531541	0	0	0	0	272.176483310505
HMF002572A	661.324541284404	0	1642.28927752294	788.579415137615	939.88245412844	1148.2998853211	1212.42832568807	571.644925458716	0	0	0	25.5511754587151
HMF000801A	2184.37749507638	0	1284.51439825411	0	3378.50385905147	0	1038.96023846277	0	0	0	0	1547.64400915527
HMF002334A	0	604.174484052533	2101.62843254307	0	754.469128432543	919.743305475013	683.566007163568	511.800699300699	0	0	0	279.617943032574
HMF003693A	0	1264.15932033983	1548.82108945527	0	604.466966516742	765.12263868066	561.290754622689	0	0	0	0	279.139230384809
HMF003613A	1621.7919313388	825.639528681569	1954.14682635892	1399.38903166368	0	0	3522.46210541628	0	0	0	0	983.570576540751
HMF002382A	2428.9084603258	0	1532.4359432475	1425.5218076721	1470.69679453494	1994.72664214398	0	0	0	0	0	699.710352075679
HMF000363A	1345.34138821167	0	1867.39179693102	0	1464.73856302883	0	858.760433099097	0	0	0	0	1430.76781872938
HMF002659A	0	507.531883523774	2241.9321784003	0	725.83053814965	673.378916328787	791.270180611869	443.091319572429	0	0	0	37.9649834131906
HMF000971A	1556.53077335413	0	1295.44174260514	0	4261.45314555821	1047.85731689489	1085.87027922616	0	0	0	0	1016.84674236147
HMF000808A	0	0	664.301042768626	1086.49236814266	359.16276258123	508.230315853106	0	375.670243312679	0	0	0	316.143267341699
HMF003768A	0	0	951.658651486897	824.770831288645	371.171851997252	2025.20953969968	383.660810678182	0	0	0	0	533.528314849344
HMF003045A	0	824.465941895461	2359.19476690621	0	0	959.706406240403	1122.49585406302	0	0	2030.10963700018	0	859.027393894726
