Hartwig-Head_neck_common_SBS31	Hartwig-Head_neck_common_SBS13	Hartwig-Head_neck_common_SBS1	Hartwig-Head_neck_common_SBS2	Hartwig-Head_neck_common_SBS112	Hartwig-Head_neck_common_SBS18	Hartwig-Head_neck_common_SBS4	Hartwig-Head_neck_common_SBS17	Hartwig-Head_neck_common_SBS125	Hartwig-Head_neck_common_SBS16	Hartwig-Head_neck_rare_SBS104	Hartwig-Head_neck_rare_SBS88	Hartwig-Head_neck_rare_SBS44	Hartwig-Head_neck_rare_SBS121	Hartwig-Head_neck_rare_SBS111	unassigned
HMF000316A	0	0	0	2788.19217196022	2984.77622714148	1272.04389904823	2959.2653192172	2218.94877553203	1763.75414394182	2254.96417495455	0	0	0	0	0	2468.05528820447
HMF001268B	0	11629.7597600494	0	6776.22193503588	3904.96691999074	0	0	0	0	0	0	0	0	0	0	3654.05138492398
HMF002076A	0	0	790.764667676986	368.218662048062	0	962.801255683048	0	0	0	1713.32344663347	0	0	0	0	0	811.891967958434
HMF002066B	8289.11702003046	0	0	1985.18346023193	3203.52348600211	2954.24931474757	0	0	1896.58601382219	0	0	0	0	0	0	3037.34070516574
HMF003259A	0	6295.28963224081	1230.79376984425	0	3471.88079701993	1833.16107902698	0	0	1363.09407735193	2884.0464761619	0	0	0	0	0	2966.7341683542
HMF000472A	453.531691562374	0	565.651998385143	0	0	0	307.068227694792	0	494.440452159871	369.188938231732	0	0	0	0	0	312.118691966088
HMF002030A	0	863.422884126408	609.830148928442	921.286305848166	0	2032.26400290592	0	0	0	1423.94333454413	0	0	0	0	0	1075.25332364693
HMF000633A	690.744033444462	1293.02084987035	2196.18616711647	0	0	2059.73673069799	0	0	1573.41694448854	0	0	0	0	0	0	1631.89527438219
HMF000981A	0	0	1318.67786321327	389.052475381087	0	0	0	0	418.556454876568	567.576554701201	0	0	0	0	0	1013.13665182787
HMF001950A	0	515.553518366315	3238.97749257128	0	0	2231.39571347285	0	0	641.688942277297	0	0	0	0	0	0	1289.38433331226
HMF000780A	0	0	423.801369863014	0	0	0	114.554794520548	0	0	145.376712328767	0	0	0	0	0	141.267123287671
HMF001643A	1195.56514276373	0	1944.60595575414	0	0	3374.18384917175	2553.63914014821	5319.28983217088	0	1576.58590344377	0	0	0	0	0	2389.13017654752
HMF002605A	0	0	2025.84454494064	0	0	951.31882419446	0	0	0	0	0	0	0	0	0	595.8366308649
HMF000825A	0	0	0	0	413.254109167619	3031.86428759779	687.422694910785	0	525.323020128329	0	0	0	0	0	0	1034.13588819548
HMF001685A	0	0	1567.05949750389	0	421.843031344627	970.987805876095	566.617562812014	0	1112.76700220967	568.614452901219	0	0	0	0	0	892.110647352485
HMF002066A	373.179330328397	0	253.863490019317	0	0	0	196.490341274952	0	240.154861558274	363.024790727624	0	0	0	0	0	150.287186091436
HMF000434A	0	0	7383.22411390259	0	0	3663.60361972202	0	0	0	4114.73951937926	0	0	32687.3466985574	0	0	5265.08604843873
HMF003009A	0	0	421.41935483871	0	0	0	0	0	133.856630824373	95.1756272401434	0	0	0	0	0	201.548387096774
HMF001268A	0	11376.939025933	0	6953.87956989247	5318.17267552182	0	0	0	0	0	0	0	0	0	0	4022.00872865271
HMF000490A	0	0	1071.87266896306	0	705.916142059627	1152.36310725739	1732.79415607554	0	2057.75555291602	599.928732628578	0	0	0	0	0	1097.36964009979
HMF001119A	0	7118.42707903112	0	4260.72296591434	0	0	0	3532.37710454071	4058.07026068366	0	0	0	0	0	0	1677.40258983017
HMF003410A	0	2518.53260832855	0	2348.59181330001	0	1679.35593907258	0	3667.01155054207	0	2933.10794015333	0	0	0	0	0	1696.40014860346
HMF003035A	0	0	435.458122540753	0	0	0	0	0	0	123.108487914559	0	0	0	0	0	346.433389544688
